16_no_PLL	16_RANGE2	26_RANGE2	16	26	30	60	90	120	150	170	150_BOOST	170_BOOST
0.02056	0.02062	0.01428	0.02072	0.01278	0.01114	0.0057	0.00432	0.0033	0.003	0.0027	0.003	0.0027
0.02056	0.02064	0.0143	0.0207	0.01278	0.01108	0.00564	0.00428	0.00328	0.00302	0.0027	0.00302	0.00272
0.02058	0.02068	0.01426	0.02066	0.01276	0.01114	0.0057	0.00428	0.00328	0.00304	0.0027	0.00306	0.0027
0.02058	0.02066	0.01434	0.02066	0.01282	0.01112	0.00564	0.0043	0.0033	0.00302	0.0027	0.00302	0.0027
0.0206	0.02066	0.01424	0.0207	0.0128	0.01114	0.00568	0.00428	0.00328	0.00302	0.00272	0.00302	0.0027
0.0207	0.0207	0.01426	0.02076	0.01286	0.01112	0.0057	0.00428	0.00326	0.00304	0.00272	0.00306	0.00272
0.02062	0.02072	0.01434	0.0207	0.01284	0.01112	0.00564	0.00428	0.0033	0.00304	0.0027	0.00304	0.0027
0.02062	0.02074	0.01426	0.0207	0.01282	0.01114	0.0057	0.00428	0.00326	0.00302	0.0027	0.003	0.00268
0.02066	0.02074	0.0143	0.0207	0.01278	0.01118	0.00568	0.0043	0.00328	0.00302	0.00272	0.00304	0.00272
0.02062	0.02064	0.0143	0.02084	0.01278	0.01118	0.00568	0.00426	0.00326	0.00304	0.00264	0.00304	0.0027
0.02072	0.02068	0.01428	0.0207	0.01278	0.0112	0.0057	0.00428	0.00326	0.00306	0.00274	0.003	0.0027
0.02064	0.02064	0.01422	0.02068	0.01274	0.0111	0.00566	0.00426	0.00328	0.00302	0.00272	0.00302	0.0027
0.02064	0.02062	0.01424	0.0207	0.01276	0.01114	0.00568	0.00428	0.0033	0.00304	0.0027	0.00304	0.0027
0.02068	0.02066	0.01432	0.02066	0.01288	0.01112	0.0057	0.00432	0.00328	0.00304	0.00274	0.00306	0.00272
0.02058	0.02064	0.01428	0.0207	0.01276	0.0111	0.00564	0.00432	0.00326	0.00304	0.00266	0.00302	0.00268
0.02064	0.02066	0.01422	0.02068	0.01284	0.0111	0.00572	0.0043	0.00326	0.00302	0.00272	0.003	0.00274
0.02058	0.0207	0.0143	0.02062	0.01284	0.01114	0.00568	0.00428	0.00328	0.00302	0.00272	0.00302	0.00272
0.02062	0.0207	0.01424	0.0207	0.0128	0.01114	0.00564	0.00428	0.00326	0.00306	0.00272	0.00306	0.0027
0.02058	0.02064	0.01432	0.02072	0.0128	0.01112	0.00566	0.00426	0.00328	0.00306	0.00272	0.00304	0.0027
0.02064	0.0207	0.01428	0.02072	0.01276	0.01118	0.00564	0.0043	0.00326	0.00302	0.0027	0.00304	0.00268
0.02058	0.02064	0.01424	0.0207	0.01284	0.0111	0.00568	0.0043	0.00328	0.00302	0.00272	0.00306	0.0027
0.02058	0.02068	0.01434	0.02066	0.01282	0.0111	0.00568	0.00432	0.0033	0.00306	0.0027	0.00304	0.00268
0.0206	0.02068	0.0142	0.02072	0.01282	0.01112	0.00566	0.0043	0.00328	0.00304	0.00272	0.00302	0.0027
0.02056	0.02068	0.01424	0.02076	0.01274	0.0111	0.00564	0.00428	0.00328	0.00304	0.0027	0.00302	0.0027
0.02058	0.02068	0.01428	0.02072	0.01276	0.0111	0.00566	0.0043	0.00324	0.003	0.00268	0.00306	0.00272
0.02058	0.0207	0.01424	0.02068	0.01276	0.0111	0.00564	0.00428	0.00328	0.00306	0.00272	0.00302	0.0027
0.02062	0.0207	0.01428	0.0207	0.01276	0.01114	0.00566	0.0043	0.00324	0.00306	0.00266	0.00302	0.0027
0.02056	0.02064	0.01428	0.0207	0.01284	0.0111	0.00564	0.0043	0.00324	0.00302	0.00272	0.00306	0.0027
0.02058	0.02066	0.01428	0.02068	0.01286	0.01114	0.00568	0.0043	0.00324	0.003	0.00272	0.00306	0.00268
0.02056	0.02068	0.01426	0.02068	0.0128	0.01114	0.00564	0.00432	0.00324	0.00306	0.00272	0.00302	0.00272
0.02062	0.02072	0.01418	0.02064	0.01276	0.01114	0.00566	0.00426	0.00324	0.00304	0.00272	0.00304	0.0027
0.02062	0.02066	0.01426	0.02066	0.01274	0.01112	0.00566	0.0043	0.00328	0.003	0.00272	0.00304	0.00274
0.02066	0.02068	0.01424	0.0207	0.0128	0.01114	0.0057	0.00426	0.0033	0.003	0.00272	0.00304	0.0027
0.02062	0.02064	0.01422	0.02062	0.01274	0.0111	0.0057	0.0043	0.00328	0.00304	0.0027	0.00304	0.00268
0.0206	0.02064	0.01432	0.02066	0.0128	0.0111	0.00564	0.00426	0.00328	0.00304	0.0027	0.00304	0.00268
0.02072	0.02062	0.01434	0.02064	0.01282	0.0111	0.00566	0.0043	0.00324	0.00304	0.00272	0.00306	0.00272
0.02064	0.02068	0.01424	0.0207	0.01278	0.01112	0.00564	0.00428	0.00324	0.00302	0.00268	0.00304	0.00272
0.0207	0.02066	0.0142	0.02068	0.01278	0.01108	0.00566	0.00428	0.00328	0.00304	0.00272	0.00306	0.0027
0.02064	0.02068	0.01424	0.02066	0.01284	0.0111	0.00564	0.0043	0.00328	0.00304	0.0027	0.00304	0.00272
0.02066	0.0207	0.0143	0.0207	0.01278	0.01112	0.00566	0.0042	0.00328	0.00302	0.00272	0.00304	0.0027
0.02066	0.02066	0.01424	0.02076	0.01282	0.0111	0.00564	0.00428	0.00326	0.00302	0.00268	0.00302	0.00272
0.02058	0.02064	0.01428	0.02074	0.01284	0.01112	0.00566	0.00428	0.0033	0.00304	0.00272	0.00302	0.00272
0.0206	0.02072	0.01424	0.02068	0.01284	0.0112	0.00568	0.00432	0.00328	0.00304	0.00272	0.00304	0.0027
0.0206	0.0207	0.01422	0.02072	0.01276	0.01114	0.0057	0.0043	0.0033	0.003	0.0027	0.00306	0.0027
0.0206	0.02062	0.01424	0.02072	0.01278	0.01114	0.00564	0.00428	0.00326	0.003	0.0027	0.00302	0.00268
0.02066	0.02068	0.01434	0.02076	0.01274	0.0112	0.00566	0.0043	0.00324	0.00304	0.00266	0.00302	0.00272
0.02064	0.02064	0.01424	0.02074	0.01284	0.0111	0.00564	0.00424	0.00324	0.00304	0.00272	0.00302	0.0027
0.02058	0.02064	0.0143	0.02072	0.0128	0.01118	0.00566	0.00428	0.00328	0.003	0.0027	0.00304	0.0027
