16_no_PLL	16_RANGE2	26_RANGE2	16	26	30	60	90	120	150	170	150_BOOST	170_BOOST
0.01782	0.0179	0.0135	0.01784	0.0111	0.0096	0.0049	0.004	0.00306	0.00292	0.00264	0.00294	0.00266
0.0178	0.01784	0.01342	0.01792	0.01104	0.0096	0.00486	0.004	0.00306	0.00298	0.00264	0.00296	0.00262
0.01778	0.01784	0.01346	0.01784	0.0111	0.00958	0.0049	0.00404	0.00304	0.003	0.00258	0.00298	0.00264
0.01784	0.01788	0.01354	0.01786	0.01108	0.00962	0.00486	0.00396	0.00306	0.00296	0.00262	0.00298	0.00264
0.0178	0.01788	0.01346	0.01786	0.01102	0.00964	0.0049	0.00402	0.00304	0.00296	0.00266	0.00296	0.00266
0.01784	0.01792	0.01344	0.01792	0.01102	0.0096	0.0049	0.004	0.00308	0.00294	0.00266	0.00298	0.00266
0.01782	0.0179	0.01344	0.01788	0.01104	0.00962	0.00488	0.00402	0.00308	0.00298	0.00264	0.00298	0.00266
0.0178	0.01786	0.01342	0.0179	0.0111	0.0096	0.00486	0.004	0.00302	0.00298	0.00262	0.003	0.00264
0.01784	0.01788	0.01344	0.01794	0.01106	0.00962	0.00484	0.00402	0.00302	0.00294	0.00266	0.00298	0.00262
0.0178	0.01788	0.01344	0.01784	0.01102	0.0096	0.0049	0.00398	0.00306	0.00296	0.00266	0.00296	0.00268
0.01784	0.01792	0.01348	0.01786	0.01104	0.00958	0.00492	0.00398	0.00304	0.00296	0.00264	0.00296	0.00264
0.01784	0.0179	0.01348	0.01792	0.01106	0.0096	0.00488	0.00398	0.00304	0.00298	0.00264	0.00298	0.00266
0.01784	0.0179	0.01346	0.01794	0.011	0.00966	0.00488	0.00398	0.00308	0.00296	0.00262	0.00298	0.00264
0.0179	0.01786	0.01354	0.01788	0.01106	0.00958	0.00486	0.00396	0.00304	0.00296	0.00266	0.00296	0.00264
0.0178	0.01782	0.01344	0.01786	0.01106	0.00964	0.00488	0.004	0.00304	0.00296	0.00266	0.00298	0.00264
0.01786	0.01784	0.01342	0.0179	0.0111	0.0096	0.00492	0.004	0.00302	0.00298	0.00264	0.00298	0.00266
0.01784	0.01796	0.01348	0.01788	0.01106	0.0096	0.00488	0.004	0.00302	0.00298	0.00266	0.00298	0.00266
0.0178	0.01784	0.01342	0.01792	0.01104	0.00964	0.00488	0.004	0.00304	0.00296	0.0026	0.00294	0.00266
0.0178	0.01786	0.01344	0.0179	0.01108	0.00962	0.00484	0.00398	0.00304	0.00294	0.00266	0.00296	0.00262
0.01782	0.0179	0.0134	0.01788	0.0111	0.0096	0.00488	0.00398	0.00304	0.00294	0.00266	0.00296	0.00264
0.01782	0.0179	0.01342	0.0179	0.01106	0.0096	0.00488	0.004	0.00306	0.00296	0.00264	0.003	0.00264
0.0178	0.01788	0.0134	0.01794	0.01108	0.00958	0.0049	0.004	0.00306	0.003	0.00264	0.00296	0.00264
0.01784	0.01788	0.01344	0.01794	0.0111	0.0096	0.00488	0.004	0.00304	0.00296	0.00262	0.00294	0.00264
0.0179	0.01786	0.0135	0.01788	0.01106	0.00962	0.00488	0.004	0.00306	0.00296	0.00266	0.00298	0.00266
0.0178	0.01788	0.01342	0.0179	0.01118	0.00962	0.00488	0.004	0.00308	0.00296	0.00266	0.00298	0.00268
0.01784	0.01786	0.01346	0.01788	0.01108	0.00962	0.00492	0.004	0.00306	0.003	0.00262	0.00296	0.00266
0.01784	0.01788	0.0135	0.01792	0.01114	0.00962	0.0049	0.004	0.00304	0.00298	0.00266	0.00298	0.00266
0.01782	0.01786	0.01342	0.01788	0.01108	0.0096	0.00488	0.004	0.00302	0.00296	0.00264	0.00294	0.00266
0.01784	0.01788	0.01344	0.01796	0.0111	0.00962	0.00488	0.004	0.00302	0.00294	0.00266	0.00298	0.00262
0.01782	0.01796	0.01344	0.01788	0.01106	0.00962	0.00486	0.00402	0.00304	0.003	0.00266	0.003	0.00266
0.0178	0.0179	0.01346	0.0179	0.0111	0.00964	0.0049	0.00398	0.00306	0.00298	0.00262	0.00296	0.00262
0.01778	0.0179	0.01348	0.01788	0.01108	0.0096	0.00488	0.00402	0.00308	0.00296	0.00264	0.00296	0.00264
0.01786	0.01794	0.01344	0.0179	0.01108	0.00962	0.00486	0.004	0.00302	0.00296	0.00262	0.00296	0.00266
0.01782	0.01792	0.01342	0.01788	0.01114	0.00962	0.00484	0.004	0.00304	0.00296	0.00264	0.00298	0.0026
0.01784	0.01792	0.0134	0.01794	0.01102	0.00962	0.00488	0.004	0.00304	0.00298	0.00264	0.00298	0.00264
0.0178	0.01786	0.01348	0.018	0.01106	0.00958	0.00488	0.00402	0.00304	0.00298	0.00262	0.00296	0.0026
0.01784	0.0179	0.01346	0.01788	0.01104	0.00962	0.00492	0.00402	0.00308	0.00294	0.00266	0.00296	0.00266
0.01786	0.0179	0.01342	0.01788	0.01108	0.00964	0.00486	0.00398	0.00308	0.00298	0.00266	0.00298	0.00264
0.01784	0.01782	0.0135	0.01792	0.01102	0.00964	0.00484	0.00402	0.00306	0.00294	0.00266	0.003	0.00264
0.01788	0.0179	0.01346	0.01802	0.01112	0.00962	0.00488	0.004	0.00304	0.00298	0.00266	0.0029	0.00266
0.01792	0.01794	0.01342	0.01792	0.01104	0.00962	0.00488	0.00398	0.00306	0.00298	0.00262	0.00296	0.00266
0.0178	0.01786	0.01342	0.01792	0.01102	0.00962	0.00488	0.00402	0.00302	0.00294	0.00266	0.00296	0.00266
0.01784	0.0179	0.01344	0.01788	0.01104	0.0096	0.00488	0.00402	0.00308	0.00296	0.00266	0.00302	0.00268
0.0178	0.01784	0.01346	0.01786	0.01108	0.0096	0.00488	0.004	0.00306	0.00298	0.00264	0.003	0.00262
0.01784	0.01788	0.01342	0.01788	0.01102	0.00958	0.00488	0.00402	0.00306	0.00298	0.00268	0.00296	0.00266
0.01784	0.01786	0.01346	0.018	0.01104	0.00968	0.00488	0.004	0.00304	0.00298	0.00264	0.00298	0.00264
0.0178	0.01788	0.01346	0.01794	0.01102	0.00964	0.0049	0.00398	0.00304	0.003	0.00266	0.003	0.00266
0.01782	0.01788	0.01344	0.01788	0.01106	0.00964	0.00488	0.004	0.00306	0.00294	0.00268	0.003	0.00264
0.0178	0.01786	0.0135	0.0179	0.01106	0.00956	0.00486	0.00402	0.00306	0.00298	0.00262	0.00296	0.00264
0.01786	0.01792	0.01342	0.018	0.01104	0.00962	0.00484	0.004	0.00306	0.00298	0.00266	0.00298	0.00266
0.01782	0.01786	0.0134	0.01792	0.01104	0.00958	0.00484	0.00396	0.00308	0.00296	0.00264	0.00296	0.0026
0.01782	0.01782	0.01352	0.01792	0.01104	0.00962	0.0049	0.00398	0.00304	0.00296	0.00266	0.003	0.00268
0.0178	0.01786	0.01344	0.01796	0.0111	0.00964	0.00486	0.00402	0.00304	0.00296	0.00266	0.00296	0.00264
0.0178	0.0179	0.01344	0.01792	0.01102	0.00964	0.0049	0.00404	0.00304	0.00298	0.00264	0.00296	0.00266
0.01784	0.01788	0.01348	0.0179	0.0111	0.00962	0.00488	0.004	0.00306	0.003	0.00266	0.00296	0.00262
0.01782	0.01784	0.01352	0.0179	0.01108	0.00966	0.00484	0.004	0.00308	0.00296	0.00264	0.003	0.00266
0.01782	0.01788	0.01346	0.01788	0.01116	0.00964	0.0049	0.00402	0.00308	0.00294	0.00268	0.00298	0.00266
0.01782	0.0179	0.01344	0.0179	0.0111	0.00962	0.0049	0.00402	0.00306	0.00294	0.00264	0.00298	0.00266
0.01784	0.0179	0.01352	0.01786	0.0111	0.00962	0.00486	0.004	0.00304	0.00298	0.00262	0.00294	0.00266
0.01784	0.01784	0.0134	0.01796	0.01108	0.0096	0.00486	0.00398	0.00302	0.00296	0.00262	0.003	0.00266
0.01786	0.01786	0.01352	0.0179	0.0111	0.00964	0.00486	0.00398	0.00302	0.00294	0.00262	0.00298	0.00264
0.01788	0.01794	0.01346	0.0179	0.01108	0.00962	0.00484	0.00398	0.00306	0.00296	0.00264	0.00294	0.00264
0.01782	0.01788	0.01342	0.01794	0.01108	0.00964	0.0049	0.00404	0.0031	0.00294	0.00264	0.00298	0.00262
0.01786	0.01792	0.01342	0.01784	0.01104	0.00962	0.00488	0.00398	0.00306	0.00296	0.00262	0.00298	0.00266
0.01782	0.01788	0.0134	0.0179	0.01104	0.0096	0.00486	0.00404	0.00304	0.00298	0.00264	0.003	0.00264
0.0178	0.01786	0.01346	0.0179	0.01108	0.0096	0.00488	0.00398	0.00302	0.00296	0.00262	0.00294	0.00266
0.01782	0.01788	0.01346	0.01796	0.01104	0.0096	0.00486	0.00396	0.00306	0.00296	0.00268	0.00296	0.00266
0.01784	0.01786	0.01344	0.01792	0.01104	0.00964	0.00486	0.004	0.00304	0.00298	0.00268	0.00296	0.00264
0.0178	0.01788	0.0135	0.01788	0.01102	0.00966	0.00492	0.004	0.00308	0.00296	0.00262	0.00298	0.00268
0.01786	0.01788	0.01344	0.01796	0.01102	0.00966	0.0049	0.00402	0.00308	0.00296	0.00266	0.003	0.00266
0.01788	0.01786	0.01348	0.01792	0.01104	0.00958	0.00488	0.004	0.003	0.00298	0.00266	0.00296	0.00264
0.01786	0.0179	0.01342	0.01788	0.0111	0.00964	0.00484	0.00402	0.00304	0.00292	0.00266	0.00296	0.00266
0.01784	0.01786	0.01346	0.01794	0.0111	0.0096	0.00488	0.004	0.00302	0.00298	0.00264	0.00296	0.00262
0.01786	0.01786	0.01342	0.01786	0.01108	0.00962	0.00492	0.004	0.00304	0.00294	0.00264	0.00298	0.00266
0.01784	0.01788	0.01344	0.01794	0.01106	0.00962	0.00488	0.004	0.00306	0.00296	0.00264	0.00298	0.00266
0.01778	0.01788	0.0135	0.01784	0.01104	0.00962	0.00488	0.00402	0.00308	0.00296	0.00266	0.00296	0.00262
0.0178	0.0179	0.01342	0.01798	0.01102	0.00962	0.00486	0.00398	0.00302	0.00294	0.00264	0.00294	0.00268
0.01784	0.01788	0.01346	0.01796	0.01102	0.00964	0.0049	0.004	0.00304	0.00298	0.00266	0.00298	0.00264
0.01784	0.01788	0.01354	0.01786	0.01112	0.00964	0.00494	0.004	0.00302	0.00296	0.00262	0.00298	0.00264
0.01778	0.01786	0.01342	0.01798	0.01104	0.00964	0.00486	0.00398	0.00306	0.00292	0.00264	0.00296	0.00266
0.01776	0.01788	0.01342	0.01794	0.01102	0.00962	0.00486	0.00398	0.00308	0.00292	0.00266	0.00296	0.00264
0.01778	0.01786	0.01348	0.0179	0.01106	0.0096	0.00484	0.004	0.00308	0.003	0.00264	0.00298	0.00264
0.01782	0.01788	0.01346	0.01796	0.011	0.0096	0.00486	0.004	0.00304	0.00298	0.00264	0.003	0.00262
0.01786	0.01784	0.01346	0.01792	0.01106	0.00964	0.00488	0.004	0.00304	0.00298	0.00264	0.00298	0.00266
0.01788	0.01788	0.01342	0.01788	0.01112	0.00964	0.0049	0.00402	0.00302	0.00296	0.00264	0.00296	0.00266
0.01778	0.01788	0.0134	0.01786	0.01106	0.0096	0.00486	0.00398	0.00304	0.00298	0.00266	0.00294	0.00266
0.0178	0.01788	0.01344	0.01792	0.01114	0.00958	0.00488	0.004	0.00304	0.00298	0.00264	0.003	0.00266
0.0178	0.01786	0.0135	0.01784	0.0111	0.00962	0.00486	0.00402	0.00308	0.003	0.00266	0.00298	0.00262
0.0178	0.01786	0.0135	0.01786	0.01112	0.00964	0.00486	0.00404	0.00302	0.00298	0.00262	0.00296	0.00264
0.01782	0.01792	0.01344	0.01792	0.01114	0.00964	0.00488	0.004	0.00304	0.00298	0.00266	0.00294	0.00264
0.01778	0.01796	0.0135	0.0179	0.01104	0.00962	0.00486	0.00396	0.00302	0.00294	0.00266	0.003	0.00268
0.01782	0.01782	0.01344	0.01788	0.01106	0.0096	0.00488	0.004	0.00306	0.00298	0.00264	0.00298	0.00266
0.01782	0.01786	0.0135	0.01788	0.0111	0.00964	0.00488	0.00404	0.00306	0.003	0.00266	0.00296	0.00262
0.01782	0.01786	0.01352	0.018	0.01104	0.00964	0.0049	0.00402	0.00306	0.00296	0.00262	0.00296	0.00266
0.01782	0.01792	0.01346	0.01794	0.01102	0.00962	0.0049	0.004	0.00304	0.00296	0.00266	0.00298	0.00264
0.01784	0.01786	0.01346	0.0179	0.0111	0.00962	0.00486	0.00402	0.00306	0.00298	0.00268	0.00298	0.00266
0.01784	0.01782	0.01346	0.01796	0.01102	0.00958	0.00484	0.004	0.00306	0.003	0.00262	0.00298	0.00264
0.01776	0.01786	0.0135	0.01796	0.0111	0.00962	0.00488	0.00398	0.00304	0.00294	0.00266	0.00298	0.00264
0.01788	0.01788	0.01352	0.01786	0.01102	0.00964	0.00488	0.004	0.00308	0.00294	0.0026	0.00294	0.00266
0.01782	0.01788	0.0134	0.01792	0.01112	0.0096	0.0049	0.00402	0.00308	0.00294	0.00266	0.00298	0.00264
