16_no_PLL	16_RANGE2	26_RANGE2	16	26	30	60	90	120	150	170	150_BOOST	170_BOOST
0.0388	0.0388	0.02394	0.03876	0.02394	0.02084	0.0105	0.0071	0.00532	0.00434	0.00384	0.00436	0.00382
0.03876	0.03886	0.024	0.03876	0.02402	0.02076	0.0104	0.00706	0.00532	0.0043	0.00384	0.00432	0.00384
0.0388	0.03878	0.02394	0.03886	0.02396	0.02074	0.01042	0.00704	0.0053	0.0043	0.00384	0.00434	0.00384
0.0387	0.03882	0.02394	0.03874	0.02388	0.02072	0.01044	0.00704	0.00534	0.00428	0.00384	0.00432	0.00386
0.03874	0.03876	0.02394	0.03878	0.02394	0.02078	0.01042	0.007	0.00534	0.00428	0.00384	0.00434	0.00384
0.03868	0.03876	0.02396	0.03878	0.02392	0.02082	0.01042	0.00704	0.00532	0.0043	0.00384	0.00434	0.00384
0.03882	0.03882	0.02398	0.03878	0.02392	0.02076	0.01052	0.007	0.00534	0.00434	0.00386	0.0043	0.00384
0.03872	0.03872	0.02392	0.03876	0.0239	0.0207	0.01046	0.00708	0.00532	0.0043	0.00386	0.00434	0.00382
0.0387	0.03874	0.0239	0.0389	0.024	0.02072	0.0104	0.007	0.00536	0.00434	0.00384	0.00436	0.00384
0.0387	0.03882	0.02392	0.03872	0.02388	0.02082	0.01048	0.00708	0.00536	0.0043	0.00386	0.00432	0.00384
0.0387	0.03874	0.02386	0.03878	0.02394	0.02074	0.01048	0.00704	0.00534	0.0043	0.00386	0.00432	0.00386
0.03868	0.0388	0.02386	0.03876	0.02394	0.02078	0.01038	0.00706	0.00534	0.00434	0.00384	0.00432	0.00384
0.03882	0.03878	0.02398	0.0387	0.0239	0.02072	0.01048	0.00708	0.00534	0.00432	0.00384	0.00432	0.00382
0.03866	0.03886	0.02396	0.03876	0.02394	0.02076	0.01042	0.00706	0.00538	0.00432	0.00384	0.00432	0.00384
0.03874	0.03876	0.02388	0.03874	0.02396	0.02082	0.01048	0.00702	0.00534	0.0043	0.00384	0.0043	0.00382
0.03864	0.03878	0.02398	0.03878	0.02392	0.0208	0.0104	0.00702	0.00532	0.00428	0.00382	0.0043	0.0038
0.0387	0.03876	0.02388	0.03874	0.02402	0.02078	0.0105	0.007	0.00532	0.00434	0.00384	0.00428	0.00386
0.0387	0.03882	0.02394	0.0388	0.02388	0.0208	0.01048	0.007	0.00528	0.00432	0.00384	0.00434	0.00384
0.03872	0.03876	0.02392	0.0387	0.0239	0.02082	0.01042	0.00706	0.00534	0.00432	0.00382	0.00432	0.00386
0.03876	0.03874	0.02392	0.0388	0.02388	0.02076	0.01046	0.00706	0.00532	0.0043	0.00382	0.00432	0.00384
0.03874	0.03876	0.02394	0.03872	0.02386	0.0207	0.01044	0.007	0.00532	0.0043	0.00382	0.0043	0.00384
0.03868	0.0388	0.02392	0.03872	0.02396	0.0207	0.01046	0.00706	0.0053	0.00434	0.00386	0.00434	0.00384
0.03868	0.03874	0.02394	0.03874	0.02394	0.02076	0.0104	0.00704	0.00528	0.00432	0.00386	0.00432	0.00384
0.03872	0.03882	0.02386	0.0388	0.02396	0.02084	0.01052	0.00704	0.0053	0.00434	0.00382	0.00432	0.00384
0.03868	0.0387	0.0239	0.03882	0.02392	0.02072	0.01042	0.00706	0.00532	0.00432	0.00384	0.0043	0.00386
0.03868	0.03874	0.02394	0.0388	0.02392	0.02074	0.01038	0.00702	0.00528	0.00436	0.00384	0.00432	0.00382
0.03884	0.03876	0.02396	0.03882	0.02386	0.02076	0.01042	0.00702	0.0053	0.00432	0.00384	0.00432	0.00382
0.03878	0.03876	0.02386	0.03878	0.02392	0.02082	0.01046	0.00698	0.0053	0.00434	0.00386	0.00434	0.00384
0.03872	0.0388	0.02386	0.03882	0.02394	0.0207	0.0104	0.00706	0.00532	0.00432	0.00384	0.0043	0.0038
0.0387	0.03878	0.02398	0.0388	0.02394	0.0207	0.01042	0.00702	0.00534	0.00436	0.00384	0.00434	0.00386
0.03876	0.03878	0.0239	0.03878	0.02392	0.02072	0.01046	0.00708	0.00534	0.00432	0.00386	0.00434	0.00384
0.03878	0.03886	0.0239	0.03888	0.02398	0.02072	0.01046	0.00702	0.00532	0.00434	0.00382	0.0043	0.00384
0.03872	0.0388	0.02386	0.03874	0.02392	0.02074	0.01048	0.007	0.00532	0.00434	0.00382	0.00432	0.00384
0.03866	0.03886	0.02396	0.0387	0.02388	0.02078	0.01046	0.00704	0.00532	0.00436	0.00386	0.00434	0.00384
0.0387	0.03876	0.02402	0.0388	0.0239	0.0208	0.01044	0.00704	0.00534	0.00432	0.00386	0.00434	0.00384
0.03866	0.03878	0.0239	0.03892	0.0239	0.02082	0.0104	0.00704	0.00534	0.00432	0.0038	0.00434	0.00384
0.03868	0.03878	0.02388	0.03874	0.02398	0.02076	0.01042	0.00704	0.00528	0.00432	0.00386	0.00432	0.00384
0.0387	0.03878	0.02396	0.0388	0.02394	0.02068	0.01042	0.00708	0.0053	0.0043	0.00384	0.00434	0.00386
0.03874	0.03878	0.0239	0.03872	0.02406	0.02072	0.01044	0.00702	0.00534	0.00434	0.00384	0.00432	0.00384
0.03878	0.03882	0.02394	0.03878	0.02396	0.02074	0.01046	0.00698	0.00532	0.00432	0.00386	0.00434	0.00382
0.03868	0.03882	0.0239	0.03874	0.0239	0.02078	0.01044	0.00706	0.00532	0.00432	0.00384	0.00434	0.00384
0.03868	0.0388	0.0239	0.03878	0.02388	0.02084	0.0105	0.00704	0.00534	0.00432	0.00384	0.00432	0.0038
0.0387	0.03878	0.0239	0.03874	0.02392	0.02074	0.0104	0.00706	0.00528	0.00436	0.00382	0.00432	0.00384
