16_no_PLL	16_RANGE2	26_RANGE2	16	26	30	60	90	120	150	170	150_BOOST	170_BOOST
1354.588508605957	1507.8754425048828	1592.7581787109375	2186.920166015625	2067.95654296875	2030.1086425781248	1815.0695800781248	1939.1876220703125	1906.45751953125	2092.722702026367	2102.7099609375005	2412.265625	2415.1171875
1355.3476333618164	1506.5288543701172	1592.3309326171873	2188.73291015625	2068.9453125	2028.9733886718748	1818.5302734374998	1935.64453125	1906.622314453125	2092.236328125	2101.4831542968755	2407.052001953125	2414.6875
1355.9799194335938	1507.5902938842773	1588.3636474609375	2192.6868438720703	2061.529541015625	2028.5522460937498	1817.6879882812498	1935.05859375	1932.6965332031248	2088.372802734375	2102.325439453125	2434.66796875	2416.46484375
1351.7122268676758	1511.0502243041992	1590.2109146118162	2193.988037109375	2067.938232421875	2031.8115234374998	1816.8640136718748	1948.626708984375	1907.0800781249998	2089.6911621093745	2071.6941833496094	2435.0390625	2418.49609375
1356.2898635864258	1508.4733963012695	1587.982177734375	2194.189453125	2061.8957519531255	2031.9213867187495	1817.9077148437498	1936.431884765625	1906.3659667968748	2118.621826171875	2102.3437500000005	2436.25	2415.78125
1355.2818298339844	1511.1284255981445	1586.9503021240232	2188.970947265625	2062.24365234375	2021.1181640624998	1816.5893554687498	1935.662841796875	1906.60400390625	2116.278076171875	2105.328369140625	2435.48828125	2416.71875
1355.9284210205078	1507.7333450317383	1588.4552001953123	2188.4216308593745	2071.142578125	2030.6396484374995	1816.9006347656248	1935.64453125	1906.4758300781248	2119.00634765625	2074.856185913086	2437.51953125	2417.12890625
1355.900764465332	1506.8120956420898	1587.7532958984373	2188.5864257812495	2063.543701171875	2030.3100585937498	1804.9301147460935	1936.431884765625	1932.1472167968745	2119.097900390625	2101.2451171875	2434.04296875	2381.890869140625
1355.703353881836	1506.8225860595703	1587.921142578125	2192.7394866943355	2072.05810546875	2031.9213867187495	1815.4541015624995	1936.41357421875	1907.1533203125	2094.43359375	2102.142333984375	2413.14453125	2415.13671875
1356.4214706420898	1507.8277587890625	1588.836669921875	2190.27099609375	2062.24365234375	2033.8989257812495	1815.2893066406248	1953.387451171875	1907.501220703125	2092.9847717285156	2077.972412109375	2403.14453125	2416.6796875
