16_no_PLL	16_RANGE2	26_RANGE2	16	26	30	60	90	120	150	170	150_BOOST	170_BOOST
1364.9311065673828	1519.3424224853516	1547.1696853637698	2222.552490234375	2066.2353515625	2037.5793457031245	1811.3159179687495	1889.7216796875	1852.8625488281248	1843.267822265625	1850.0610351562498	2124.00390625	2126.9726562500005
1367.4888610839844	1519.2022323608398	1544.8913574218752	2224.62158203125	2070.912551879883	2034.8327636718748	1810.4187011718748	1889.5019531249998	1852.0385742187498	1845.0256347656252	1848.4130859374998	2123.37890625	2127.36328125
1367.283821105957	1519.118309020996	1544.4183349609375	2223.52294921875	2075.0244140625	2036.7370605468748	1799.3305206298824	1888.5131835937498	1856.3083648681638	1846.4870452880857	1851.906967163086	2126.754150390625	2103.2617187500005
1367.1188354492188	1523.3917236328125	1544.8455810546877	2222.259521484375	2065.4296875	2036.1877441406245	1797.7626800537105	1889.703369140625	1852.2399902343748	1849.317169189453	1848.5229492187498	2126.982421875	2125.4687500000005
1367.1350479125977	1520.0538635253906	1539.9932861328127	2223.66943359375	2067.1142578125005	2030.0903320312498	1809.3749999999995	1889.5935058593748	1856.3472747802734	1873.2421874999998	1849.21875	2153.3984375	2125.64453125
1367.2990798950195	1519.9832916259766	1544.5556640625	2228.1738281249995	2065.2465820312505	2036.9384765624995	1811.2426757812498	1869.7998046875	1852.5695800781245	1848.2231140136716	1848.065185546875	2156.5234375	2127.3828125000005
1367.5928115844727	1519.425392150879	1540.4663085937502	2227.5878906249995	2066.3818359375	2035.7666015624995	1797.483444213867	1889.1357421874998	1878.62548828125	1845.3231811523435	1849.072265625	2155.8203125	2126.19140625
1368.478775024414	1519.7792053222656	1540.2069091796877	2227.825927734375	2067.791748046875	2033.1665039062495	1808.3129882812495	1889.4104003906248	1852.6794433593745	1872.0520019531248	1848.5961914062498	2156.30859375	2127.738037109375
1368.382453918457	1519.2699432373047	1540.130615234375	2228.06396484375	2071.2478637695312	2032.611465454101	1811.0778808593748	1889.0991210937498	1856.1847686767576	1872.2900390624998	1848.175048828125	2131.81640625	2128.18359375
1366.805076599121	1519.7124481201172	1540.10009765625	2222.0947265625	2067.645263671875	2036.5173339843748	1811.9750976562495	1889.5751953124998	1852.8625488281248	1873.8464355468748	1849.090576171875	2124.12109375	2092.293701171875
