16_no_PLL	16_RANGE2	26_RANGE2	16	26	30	60	90	120	150	170	150_BOOST	170_BOOST
1129.4784545898438	1287.154197692871	1207.1685791015627	1854.1843414306638	1743.621826171875	1713.4094238281248	1522.5036621093748	1445.562744140625	1459.1125488281248	1445.80078125	1455.047607421875	1656.9140625	1663.45703125
1145.625114440918	1298.4552383422852	1205.4138183593752	1842.3740386962888	1721.539306640625	1706.3964843749998	1515.4357910156248	1458.3686828613281	1470.9960937499998	1485.882568359375	1469.3115234375	1653.73046875	1672.6953125000002
1134.552001953125	1289.4458770751953	1206.0394287109377	1836.1942291259766	1728.533935546875	1700.7751464843748	1517.1752929687498	1468.7129974365234	1464.6789550781248	1450.5615234374998	1462.646484375	1661.2890624999998	1675.41015625
1140.7394409179688	1286.1547470092773	1195.3277587890625	1848.5126495361328	1734.3566894531252	1671.114349365234	1485.7543945312495	1467.5949096679688	1466.0156249999998	1440.582275390625	1469.476318359375	1670.8593749999998	1676.62109375
1149.073600769043	1302.2241592407227	1203.399658203125	1836.928939819336	1723.4619140625002	1715.5334472656248	1524.4995117187498	1462.5732421875	1459.7351074218748	1444.37255859375	1472.900390625	1666.3232421875	1685.3125000000002
1127.4261474609375	1293.243408203125	1181.0760498046875	1832.0045471191404	1722.7294921875002	1713.7939453124998	1508.807373046875	1475.079345703125	1441.5641784667966	1449.755859375	1454.84619140625	1654.3359374999998	1658.3984375000002
1150.8417129516602	1300.5008697509766	1207.6263427734377	1856.824493408203	1717.3278808593752	1689.927291870117	1503.0212402343745	1475.13427734375	1456.5490722656248	1441.2975311279297	1468.670654296875	1702.4609375	1678.4960937500002
1133.713722229004	1288.167953491211	1198.5778808593752	1828.8631439208982	1726.666259765625	1692.0776367187495	1501.1535644531248	1455.230712890625	1460.5407714843748	1457.135009765625	1456.787109375	1644.86328125	1666.1914062500002
1146.256446838379	1296.7453002929688	1198.944091796875	1841.0671234130857	1739.35546875	1691.2353515624995	1499.2675781249998	1449.1149902343752	1459.3505859374998	1484.930419921875	1463.19580078125	1653.4008789062502	1668.10546875
1149.937629699707	1297.3909378051758	1204.4649124145508	1849.8081207275388	1716.668701171875	1714.0319824218748	1521.6064453124995	1454.8095703125	1470.7580566406248	1441.571044921875	1459.68017578125	1667.87109375	1669.1796875
