16_no_PLL	16_RANGE2	26_RANGE2	16	26	30	60	90	120	150	170	150_BOOST	170_BOOST
1600.358963012695	1853.5757064819336	1710.5655670166018	2661.6382598876953	2470.27587890625	2432.354736328125	2123.876953125	2064.00146484375	2056.036376953125	2016.6423797607422	2025.146484375	2329.70703125	2330.0976562500005
1602.0708084106443	1856.4682006835935	1711.1835479736328	2657.281494140625	2471.7041015625	2427.088165283203	2110.9989166259766	2071.197509765625	2057.5927734374995	2024.7436523437502	2026.8127441406248	2332.59765625	2332.8125000000005
1603.2934188842773	1855.1054000854492	1713.2377624511719	2655.765151977539	2468.07861328125	2431.0317993164062	2111.663818359375	2055.596923828125	2033.587646484375	2030.2001953125	1997.1679687500002	2332.491455078125	2309.3554687500005
1600.7537841796875	1854.694366455078	1711.0681533813477	2659.8140716552734	2462.1643066406245	2426.4404296875	2110.513687133789	2066.015625	2032.7087402343752	2026.5380859375	2025.384521484375	2329.4921875	2327.5000000000005
1599.7428894042966	1853.409767150879	1714.5385742187502	2662.085723876953	2462.95166015625	2426.422119140625	2115.325927734375	2069.1650390625	2033.203125	2029.522705078125	2025.1647949218748	2333.4765625	2332.8320312500005
1599.027633666992	1855.9246063232422	1714.4050598144531	2662.1326446533203	2469.3603515625	2433.673095703125	2118.42041015625	2070.95947265625	2035.0547790527341	2028.6861419677732	2028.204345703125	2330.68359375	2330.546875
1600.4228591918945	1855.6194305419922	1709.6872329711916	2661.9827270507812	2462.8417968749995	2432.8491210937495	2123.3093261718745	2050.01220703125	2056.9152832031245	2026.776123046875	1996.1059570312502	2334.78515625	2296.669921875
1602.8337478637695	1857.0451736450193	1715.357780456543	2662.1337890625	2468.138122558594	2432.2265625	2123.40087890625	2065.9423828125	2056.988525390625	2031.5414428710938	2025.677490234375	2334.002685546875	2327.9296875
1603.57666015625	1854.5846939086916	1715.1575088500977	2659.2967987060547	2467.1379089355473	2425.74462890625	2111.71875	2070.0439453125	2031.7382812500002	2026.28173828125	2027.1240234375	2331.1328125	2328.6132812500005
1600.5859375	1853.0521392822266	1712.4872207641604	2658.5243225097656	2471.612548828125	2425.01220703125	2105.401611328125	2054.6676635742188	2031.6284179687498	2029.5776367187502	2029.2663574218748	2334.921875	2330.390625
