16_no_PLL	16_RANGE2	26_RANGE2	16	26	30	60	90	120	150	170	150_BOOST	170_BOOST
3259.7452927596623	3603.2362008274954	4617.363743528106	4370.662967864452	6712.866611168033	7617.0867344118515	13683.535018057193	16336.342723099227	21441.106926904966	23427.06113248258	26792.049407958984	25628.076840753423	28886.079788208008
3259.610769430396	3605.109918627991	4620.207837347448	4370.893579286052	6712.491395043545	7618.022414873231	13685.26242813974	16196.990499691088	21446.123515089897	23749.573590004282	26408.987778883715	25604.457071382705	28675.49015925481
3259.8466584176726	3604.727968460967	4615.246370478717	4372.430988763382	6695.813548808195	7619.89377579599	13685.406378979953	16337.336326132016	21451.767176797945	23743.302854773116	26785.51307091346	25612.400002675513	28702.251727764422
3260.9761363328107	3604.185070739285	4621.155868620562	4373.12282302818	6713.054219230276	7618.382291973762	13689.868855026532	16336.869220344388	21440.688877889555	23771.73018782106	26805.46687199519	25599.23145869007	28869.62890625
3261.4364431847252	3604.338811687018	4618.706604724085	4371.58541355085	6712.178714939805	7617.968518587085	13678.928591170401	16235.040158641581	21450.513029751713	23289.39695616026	26793.956756591797	25138.442580764357	28878.211975097656
3258.6618995186063	3603.082459879762	4620.839858196191	4371.681405072236	6710.49024237961	7620.9014316774765	13681.231804613797	16342.1630859375	21442.77912296661	23760.65188891267	26799.440383911133	25629.958061322774	28847.797100360578
3259.8918271004704	3602.1696230025977	4616.855869631796	4371.8544602093825	6710.677850441854	7618.454267393868	13599.899579893869	16338.85963675902	21454.902544413526	23723.86357555651	26776.592548076922	25635.392698523116	28856.717623197117
3260.6701406483685	3604.1712520098445	4622.555343357064	4373.291629043656	6701.0996293048465	7621.4772350383255	13684.663318452382	16319.897710060586	21447.795711151542	23474.809285756703	26792.79033954327	25303.673099827123	28866.107647235578
3260.2440227161756	3604.4084755539593	4621.923322508321	4375.544242954975	6714.492547707479	7618.742169074292	13604.793908461084	16344.34291294643	21455.32059342894	23755.63530072774	26782.696063701922	25626.195620184077	28754.366361177883
3258.5081585708735	3602.8782726835543	4610.137601869296	4374.468056320844	6716.1184842469265	7621.693161298644	13691.884166789505	16328.461316167091	21443.61522099743	23690.001605308218	26800.30235877404	25238.655708931587	28860.807418823242
