16_no_PLL	16_RANGE2	26_RANGE2	16	26	30	60	90	120	150	170	150_BOOST	170_BOOST
0.898	0.897	0.552	0.897	0.553	0.478	0.239	0.16	0.119	0.096	0.085	0.095	0.084
0.897	0.897	0.552	0.897	0.552	0.479	0.239	0.159	0.119	0.096	0.084	0.096	0.084
0.897	0.897	0.552	0.897	0.552	0.478	0.24	0.159	0.119	0.096	0.084	0.096	0.085
0.897	0.897	0.552	0.898	0.552	0.478	0.239	0.159	0.12	0.096	0.085	0.096	0.084
0.897	0.897	0.552	0.897	0.552	0.479	0.239	0.159	0.12	0.096	0.084	0.096	0.084
0.897	0.897	0.552	0.897	0.552	0.478	0.239	0.16	0.119	0.096	0.084	0.096	0.085
0.898	0.897	0.552	0.897	0.553	0.478	0.239	0.159	0.119	0.095	0.085	0.096	0.084
0.897	0.898	0.552	0.898	0.552	0.478	0.24	0.16	0.119	0.095	0.084	0.096	0.085
0.897	0.897	0.552	0.897	0.553	0.478	0.239	0.159	0.12	0.095	0.085	0.095	0.085
0.897	0.897	0.551	0.897	0.552	0.478	0.24	0.159	0.12	0.095	0.085	0.095	0.084
