16_no_PLL	16_RANGE2	26_RANGE2	16	26	30	60	90	120	150	170	150_BOOST	170_BOOST
2924.887433884636	3269.9523737401137	4461.297663426445	3955.013258175513	5992.717957228757	6796.639236887774	12070.912111829795	15407.93406280652	20052.114198374195	22895.55540422151	25673.03266456659	24764.876211843184	27754.673458608908
2925.5585344388296	3270.5913847593433	4460.874581948305	3955.7217372513196	5991.61120517296	6797.566237273039	12065.414120169247	15405.427541164372	20045.252571329038	22824.424524276783	25557.765891836007	24622.27230980283	27604.590291562286
2924.891245967687	3270.655310354412	4464.265912078147	3956.332994379936	5989.189423268187	6798.846728278046	12073.960251473853	15409.860316877322	20065.92289094002	22790.15255581801	25586.580884629402	24676.61943191137	27614.272159078846
2925.9279856695975	3271.111390759199	4461.3929138970125	3955.412547422174	5993.2653720562275	6798.114882379275	12065.037208444932	15407.17154347424	20075.374179416234	22793.63228724553	25665.310746065545	24621.140842620556	27644.45005341127
2925.6136983588713	3268.9433218288564	4462.304229047666	3956.184424938953	5989.044832896037	6796.420608436205	12064.477137219621	15407.164365250543	20070.490267116893	22873.40779458323	25587.533109931537	24712.204933166504	27633.207431737927
2927.0107847729805	3267.9291713384932	4461.407123420563	3954.830376998238	5993.3819445261515	6796.280322863015	12075.491180701969	15411.084158378735	20105.456471790727	22829.665162692818	25592.859240545742	24679.64857052534	27723.28836454762
2926.1999929311787	3269.694561302721	4461.20192185332	3955.455356174045	5991.036441910219	6795.256503628715	12068.601754995492	15394.108112041768	20112.93242959415	22856.902462876496	25515.06920684156	24675.11392408802	27662.061875866304
2927.005942078546	3268.295205034636	4461.055699264536	3955.6413815345295	5991.728807850968	6793.03007372191	12057.962330109482	15417.629519835213	20050.182677151864	22829.698678403616	25651.36508665223	24630.92559423202	27570.060013864015
2929.451563716467	3270.1048740120823	4461.990419982871	3952.718193148389	5990.108109747099	6793.480095226095	12070.73120509877	15394.132921500974	20044.92910284745	22814.012636804277	25666.360374834898	24631.336236455638	27673.94591068876
2926.4062377748573	3267.7079756347175	4461.663175625817	3953.1462869526426	5992.437020326272	6787.945863505571	12068.966009321004	15416.454113527541	20108.800185354132	22810.20167536629	25644.58023729942	24612.11192302215	27717.198458584873
2925.794508997222	3269.367708532558	4460.547930473078	3955.5615717821784	5990.509810838041	6793.079446732668	12078.220233952363	15414.901767008105	20099.57058485164	22880.089510777954	25639.256564053623	24677.92156415108	27568.67357479629
2927.9178728807337	3269.5532434945767	4460.624067213357	3954.560199939915	5992.491082494039	6798.2122260701535	12070.65231659833	15414.299028072399	20096.636237986277	22783.04555613524	25664.32261812514	24648.026536447935	27630.93975808123
2928.788065320778	3269.01379198131	4462.098152406754	3953.3021777838794	5993.879876336101	6793.971431211352	12064.313271570118	15416.654937811807	20103.55247430438	22853.308551947786	25611.08558186555	24644.293585774216	27633.833451704544
2926.6472789516647	3268.5643375510035	4462.075095290303	3953.5062066439923	5993.673162322557	6796.435305946751	12062.34748210382	15417.204493969943	20058.03307821584	22809.656283345084	25530.642357425415	24633.668790197677	27664.563285745007
2927.24362108626	3267.5734146125706	4460.255509799289	3955.3147530838437	5994.734756445234	6792.929608808648	12079.110444691789	15429.12331302609	20109.90298071573	22888.0525777896	25598.25993966365	24661.791630280324	27781.693831734035
2927.1319545381916	3268.655865823313	4460.910048898777	3954.477258324918	5992.438951873168	6793.277933850266	12055.516242980957	15422.06315804791	20117.267575277878	22813.15510089581	25616.46894975142	24674.38521658539	27627.639633288487
2928.329566119624	3268.5742519869664	4462.164137644378	3954.203365701175	5993.4334877209785	6792.086973745077	12067.979552209157	15419.336870542951	20074.110979225203	22881.769070959395	25696.51258164558	24646.728564375124	27619.36530792456
2926.2355674074806	3270.4125413323677	4458.578299862779	3955.2338384569925	5990.273109319789	6796.416708950623	12059.389564193363	15407.145154345166	20101.65351576819	22816.746662824582	25588.172802822195	24645.577570435347	27669.445271956793
2926.655874261771	3268.240939026181	4460.207662195524	3954.061313474143	5993.002590983987	6787.702441215515	12074.596741620233	15423.848240386022	20100.16441345215	22875.63863674544	25625.499378551136	24639.166201265474	27633.71174946589
2926.8335587907545	3268.476647430284	4462.811017128492	3953.207173996423	5993.278192387496	6795.84248388853	12067.5415346474	15412.850432343535	20083.911217336405	22851.977485437365	25562.262189561043	24641.194920630973	27683.15514214605
2928.3261192959762	3269.932272408294	4461.394960063107	3953.0507888567554	5997.3800364561075	6794.599556018642	12078.97641243191	15419.518895086212	20023.517830427303	22828.826537499062	25645.17656962077	24687.656989464394	27586.78546451059
2927.5911178059573	3269.295496806259	4463.641913895754	3954.123885822202	5994.147947993144	6798.220078518702	12086.836614292046	15391.60438387347	20146.15675982307	22802.246941460504	25647.252583675247	24635.47337931185	27643.120807150135
2928.0583654198686	3269.437744683428	4462.731552369658	3953.8903669877486	5991.25781691218	6794.343914902001	12077.10756074398	15402.614024647495	20065.748203567593	22808.398897685704	25627.41510274178	24642.243552893495	27624.5571646019
2926.8364013127457	3270.531078750716	4461.252221121606	3954.9212818202236	5991.232700836964	6792.344614711765	12069.737145660121	15410.31009548313	20058.676383238144	22833.16697829809	25585.336961608	24649.771433027963	27661.131440306737
2927.904502554701	3268.873108181692	4460.406011715291	3955.7551393414487	5994.603121213966	6793.687961719655	12070.964364444508	15417.633730317846	20069.14726523466	22810.957234376554	25619.575693288865	24704.1683989211	27779.33816186788
2927.2716510874784	3268.5023614051966	4460.826045992447	3954.329785005546	5991.801345128837	6794.659796131296	12068.985575470477	15395.856165623927	20048.54623661485	22862.194450038252	25727.513034421183	24725.144315762536	27677.200842594753
2928.322482957199	3267.672228423483	4461.182146957241	3952.4871999396037	5991.368887414894	6794.681831120122	12078.341315774356	15414.275703849373	20083.979118702024	22827.13926755465	25659.890483609208	24592.66467597157	27631.212227611337
2928.230497572157	3268.1891358928915	4460.01504532312	3954.356629171489	5995.35165973498	6796.0571359705045	12062.069247750675	15431.846367133843	20048.297636690197	22788.85264305552	25515.966036689842	24672.072274344308	27593.839900157942
2928.1702263850534	3267.2604356560514	4459.092241391491	3954.997701451617	5990.61313831213	6795.998988287539	12071.37455905441	15430.547280553687	20067.06438566509	22857.033289395848	25620.914806019176	24607.518675980296	27729.06552190366
2928.1540672377787	3269.6660233865214	4461.828602514946	3953.0879957394263	5990.600892092979	6791.95432153635	12063.047388097742	15433.201989853882	20109.15153904965	22788.8761422573	25706.242823946304	24736.725367032566	27609.350018552926
2928.3685183265166	3269.767478101033	4461.46312899945	3954.6861950116668	5992.117127101647	6795.856712263674	12082.246098205122	15414.475344351209	20040.43121784054	22806.057563194863	25624.51102516868	24671.484932066902	27679.731195623226
2928.277329793052	3268.9881950631598	4460.205736848497	3954.242035996643	5992.4217518030355	6798.484752658571	12077.725681431619	15406.21366794939	20125.433846303094	22852.64779965337	25566.562418472895	24712.973468939974	27616.87268418956
2927.9398056113405	3268.808702125946	4460.185037463175	3950.5579816218838	5993.382314617714	6794.294014504429	12074.0834197435	15410.582573859247	20079.735786684098	22805.89861747546	25595.982869466145	24638.749991252924	27644.975342019632
2928.7002722264756	3269.669323524902	4461.7171456192855	3952.3419073582636	5994.808989328294	6796.348536456073	12069.385430029837	15428.187305037813	20047.782808976688	22836.76465352376	25738.29953851252	24699.58588718987	27642.68197875092
2928.654865043614	3268.2456536512236	4461.378664583774	3953.9572633342977	5994.932118089274	6794.418012097875	12071.07733626392	15410.155913161389	20084.60288824037	22829.449366009423	25693.74883217932	24703.6188076704	27669.285698760326
2927.279236293075	3268.772750016429	4461.196398642993	3954.896813795972	5990.579903843891	6800.229359907055	12064.692718956303	15413.525871243246	20069.653369247393	22854.181436391977	25561.0376810856	24721.868576542023	27673.545727230583
2926.9320201637133	3267.711121358989	4459.572449708597	3952.413017367139	5988.764953613281	6796.949881094473	12073.282793764667	15415.166553698087	20080.22062959727	22824.23561754318	25632.09119050399	24699.853016779973	27604.90818300109
2928.0047673862914	3269.8278790473464	4461.217264104227	3954.5492777927857	5991.952568531802	6798.495225800799	12070.920829145303	15429.362621936169	20052.814763312464	22841.830162485694	25635.933530503426	24691.75821774966	27703.927910846214
2926.2366240594365	3270.345256138462	4459.532490119836	3952.739975412412	5990.656522604136	6799.376165139697	12096.525769714915	15426.447961182721	20094.736884622012	22813.84590344551	25614.60370602815	24583.42652732191	27660.094443641414
2926.4759934733797	3269.219610740594	4461.795072438866	3953.7556966145835	5993.696654341228	6801.835452392352	12067.160179235818	15410.391907942923	20110.844870698	22885.12694529998	25549.30811342986	24608.345277056433	27649.165066805752
2927.0410773544236	3268.7747902549772	4461.396461594826	3955.8321075514878	5994.176253294333	6795.431949474193	12084.680445053998	15409.939073305783	20087.281051947146	22881.657170792358	25615.51246090212	24629.773817645008	27615.324198770864
2927.24335547721	3269.045498039627	4460.838293339279	3954.857720269097	5994.708874286749	6796.89253558706	12082.039979381174	15409.501044304816	20110.59320460983	22868.558141579582	25680.268027565697	24664.707122508353	27593.11345510104
2925.3607755134813	3268.8512528567594	4461.759144497901	3955.208424348025	5992.295262150871	6797.05191451829	12089.804969590528	15408.618859782619	20010.99266741783	22833.11649492592	25703.20799359284	24679.63953686368	27776.006339252857
2927.42961928958	3268.0868631295066	4460.8542939116705	3953.476159060025	5989.404589559637	6798.891395385516	12073.937377366632	15414.576919926187	20083.34679784302	22876.699892476725	25662.50510837721	24680.02110815508	27723.10580587559
2926.830253978767	3270.69358070298	4461.48360557998	3953.7513680137663	5990.084165181869	6789.887903807248	12073.460540208429	15405.33070006381	20082.376724065736	22859.787329649313	25571.149328480595	24591.26427060082	27645.57242823852
2925.843029948481	3269.7704063895435	4462.638211419178	3953.2335081984543	5991.958673227856	6798.176580347988	12058.866374632891	15406.805604368776	20094.86036691052	22899.997540009328	25638.308335727732	24666.994714276967	27589.563858638172
2926.4685536707516	3270.573557159047	4460.852732222666	3955.554631840528	5993.500949865742	6795.879643310321	12083.240100818366	15435.166526259038	20132.88464462548	22811.77423562214	25647.60063529445	24697.383757560485	27538.519904071243
2925.0316591503956	3271.1047946727767	4462.517236634676	3954.868579992411	5992.378534655047	6796.666742913604	12076.201588741733	15411.463268018979	20062.424351105536	22939.09442040228	25598.65635933636	24703.065554300945	27608.809263809868
2926.645656623463	3272.2695039050413	4463.4452515825205	3953.3997526263247	5989.928195834064	6795.367082989293	12060.014640583711	15428.69922334114	20061.926661010388	22875.549708915292	25631.070994644713	24682.968090742062	27686.19190562855
