16_no_PLL	16_RANGE2	26_RANGE2	16	26	30	60	90	120	150	170	150_BOOST	170_BOOST
119.76593017578125	133.54007720947266	139.90140914916992	196.2477035522461	181.53529357910156	178.73858642578128	158.1705322265625	168.38719940185544	166.3102111816406	180.33313751220703	179.5388946533203	209.92265625	207.5300537109375
119.76852416992189	133.721923828125	139.9112510681152	196.62249755859375	181.74778747558594	178.36431884765625	158.06039428710938	169.46495819091794	166.51405334472653	181.37461853027344	179.97484588623044	208.214501953125	206.139111328125
119.6867561340332	133.62810134887695	139.6604347229004	196.67900848388672	181.00726318359372	178.89603424072266	159.46479034423828	168.90188598632812	165.41358947753906	181.23490905761716	179.2662506103516	207.98371582031248	206.27800292968755
119.6076774597168	133.78183364868164	139.72368240356445	196.69825744628906	181.37427520751953	178.26416015625	158.5420989990234	168.57705688476562	165.2661437988281	179.82980346679685	180.0801086425781	208.11862792968748	205.6412109375
119.60611343383789	133.88477325439453	139.92584228515625	196.41254425048825	181.57161712646484	179.04826354980466	159.28484344482422	168.51580810546872	166.04811859130857	180.9179763793945	178.62442016601565	207.571484375	207.57705078125002
119.61555480957031	133.8903045654297	139.84380722045898	196.47548675537107	181.56202697753906	178.2553482055664	158.1899642944336	168.40528106689453	166.80658721923825	181.29684448242188	180.21368408203122	208.64118652343748	206.37954101562502
119.78996276855469	133.73079299926758	139.79253768920898	196.78630828857422	181.51371002197266	178.39645385742188	157.91848754882812	168.64883422851562	166.9705352783203	179.79171752929688	178.5080337524414	208.1292236328125	206.321630859375
119.55528259277345	133.91633987426758	140.20235061645508	196.7702407836914	181.5373306274414	178.25807189941403	158.87594604492188	168.56808471679688	165.66796874999997	179.83859252929685	179.33841705322266	209.57104492187503	208.2135986328125
119.76274490356445	133.58715057373047	139.80867385864258	196.6469879150391	181.7294998168945	178.98143005371094	158.6839828491211	168.67263793945312	165.55458068847656	179.58023071289062	180.03444671630857	207.814453125	207.7778076171875
119.67565536499023	133.61982345581055	139.9896240234375	197.08973693847656	181.5428237915039	178.3626022338867	157.92711639404297	168.19102478027344	166.59052276611325	180.83425140380857	179.37075805664062	209.13544921875	206.61865234375
120.00686645507811	134.10667419433594	139.79726791381836	196.41597747802734	182.34528350830075	178.25399780273438	157.61089324951172	168.2277374267578	166.93306732177734	181.63272857666018	178.07986450195312	208.7999755859375	207.431689453125
119.6957015991211	133.66844177246094	139.95763778686523	196.7866973876953	181.37482452392578	178.44337463378906	158.42182159423828	169.5650939941406	166.37763977050778	180.8649444580078	179.96019744873044	208.44023437500002	206.403076171875
119.63735580444336	133.75581741333008	139.87619400024414	196.44934844970703	181.60922241210938	178.99980926513672	158.3646240234375	169.39324951171872	165.51791381835938	181.2420959472656	180.04472351074216	209.27458496093752	206.93913574218752
119.78605270385742	133.72243881225586	139.8609733581543	196.1245880126953	181.08595275878906	178.2070541381836	159.37271118164062	169.19249725341794	166.38800811767575	179.84561920166013	180.48355865478516	208.32529296874998	206.31669921875002
119.62017059326173	133.9369010925293	139.60100173950195	197.0198822021484	181.46859741210938	178.7131576538086	158.61756134033203	168.8247528076172	167.27405548095703	181.2787170410156	180.38896179199216	207.30415039062498	206.79155273437502
119.84930038452148	133.71381759643555	139.71874237060547	196.38842010498047	181.65131378173825	178.1019058227539	157.97149658203125	169.01982879638672	166.01602935791013	179.8835906982422	179.28717041015628	207.53349609375	207.08967285156248
119.77653503417969	133.89907836914062	140.0098991394043	196.77838897705078	181.76886749267578	178.51190185546875	158.1097183227539	169.01515960693357	166.2307662963867	180.79552459716794	179.26329803466797	208.79853515625	206.8174072265625
119.8054885864258	133.75808715820312	140.4017448425293	197.00882720947266	181.79390716552734	178.12573242187497	157.77351379394534	168.4742889404297	165.91950988769528	180.21331787109372	178.9201126098633	209.33991699218754	207.255029296875
119.75395202636719	133.92267227172852	139.85612869262695	196.53018951416016	181.34200286865234	177.84505462646484	157.84563446044922	168.40926361083984	165.65158081054685	180.71573638916013	178.913818359375	208.07622070312502	206.50769042968753
119.76640701293945	133.4693145751953	140.1300048828125	196.65474700927737	181.73842620849607	178.77051544189453	158.93433380126953	168.8406829833984	166.61588287353513	179.7575225830078	179.844612121582	209.80605468750002	207.773876953125
119.74786758422853	133.71017456054688	139.99948501586914	196.54833984374997	181.72675323486328	178.00833892822263	157.9269790649414	168.88861083984375	165.72040557861328	179.47675323486328	179.10514068603518	208.158984375	206.6747802734375
119.84760284423827	133.74002456665036	140.06269454956055	196.36017608642575	180.8828430175781	178.59471130371094	159.3196792602539	168.85919952392575	167.26480865478513	180.34197235107422	178.72396087646484	207.2155517578125	205.65607910156254
119.82105255126952	134.00285720825195	140.46796798706055	196.62506103515625	181.18773651123044	178.82947540283203	158.55743408203125	168.73136901855466	166.35976409912107	181.68218994140625	178.53856658935547	208.06562499999998	205.77602539062502
119.83211517333984	133.7599182128906	139.9289321899414	196.8336410522461	181.3772735595703	177.66394042968747	158.8663330078125	168.68673706054688	166.1487121582031	180.3701477050781	178.77813720703125	208.56193847656252	207.8537841796875
119.83577728271484	133.65358352661133	140.21028518676758	196.45149993896484	181.67747497558594	179.12743377685544	158.88912963867188	168.5972900390625	166.49789428710932	180.2746810913086	180.1230010986328	209.33684082031252	207.30305175781248
119.82172012329102	133.59376907348633	140.25354385375977	197.0390853881836	181.76843261718747	178.38134765624997	158.19463348388672	169.6204605102539	165.81962585449216	179.85928344726562	178.8888702392578	206.77241210937498	206.85654296875
119.70705032348633	133.51749420166016	140.11363983154297	196.43350982666016	181.89488983154297	177.908203125	157.7402801513672	169.29325103759763	166.1259613037109	180.3477630615234	180.1548614501953	209.027734375	206.1835693359375
119.71124649047852	133.59582901000977	139.7920799255371	197.02063751220703	181.2892913818359	179.07497406005857	158.14068603515625	168.70200347900388	166.10923004150388	179.2760009765625	177.82928466796872	207.15126953125	205.90117187500002
120.0612258911133	133.49470138549805	140.00066757202148	196.17363739013672	181.66896057128906	178.05384063720703	157.73416900634766	169.0011978149414	165.5715179443359	180.88899993896482	179.05224609375003	209.80703125000002	208.0052734375
119.6555519104004	133.66254806518555	140.3826332092285	197.20827484130857	181.15830230712888	178.82350158691406	157.48812103271482	169.79067993164062	167.08403778076172	180.7341156005859	179.48030090332028	209.30559082031252	206.836474609375
119.81817245483398	133.73212814331055	140.18678665161133	196.6889419555664	181.65536499023438	178.19325256347653	158.9948501586914	170.32459259033206	166.32316589355466	180.50770568847653	179.37565612792972	208.471337890625	207.109912109375
119.71570968627931	133.7744140625	140.27931213378906	196.55941772460938	181.34674072265625	179.02782440185547	158.02237701416016	168.97586059570312	166.90470886230466	179.46297454833982	179.5945587158203	208.1307861328125	206.801318359375
119.76722717285158	133.6491584777832	139.88021850585938	196.95050811767578	181.5809783935547	178.83863067626953	159.3463668823242	169.7501449584961	165.04035186767578	179.61307525634766	178.78617095947266	207.87060546875003	206.540478515625
119.84720230102539	133.79125595092773	139.7304344177246	196.5911407470703	181.36992645263672	177.57472229003906	158.13180541992188	168.88302612304685	166.8032684326172	181.29947662353513	178.45852661132815	206.87001953125	207.43481445312497
119.82379913330077	133.9957618713379	139.93083953857422	196.78658294677734	181.42229461669922	178.3449554443359	159.0146713256836	169.38800811767575	166.2977600097656	180.95455169677734	178.50178527832034	209.2439453125	208.085302734375
119.79766845703125	133.56380462646484	139.9051284790039	196.4465789794922	182.00479888916016	177.93399810791016	157.80688476562497	168.4010009765625	166.50089263916013	181.48764038085938	179.44972229003906	207.6040283203125	208.01494140625002
119.78414535522461	133.8818359375	139.98558044433594	196.25619506835938	181.21632385253903	178.0272903442383	157.47869110107422	168.20187377929688	165.521369934082	180.35462951660156	178.87364959716797	208.2593994140625	206.37453613281252
119.70817565917969	133.5927391052246	140.25190353393555	196.61187744140628	181.11932373046875	178.4297332763672	158.11205291748047	170.06858825683594	165.09970092773438	179.94879913330078	179.81229400634763	208.6703857421875	206.72600097656252
119.93751525878906	133.83983612060547	140.32087326049805	196.5871353149414	181.5245361328125	177.90094757080078	158.3174057006836	168.31439208984372	165.86439514160156	180.4071578979492	180.19564819335935	207.7727294921875	205.63029785156252
119.73588943481445	133.70584487915036	140.01760482788083	196.41004943847656	181.00062561035153	178.56385803222656	158.0233154296875	168.4490203857422	166.57047271728513	180.94812011718747	179.2229232788086	207.65810546875	207.4814453125
119.6530532836914	133.74961853027344	139.73567962646484	196.56980895996097	181.33822631835938	178.12802124023438	158.51525115966797	169.4650726318359	166.118293762207	180.53917694091797	179.13805389404297	208.9096923828125	206.38552246093752
119.78570938110352	133.6255645751953	140.008487701416	197.48430633544922	181.84368896484375	178.1187744140625	157.78374481201172	168.53908538818357	166.35829925537107	181.31808471679685	180.12135314941406	207.93369140625	206.4560791015625
119.68780517578125	133.74216079711914	140.1106834411621	196.72604370117188	181.68013000488278	178.4544982910156	158.89588165283203	169.52336883544922	165.0706787109375	179.90196990966797	178.89305877685547	207.349462890625	207.299365234375
119.6109962463379	133.819580078125	140.26660919189453	196.77948760986328	181.98312377929688	177.96810150146482	158.19012451171875	169.96463012695312	166.6357955932617	179.48783111572266	178.67745208740234	209.227001953125	206.9701171875
119.77108001708984	133.83424758911133	139.76179122924805	196.3068695068359	181.35285186767578	177.91094970703128	158.6773452758789	169.293342590332	167.00447845458984	179.9666290283203	178.8146209716797	207.25034179687498	207.64013671875
119.7659683227539	133.90335083007815	140.20872116088867	196.4844818115234	182.14530944824216	177.91907501220703	158.3434066772461	170.4100570678711	165.70223236083982	180.26129150390622	179.06824493408203	208.185498046875	205.80446777343752
119.71635818481445	133.84788513183594	139.83209609985352	196.65435791015628	181.18006896972656	178.44504547119138	158.0504379272461	169.67017364501953	165.0376739501953	181.02937316894528	179.3374786376953	208.41337890625002	206.927490234375
119.71586227416992	133.64721298217773	140.05844116210938	196.9266128540039	181.32117462158203	178.8962860107422	157.5373077392578	169.10565948486328	166.73181152343747	180.2643356323242	179.52658081054685	208.63271484374997	206.731591796875
119.88180160522461	133.58549118041992	140.5211639404297	196.98497772216797	181.1594009399414	178.6332778930664	158.85745239257812	169.7994232177734	166.47983551025388	180.1743392944336	179.3975372314453	206.70043945312497	206.8361328125
119.76249694824219	133.64017486572266	139.9184226989746	196.8574676513672	181.56127166748047	178.37459564208982	159.3262023925781	168.86531066894528	165.96311187744138	179.74969482421875	179.1441192626953	208.7861572265625	206.17690429687502
119.70209121704102	133.7883186340332	139.72862243652344	196.40077972412107	181.56605529785156	177.54814910888672	157.91468811035156	168.14515686035156	167.04446411132812	180.0021057128906	179.67677307128906	206.940966796875	206.18085937500004
119.8478889465332	133.9975929260254	139.82257843017578	196.6077117919922	181.65058135986328	178.1607513427734	158.6308135986328	168.53649902343747	166.0095520019531	181.41105651855472	177.9753341674805	208.336865234375	207.33466796875
