16_no_PLL	16_RANGE2	26_RANGE2	16	26	30	60	90	120	150	170	150_BOOST	170_BOOST
2967.441282848891	3307.084626287089	4536.362164369972	4050.0186468599572	6065.734214752124	6864.001014814949	12114.777284509995	15661.011849130902	20381.15333108341	21906.357812464412	24447.017245822484	23563.516551050645	26406.002355320834
2968.9768014358424	3308.3108319674666	4536.681292740442	4049.7301359077637	6067.968331850492	6862.277579549717	12128.636762362597	15621.769744738014	20346.291953167958	21778.892714970392	24506.378797144673	23575.01154360564	26401.013233622565
2968.421531102014	3307.626271011806	4537.3760468778555	4050.8940617047024	6067.553740399361	6863.721387381931	12124.75595683077	15604.387101471557	20451.72965844944	21825.013133142726	24489.92494676934	23686.192126037775	26505.705557371442
2966.4602544572617	3306.520851425646	4536.483194920924	4049.2888967039084	6065.21787077045	6864.7627909831335	12120.955580965094	15643.750638898073	20373.045340092223	21845.214220942282	24520.711961135366	23564.15624203889	26423.880928441096
2966.421464132884	3309.0650829064393	4537.15441910364	4049.4092085289517	6062.086576070541	6863.2422397195905	12133.214765754436	15638.06682493214	20349.03414109174	21786.846866497413	24482.513728894686	23570.526477902433	26411.982234992112
2966.655625237359	3309.2017935103727	4537.436963674853	4050.70688510991	6061.766392145401	6864.423452155207	12116.265647551592	15662.693551608494	20382.036561490502	21769.553852356134	24538.900337967218	23555.047250207448	26431.805970238856
2968.0367385667664	3308.530257280247	4535.773448708922	4051.1015375612283	6065.013032009244	6863.513921876804	12117.747663353908	15615.632798936633	20342.414142095553	21904.4490167272	24466.56164370085	23565.3559366862	26424.38919817815
2968.1053275266495	3308.209977131116	4537.292900208902	4048.770386495708	6060.941861226009	6864.52833870202	12124.232756785857	15608.155992296008	20362.33637536873	21782.77525790902	24499.783750440252	23591.841332163523	26492.976210404686
2967.362361337078	3306.6126379636253	4536.297010338824	4050.2345508946914	6062.499993891598	6866.997776769143	12109.583550757105	15617.83684624566	20408.602155877288	21814.89683101198	24514.494378582323	23666.91567112336	26437.526417089208
2966.674649603129	3309.059520946274	4536.280752541721	4049.345351300061	6065.9858256984735	6868.553690460825	12118.409790825888	15642.766441617694	20355.635724109638	21776.764379071363	24504.201920306095	23610.84822285382	26462.429859599128
2967.5288440919417	3309.6415151613014	4532.985340914992	4049.479990887913	6068.46657043067	6864.371449581577	12116.458583142045	15646.180936268398	20337.849332575213	21809.885756083113	24569.517729298168	23572.974122328564	26479.739768832336
2967.17158153498	3308.624796348043	4535.2442575134555	4049.108999746817	6065.236240099177	6865.319122568062	12111.76006072158	15631.00055255721	20389.416638542625	21843.592325846355	24424.56534320446	23600.570015285328	26434.820206438908
2967.196324514964	3307.512794592732	4535.5445525371	4050.1679954170177	6068.204437720842	6867.7029337452705	12129.643384148092	15615.159431390002	20343.893045521065	21825.878606366285	24515.8937242296	23558.46822777124	26503.475376817045
2967.939858866636	3309.9613567390065	4535.051016801372	4047.4778770987145	6065.31192252107	6862.563699098259	12117.754803956861	15596.653507874074	20330.89053246283	21783.62635679023	24416.06583533349	23587.555816208107	26423.757584368595
2966.770103999547	3310.353462494545	4538.39407475624	4049.9071329170456	6063.5056606558865	6863.024487473448	12126.72487311407	15631.921556260852	20379.392724288136	21830.288661008624	24482.75811509123	23608.79992604603	26484.57386454598
2968.036166035698	3311.387260932034	4536.322804240437	4050.9162562908514	6059.891706089481	6864.859151354992	12121.81526872554	15615.283517774087	20345.101636998792	21788.225617519645	24573.35120753238	23566.21276500613	26436.079561320785
2967.7040394990013	3309.418644813164	4536.937755651468	4050.9385082561507	6058.962249755859	6867.955596163002	12110.119356828578	15649.551815456814	20371.417438282686	21835.20828468212	24489.521589435513	23572.81150156363	26401.323430678425
2968.42142186387	3307.5689208259923	4537.871520443739	4051.6787432023825	6059.796905517578	6859.432086486252	12128.960162511172	15634.21389573401	20333.273270550897	21828.163501828214	24442.638334680778	23565.822788205547	26457.18817617379
2968.6155683283882	3306.7326486846546	4534.8939264794735	4051.8346840293616	6064.138672707743	6867.665068986131	12134.504494191975	15628.179622386771	20360.322125190127	21825.572027676346	24441.77846439549	23559.354699176292	26448.218548884157
2968.9243186152567	3306.9701331812516	4534.951614330502	4048.3931778919086	6062.7977785060075	6858.905595530024	12128.688476897858	15633.396572536893	20358.73446646324	21836.433744291524	24488.645441391887	23686.55783592621	26437.02628169852
2968.4647393214805	3308.0201524133317	4536.600292153893	4050.2048269813304	6067.2660668691	6861.252656807842	12118.399252988138	15637.83433702257	20368.781413300552	21866.07617383812	24548.40195806403	23568.7255859375	26469.618375184105
2967.994126900403	3307.1222692050046	4532.773286393545	4050.3336651490467	6063.38304564153	6864.802863765027	12135.8683165946	15635.111067030164	20438.02647296984	21843.746651050657	24496.156918375116	23598.70988495496	26425.791414160478
2968.807050328779	3307.0793980318845	4537.079069349501	4049.7829344858346	6063.846603454835	6867.4913749167445	12122.127987922879	15623.274909125434	20327.439406050966	21815.824920918138	24551.50805684206	23558.155004528984	26441.203920464766
2967.6105788345676	3307.6141991318154	4537.254610568788	4050.074918770496	6065.318136689751	6860.6711627157665	12123.499161157853	15619.142320421008	20361.36178409352	21783.834263898323	24503.582402279502	23546.1003518518	26447.19363035519
2967.701270002844	3308.257017985429	4537.5496824196625	4050.212352361967	6065.620825840877	6866.276977033712	12125.238830789978	15610.860188802084	20344.31748376214	21899.256692335835	24446.661386893706	23565.47649724339	26377.118759900815
2968.823590765387	3308.4142910719743	4538.949639280251	4050.3018703376006	6063.798792940603	6862.932735312788	12116.623275420245	15670.774252610301	20321.032580207375	21785.281425298646	24438.37025126473	23617.097508837604	26406.31931279999
2968.9248592134504	3306.525364082718	4537.35880283494	4049.8414528010094	6063.162994384766	6863.742404513889	12126.40530068936	15605.941282964386	20358.573689180263	21781.130804531815	24530.8907203425	23598.687497177565	26406.707138311667
2967.556928370811	3306.827450742816	4535.758595896727	4047.9256556584287	6067.245360837883	6864.26610165818	12112.49127107508	15655.345534428721	20356.52328939999	21841.61805270011	24616.45690309645	23591.389113890535	26457.284626207853
2967.405484209424	3305.9609060301646	4536.638612184754	4048.4901227946325	6065.336557535024	6863.006500046525	12125.935501717993	15613.56225193472	20350.48155658013	21846.497577169666	24460.689357069674	23618.406795974424	26466.469034698188
2967.6476168254067	3308.4789125045927	4537.253820595621	4047.7888924734934	6062.861522996282	6860.938520062694	12129.39934016596	15617.244290989756	20356.242419683444	21827.7917392012	24439.0387940251	23561.95862080247	26403.757481793175
2968.735690159415	3308.5632890477623	4536.789212026257	4049.0971252381096	6064.882645240197	6868.380071055988	12133.306636041774	15597.49016394982	20322.967484549692	21927.563859144382	24504.8710557281	23604.09169957258	26438.663208406735
2969.1396251557367	3307.9726523862514	4536.847093589556	4050.4331051065237	6064.2971081680125	6868.777793195805	12125.719537612043	15611.221414976268	20394.02600956802	21800.652884880932	24454.59677503	23565.532850182575	26399.269602657143
2968.944649798006	3306.5106006378824	4535.675048828125	4048.4810910556607	6062.399118374556	6867.8429599181845	12115.751739836087	15613.51590861811	20345.211029052734	21818.886692947966	24504.683519664562	23604.49280849723	26539.43237505461
2967.984207553873	3306.753730868209	4536.70241615989	4051.0868106468497	6065.072446918029	6863.586977815363	12111.811076893526	15637.317233615451	20322.035627755504	21832.788610734002	24459.77612545616	23559.35900273893	26480.138691422206
2968.875102410822	3306.9042910004414	4537.316457152212	4049.1066449954187	6061.958521007057	6861.5326040449345	12134.81924036047	15614.67626453501	20379.62745217716	21854.41445613253	24465.705219068026	23623.09714962292	26476.651915509847
2968.227662463609	3307.6722294815463	4536.482765207649	4050.1108976474557	6061.977048000272	6864.737581323694	12153.949843316774	15627.412859740396	20404.521156759823	21792.46402267764	24514.989383885117	23574.221965878507	26467.699181373424
2967.8926004763284	3308.9924848615915	4536.14972275878	4050.1938886486582	6064.803341785109	6868.336818836354	12106.295441349494	15643.775463104248	20344.317838505656	21908.968600170258	24436.290928574857	23580.095042353092	26431.16497602619
2968.952769324893	3308.388784180897	4535.960657630516	4049.51139894147	6061.557019091993	6864.7942934890425	12110.298170762904	15642.80613105555	20352.52723468126	21796.12392602965	24484.244826572394	23558.3437660526	26476.178403760565
2968.750377692799	3307.954427103447	4538.191243871218	4047.0013034202366	6060.514694605118	6863.462483441388	12126.026784672456	15619.375657929078	20386.47924552625	21851.6421872516	24456.521198881564	23593.378621478412	26509.68155058304
2966.6969632015475	3307.9130351101035	4537.187453917072	4049.3577733481065	6062.453966048753	6863.616929283001	12125.791546170005	15631.869003873626	20353.18581589506	21790.47689272489	24484.005912405544	23580.362630444903	26399.817451203686
2967.5856469169494	3310.634122036471	4536.872715144962	4048.644936562056	6064.012383572745	6865.865758565926	12118.902993858408	15621.780294232663	20357.634039486155	21804.24842281618	24472.411734158875	23585.36086330524	26432.57203649302
2967.9313523563806	3309.2016982465407	4536.892018840441	4049.464942902092	6061.456298828125	6865.509343742773	12107.408288214527	15605.470869276258	20327.26041732296	21835.02946974914	24446.437723861844	23543.21687117867	26441.608491491097
2966.9758347987417	3308.81149918652	4537.263064804472	4049.860912820567	6065.709468645927	6872.092509666344	12125.754094385838	15661.804216135368	20348.949545233914	21917.881324277285	24438.942455854572	23683.007000482572	26462.84789041756
2968.0147951944887	3309.0895172632295	4536.436261057391	4050.961125038358	6066.1041259765625	6859.701722998182	12116.277919096105	15633.244124995688	20361.16759448457	21803.672390150954	24489.782358470715	23553.111711221743	26507.443287333503
2967.5688805027216	3309.452215358836	4537.720494456105	4049.23410698919	6059.638193921271	6863.848368326823	12131.295510388296	15605.949722560106	20346.549519321376	21798.28355478686	24589.46933053901	23602.671942975012	26420.009252691114
2967.4422280166973	3307.8891015335507	4540.437861427742	4048.8889262183366	6061.811416674726	6864.161844606752	12128.018281039069	15639.689525318567	20366.547733633215	21770.687379698822	24462.874990994813	23640.250050744344	26444.85862631547
2967.683643649342	3309.789444407417	4537.056979229511	4050.3863468066456	6058.723547676785	6865.3834053243845	12127.872769125697	15606.160195458015	20344.880911020133	21863.45086581465	24499.65555159772	23529.328362790147	26415.376102223116
2967.6713503760516	3309.7378153090076	4535.571281156392	4049.9879247697413	6058.579745441794	6863.731047066536	12110.80164047185	15623.213182267487	20372.89974626558	21834.34297872144	24445.340524311938	23622.363546620243	26476.89444119813
2967.3713268619954	3309.848641734884	4538.7972848976	4051.1882552272123	6062.898291162698	6866.285281867558	12122.821458530078	15652.601697803599	20342.110888349696	21887.06745559203	24507.860277519852	23608.876947771038	26403.713849634907
2967.3562177463377	3307.9251204386796	4536.913835894118	4050.5651780116705	6066.6022342782835	6862.672962530388	12136.365203578467	15670.500247674954	20338.61665164723	21772.00760952262	24473.240336433784	23571.414065498837	26405.853521628458
2967.3299756331435	3308.316484521098	4536.64358560141	4051.1711989298906	6061.900884677202	6868.931797774942	12139.813046613743	15603.670829654006	20351.421066194947	21802.580633828806	24546.007250176102	23567.43882070825	26406.360063396518
2966.5319046171585	3308.582541383343	4536.748164509273	4049.4256012521046	6064.722935358684	6867.127325885501	12127.73804270893	15605.231391059027	20344.30784337661	21783.26807379379	24393.549090937566	23588.86608179065	26467.35446904999
2970.027876302164	3308.8721851311107	4536.211452052045	4050.5538472553862	6065.47995246381	6864.842389271725	12125.459604280868	15633.911556667752	20382.016984598376	21758.793406403824	24443.38019377266	23552.789549896683	26485.665848380642
2966.9422038183643	3309.0329193809503	4535.536602265018	4051.422990317163	6062.771054245741	6862.986373198844	12113.257343633955	15607.366498732408	20316.95178526937	21767.16135836196	24541.064312583523	23563.615111417548	26504.812460921385
2968.195999342103	3309.143861763091	4538.464283185064	4052.213428053395	6063.73923601772	6864.221588785279	12125.614811392392	15631.986563062985	20379.520865047678	21835.429426552593	24418.712441438165	23558.95763219789	26429.752898372077
2966.488664071198	3309.292326341397	4536.129326613322	4050.7460513485357	6059.755204482946	6865.717546461248	12130.61809539795	15639.209534914828	20320.642695707433	21785.33174838239	24479.065566766458	23642.73238600346	26466.952429877387
2966.270956158284	3308.2542060802975	4536.045029991032	4050.9026804520804	6065.85775540956	6868.2046562378155	12152.502897480757	15623.804222932189	20372.12427924661	21851.306058922593	24542.48541279843	23573.36403667063	26412.699820552665
2967.7461869645826	3308.2325624700707	4536.51475043876	4051.5464714931477	6059.590733070435	6868.0107483361435	12136.440066730274	15626.788404842793	20341.62426274543	21789.73322329314	24477.49903944672	23566.35596635362	26514.46116598029
2968.054333120865	3307.3330916490136	4536.255653658061	4049.1005226417824	6060.42375931373	6868.909023426198	12122.112161972944	15639.074625831485	20356.133404900047	21808.034422769713	24481.57145844997	23561.610346255096	26458.500257504533
2967.9262448870945	3308.6367342049953	4537.6126630318595	4051.6836800275314	6064.968748976247	6862.001075638958	12110.804810243495	15622.151636444361	20357.76216384263	21807.452215664627	24508.01974437276	23706.716976777458	26403.58346407531
2966.049583938137	3307.495343579029	4537.126911220266	4050.7302467820673	6064.4830976213725	6869.258650814194	12124.04402140974	15618.512060789935	20324.331171372356	21872.695611447703	24446.512441166113	23589.261372884113	26462.12968669954
2967.8188696555353	3306.341194858768	4536.529020829635	4051.0959389769	6064.943014047085	6862.821949167304	12113.810897967138	15636.685661282309	20349.963928042613	21765.972764072914	24570.499709730495	23548.926973481914	26436.199125696403
2968.863176273155	3307.396742122573	4537.449427306575	4050.141210551316	6063.100433349609	6866.252488683018	12128.438705053084	15612.62544277495	20329.78863310604	21831.360416135925	24470.52001953125	23609.55227253049	26502.074569952292
