16_no_PLL	16_RANGE2	26_RANGE2	16	26	30	60	90	120	150	170	150_BOOST	170_BOOST
2437.9488261651	2807.367337085914	4236.447103142164	3351.4716837665824	5047.109519621455	5703.098802681428	10072.605265559836	14662.74786915004	19136.66983373759	22635.754982986793	25622.517171532218	24402.375732149398	27362.937927246094
2434.5942905970983	2774.341826502545	4260.746880158866	3316.703905755202	5023.468390190668	5662.106939787354	10002.37771130483	14632.505681924014	19210.230695070142	22896.237806840378	25562.286376953125	24429.15450297129	27519.929288613675
2424.2911513662198	2782.67631549637	4232.8464803840525	3330.7936685855643	5022.223179156964	5656.824437755186	9993.363130576496	14675.761317158793	19223.21319580078	22867.83286503383	25681.423418449634	24491.534513585706	27486.278783136877
2433.542213817634	2771.063910590278	4223.162078857422	3326.5451197567663	5045.085091299566	5661.029268700585	10022.399622365969	14686.058127814955	19244.475956380804	23067.126402983795	25723.274308021624	24383.30005955052	27532.697928072226
2424.41874902005	2777.9243321865133	4231.104557272151	3321.6363076469343	5013.96261861198	5634.598110033118	9990.052242596357	14683.246612548828	19164.664528586647	23127.73040362767	25674.0308655095	24642.527640402855	27616.10788316583
2427.042920891168	2782.561991474416	4222.284577317173	3317.6194446520262	5013.54611836947	5660.4528162704155	10023.443738399948	14613.913972849445	19211.299177529156	22877.525638889623	25778.00072994329	24668.723478445558	27688.6025056016
2433.9593632952906	2781.598741551211	4225.364746338872	3318.1716216088757	5032.057938185397	5669.24574188373	10046.502209584647	14682.119307310684	19238.105718640312	22892.73717381933	25698.48752868962	24639.026538745777	27628.183364868164
2432.3211232447943	2780.730181401319	4233.845950899255	3318.233574929065	5045.883148070799	5658.595650284378	10025.36977038664	14636.304787783922	19161.428230396217	22823.710078081207	25988.81841304913	24454.670292990548	27917.527910416502
2433.890275605488	2781.6807362964905	4229.39239256832	3333.8560916409633	5025.412471418878	5657.280815972223	10014.40777498133	14732.848099672077	19108.38245475379	22759.523866403157	25804.344488649953	24494.44911939681	27562.229000792213
2427.866814336073	2778.237607298779	4240.431268531156	3323.9213546904007	5008.410184811323	5656.407767996137	10015.077696515185	14645.086539970649	19305.07313121449	22733.555780932507	25543.682466303635	24833.426881798714	27501.067729911418
2432.9128831920057	2777.806839140335	4219.9361964809295	3316.3264998106765	5027.90417372702	5661.916688595578	10023.845421088921	14611.727606823293	19203.02480244808	22970.667752352627	25723.723590676556	24614.894336649122	27597.195000817934
2422.5288859916514	2776.677692166308	4246.944427490234	3314.075705445843	5025.547541929095	5655.101493552879	10008.720790638643	14709.679635016473	19142.067950704823	22888.27725819179	25666.832318765864	24464.123928708726	27647.659032031745
2421.784908213514	2770.4186984538323	4238.533459121375	3322.1617046552215	5032.1141528242	5664.688321302563	10021.335938397577	14675.989255800352	19157.14166460246	22839.77713820111	25631.04290647555	24619.007969761755	27383.09269629154
2429.9300860698336	2808.066641930306	4220.406405897025	3339.7915101546564	5018.113127092073	5672.265333080468	10043.242398430319	14670.530521902141	19154.29042995191	22811.45771522693	25794.472357239385	24514.415047385475	27799.606323242188
2435.3240323125874	2773.8614537252747	4223.782949179531	3325.9231582460666	5025.467941504611	5662.311367270909	10040.907298817354	14670.691647372403	19271.552133903228	22859.143359320504	25780.101718031212	24479.18483189174	27643.85726851255
