16_no_PLL	16_RANGE2	26_RANGE2	16	26	30	60	90	120	150	170	150_BOOST	170_BOOST
2249.475404642268	2593.178591160154	3875.7286010644375	3101.064092668117	4644.461167164338	5272.125603419592	9141.47320915671	13216.612131699272	17320.294311081154	21338.98884726212	24040.79631883271	22911.657666946205	25730.79439862889
2249.8671512349197	2590.1836819118926	3873.052978515625	3102.874002710853	4645.506540934245	5273.5559174935315	9138.399667113366	13246.823663580908	17309.650187027582	21174.388081503555	23759.427070617676	22773.627723966325	25678.30230250503
2248.5877285484507	2591.217334598641	3872.650556075267	3100.7512410481772	4646.240949058075	5268.52058375486	9130.745356373242	13202.060115793363	17267.030218373173	21231.14892414638	23817.842656915836	22755.233696223375	25571.818351745605
2248.8812468247256	2592.379904522588	3874.493636292138	3102.642306592546	4645.023590479142	5268.614557541722	9115.40143630084	13253.28271467607	17298.76062144404	21268.17445497255	23846.635866404777	22813.965788984722	25582.149775341302
2249.7224288925336	2592.1136494210587	3871.7749407045167	3102.5046887605085	4649.534570165427	5271.464751520351	9122.50140134026	13246.035966716829	17291.50283207532	21222.259317125594	23738.87062072754	22845.834493637085	25568.976402282715
2249.0671584939696	2592.7175538796428	3872.3968505859375	3102.8087647928282	4647.154838610918	5269.788047685051	9138.600699862352	13198.145143278352	17310.15633845675	21129.414043595305	23871.90346766	22724.750822624275	25562.377431284844
2248.245439335947	2593.003316273586	3874.19983982659	3101.0450931225537	4645.475006103516	5273.302139774446	9138.619327897075	13252.667018345424	17299.348029537476	21251.1524491246	23738.036802665672	22720.0444539388	25582.548361926823
2247.514168185603	2592.2357594088876	3873.769467631087	3101.707624434482	4645.465945510315	5274.952334516189	9136.816520830651	13256.099126110339	17310.698827107746	21206.693264401012	23776.317960652872	22811.260993170632	25589.286382473892
2248.0165763753052	2592.2743228113227	3871.7471798037946	3101.9645758701336	4645.5585039578955	5272.81157968227	9134.450090040855	13218.833052593729	17327.204994533375	21138.659468642225	23836.715736580853	22823.329463667935	25645.54021816061
2248.175530565586	2592.408915713459	3874.267523105328	3101.5277497271795	4648.230066261139	5276.074471182832	9126.448369288182	13229.92469953454	17313.87458553383	21199.667188856336	23806.528611616654	22869.062639469474	25537.093081066956
2248.040658456308	2593.296066088361	3873.60746140858	3102.693355030431	4645.1495478328425	5267.6042799132965	9120.531448280572	13237.919496453327	17274.671985257057	21230.820005973885	23671.3754471822	22778.76959906684	25597.63941932563
2248.2316998221486	2592.567865610829	3873.7846050766393	3103.5154631529526	4649.364795440282	5274.509744000148	9127.918501440741	13248.043424102201	17287.700072578762	21154.75548638238	23843.428101202455	22904.417536280176	25701.24487182004
2247.14053230248	2591.8440128162365	3872.027087421922	3104.24765049379	4645.851092597547	5270.045659988981	9138.663464534	13202.025390126075	17284.01667829873	21146.093096051896	23844.926044194384	22749.112447102863	25595.81756591797
2247.489175678771	2592.05283326282	3872.7876096487807	3102.6383123454257	4645.680503142748	5270.176145373784	9138.898535089178	13194.299848592898	17321.703245313904	21195.68965894759	23804.947359478054	22843.978234699793	25607.46370248459
2246.190721038305	2592.4447142047648	3873.615096911514	3102.617772671545	4645.735311051147	5268.287658691406	9130.572052280908	13209.559819469714	17314.831415812176	21154.517621065665	23789.281222089452	22862.557853971208	25522.55153656006
2247.994125124965	2592.5177114981193	3872.6605706850432	3101.7658738750715	4645.3765869140625	5270.4061906571305	9138.179308362649	13229.905742488496	17247.759180960897	21235.41491372245	23816.894646266	22744.592312162957	25663.898218816248
2248.374821822085	2592.788134083432	3874.445343017578	3101.48545253424	4646.3592065800485	5270.838407876854	9120.494018107544	13244.242771812107	17253.834566624046	21186.697799547583	23823.594328147083	22799.887098707593	25607.56206512451
2247.714949102907	2593.0625900464374	3873.1653657887246	3100.8324604260592	4649.655941205147	5271.467866994627	9124.773422437916	13251.973504889502	17321.50368068529	21145.45186360677	23793.934577673524	22813.76732720269	25599.431751960485
2248.157497447511	2593.295124652708	3869.1795349121094	3098.787674500809	4649.784386253053	5271.922197888387	9135.05519137663	13212.487223362728	17310.2427219999	21185.022989908855	23764.538764953613	22834.4642364227	25658.95909010762
2247.279496077321	2592.941842888441	3871.887946147934	3101.1041036833662	4647.683108632455	5269.908288619305	9135.121808332555	13216.329657513163	17238.696416219074	21157.697041829426	23807.51605009913	22803.39135064019	25647.486099089034
2247.487915310598	2593.4700196637386	3870.3826904296875	3100.1454756665134	4649.743055685973	5270.656140001958	9121.920988372302	13217.590810167692	17302.7653625046	21224.610440365905	23832.92500098147	22876.535143171037	25611.607715336962
2246.404874442828	2593.5220152964234	3872.68494337033	3098.9807113828397	4645.722062703808	5268.9568084829	9129.86545387758	13247.749307653407	17359.294753143753	21217.299149175396	23955.561897971413	22752.2041116442	25631.334314394237
2247.204466776822	2594.1892103715377	3872.969896913625	3099.962312520696	4647.223713298956	5272.593824347815	9123.079917010138	13200.741648022595	17309.51473867293	21329.948805036587	23751.473426818848	22738.460983548845	25554.934937750273
2247.0790878114963	2593.1196641757	3872.779304279105	3099.0251485620392	4648.405930091595	5271.018763346505	9133.874385728748	13204.798672368617	17264.43871207859	21132.740444607203	23783.12786619867	22773.725569515485	25554.31842803955
2248.1164639828585	2593.2063227114472	3874.3519229446056	3099.2442001531153	4646.9752605144795	5275.495847066243	9140.580565064818	13244.5005270151	17291.757604275368	21114.912327165646	23725.70514678955	22787.937096187048	25553.842285769668
2248.4412777565212	2592.946700899026	3875.0356526302394	3099.731633692612	4644.510073539538	5273.561838701271	9131.074607919116	13230.039498347254	17305.042432702106	21190.566676003593	23747.8150261773	22728.477205548967	25549.45468902588
2246.997240860785	2592.3904049902535	3873.404357030546	3099.8443897533793	4647.956848144531	5271.754431680641	9133.933881007204	13249.449391182654	17278.05377768098	21197.310553656684	23802.833940515568	22787.691236616254	25713.70866563585
2248.471653538213	2592.6952597535687	3875.252148740477	3100.7088555230034	4644.830257464678	5272.444089253743	9131.567818777901	13236.323884137644	17293.59834090523	21132.601158959525	23730.716705322266	22844.056023491754	25578.166499282375
2246.8406375091854	2591.8547406748426	3877.431918413211	3100.089537791717	4649.903188739121	5274.445946747136	9117.974954492905	13249.880611409284	17300.46655139784	21199.523078070746	23748.14383348628	22757.45425604086	25710.457503193556
2247.1948919348224	2592.0735923476695	3874.4160611692478	3100.619014543978	4648.113633734155	5268.609898368003	9124.980253331802	13229.871640738089	17304.169141858925	21205.3247631398	23883.24834368556	22776.773240831164	25543.127059936523
2246.9137307740766	2592.0567105943314	3875.2158482869468	3101.2572226940324	4647.85012854151	5272.17139387615	9115.117624265338	13216.827226721722	17292.22853406728	21180.870258702642	23697.967529296875	22862.33174961244	25608.881555422387
2246.7392488473956	2592.7550223687226	3875.715650624032	3099.671936789049	4644.938768484653	5272.001523848162	9122.596992241157	13207.227722500586	17273.111033525707	21161.405775282117	23859.786028838036	22868.419223361547	25752.929726032296
2247.6834274057937	2592.6359200183256	3873.6619347100445	3101.5816413366747	4645.600891113281	5271.1527174289	9124.352651483872	13224.52052608951	17294.692993164062	21221.092769077844	23836.083148592083	22847.02024848213	25658.78959157359
2247.597072927861	2593.716279959973	3874.6527617601896	3100.772050202895	4646.002482145261	5274.446805318196	9122.23892770844	13250.180653163365	17303.77554035873	21191.477241002925	23789.410663740284	22802.059139524186	25560.08190365892
2247.2153200718626	2594.4514140243646	3875.4265119098336	3100.2804607564412	4645.699873948709	5271.828769535763	9133.246185582711	13248.917849167534	17280.506313062317	21146.457826075533	23886.218070983887	22808.785949434554	25563.781584926586
2247.826407770896	2593.127678245586	3873.841082163566	3100.6069211578747	4647.128498211456	5273.58407024088	9126.908140755742	13198.1379329671	17265.129780423813	21133.906103570363	23785.673006616456	22812.881469726562	25551.857948303223
2247.393013227104	2593.7037077260748	3875.202178955078	3101.1426007306136	4647.025115209355	5270.615896767659	9127.847863993513	13224.853806664574	17277.960343794388	21218.633437905075	23766.160011291504	22767.427232530383	25601.688940920423
2248.064613909386	2593.425994223737	3873.135799016708	3100.9213027539254	4645.489275265045	5272.140187665451	9136.058212420263	13194.238323054902	17293.13475130267	21177.99123128255	23938.925579340772	22836.25943320138	25583.72248357265
2247.6316087913324	2592.7012145754848	3873.4024047851562	3102.2044482735805	4645.509597582694	5273.070661506018	9133.157275971913	13233.190054421897	17292.5304165847	21155.250923974174	23783.47770652579	22830.843925476074	25641.15047454834
2248.4464612353977	2593.513062820133	3872.4733369405612	3100.7376797680786	4644.5597440768515	5273.819852758337	9133.414588731153	13258.962840824337	17290.08448209694	21181.478628663204	23753.576278686523	22822.895220347815	25502.914160340275
2250.2712304494216	2593.778551860482	3874.2155600816777	3099.456156674498	4645.388728132644	5273.618892028019	9135.609832257856	13214.994649418064	17301.01151899858	21158.11620439802	23748.7494343459	22826.834784613715	25591.320461697047
2250.978430230115	2593.4902238257137	3874.0562438964844	3100.200132890181	4645.783866772108	5274.3781416480015	9123.702442974125	13221.118874745825	17281.185496937145	21163.131509508406	23740.27729034424	22800.02645312938	25667.74445350724
2250.049137833095	2594.438027535351	3873.990498763099	3098.770145365447	4646.880204140328	5275.954600843616	9133.702483625044	13221.253462827923	17331.068066583164	21153.962877061633	23827.896505442972	22808.570861816406	25565.881729125977
2248.1188222279534	2593.3864855613087	3875.0051594466613	3098.3781225887346	4648.255194731957	5276.372668265416	9126.705051122244	13261.011202041416	17288.45157211633	21261.68990883592	23801.35310954185	22762.492694685945	25582.6058699258
2247.7712941899354	2592.481562221086	3874.633026123047	3098.3485215272744	4645.5923231869765	5271.967046815091	9113.423964556525	13247.199680494226	17283.18048560101	21160.24388676196	23834.41636056611	22743.246196645552	25510.09178161621
2248.836379271069	2593.17906257603	3874.6389058920054	3097.744798471805	4645.609418012005	5273.145426263686	9126.974112821586	13239.847541829871	17323.466113013943	21111.24250623915	23795.671463012695	22802.494031965998	25542.993545532227
2247.130044616095	2593.330715013587	3875.597929343199	3098.9599886260326	4644.743907145965	5274.381144900163	9119.666674557855	13229.853450764753	17297.813360639615	21247.58883639499	23794.54988421816	22778.549536461254	25545.125007629395
2248.1031834133087	2593.007938613175	3874.8658620394194	3098.36464755869	4647.84603911086	5273.335081371935	9120.272715157325	13229.87683787333	17274.00237707783	21178.896938051497	23932.317992550645	22788.136800130207	25589.470911507655
2246.6694447925843	2593.3685415539617	3877.5772094726562	3099.1503768837847	4646.655840751452	5272.858250724532	9137.325111879121	13234.805285446042	17308.176427647686	21230.49143198374	23739.36176300049	22818.176201106187	25715.534133140485
2246.898256238585	2594.15764111304	3874.7238598281533	3098.560743313099	4644.4854736328125	5275.438982105079	9122.417875356168	13249.05854105298	17314.17835622594	21186.513560158866	23798.952198991872	22779.8334757487	25512.70480179668
2248.8396515104296	2593.381400174173	3874.344287441672	3100.448446311498	4648.2529751090115	5273.241491361697	9128.812455782925	13234.326096831775	17322.228109236243	21171.08447211129	23848.99601791844	22931.090384855397	25485.243797302246
2249.06653754796	2594.656008514389	3872.3587036132812	3100.0023190038964	4643.906012260981	5272.948796847998	9153.569445890538	13227.546149915685	17351.20579816293	21125.358817851647	23771.846713732237	22758.424809548706	25495.71421608996
2249.1050746666433	2593.7108196837444	3873.9508576244475	3101.0900696374024	4647.06711047549	5271.160613536396	9138.14952892571	13258.823981651893	17245.97682123599	21191.45585817072	23842.840483694366	22795.992238180977	25622.549967550152
2249.8545582963357	2593.81753427011	3876.1285752798904	3100.788752552544	4646.918938209693	5273.6085097435325	9131.767034091563	13197.249222841185	17263.07385209678	21206.103098232114	23812.576754009304	22805.81580268012	25477.494766463096
2249.4868476792135	2593.2135614985646	3877.634421373025	3100.512411375507	4644.910844447042	5273.18611672397	9130.763132637794	13213.282385054335	17368.354659149612	21164.74219128094	23854.546135452194	22788.362843649727	25564.308741583896
