16_no_PLL	16_RANGE2	26_RANGE2	16	26	30	60	90	120	150	170	150_BOOST	170_BOOST
125.38169860839844	144.94094848632812	133.7099838256836	208.52240753173828	192.1992645263672	188.95838928222656	164.61614227294922	160.28530883789062	157.999626159668	157.33081054687497	156.59429168701172	181.41560058593748	178.83894042968748
125.36785125732422	144.8282241821289	133.43669891357422	208.23836517333982	192.02652740478516	189.70147705078122	165.08795928955078	161.25940704345703	157.601806640625	156.9012908935547	156.13357543945312	181.13671875	178.8869873046875
125.55196762084961	144.8955726623535	133.66188049316406	208.1783752441406	192.2801284790039	189.73445892333984	165.19219207763672	160.45493316650393	159.48250579833984	158.2679214477539	156.06596374511716	179.94499511718752	179.38579101562496
125.1850700378418	144.90966796875	133.2879638671875	208.25461578369138	192.16861724853516	189.45932006835935	164.1702117919922	159.96725463867188	159.04021453857422	157.92816925048828	156.24575042724607	180.48691406249998	179.756640625
125.13172149658203	145.02147674560547	133.27056884765625	208.41009521484375	192.19919586181643	189.02835845947266	164.42214202880857	159.9645767211914	158.69423675537112	157.12593841552734	156.35762786865232	181.24284667968752	179.69052734375
125.30040740966797	145.1949119567871	133.61112594604492	208.31217956542972	192.67556762695312	189.1688232421875	164.33745574951172	160.73513031005857	157.46369934082028	157.03314971923825	156.78293609619138	181.078662109375	181.24453125
125.22815704345703	145.0384521484375	133.87151718139648	208.15084075927732	192.03753662109378	189.34915924072266	165.3324279785156	159.64686584472656	157.90507507324222	156.7956390380859	157.8918914794922	181.5654541015625	181.38911132812498
125.26416778564453	145.07320404052737	133.52628707885742	208.14250946044922	192.87954711914057	188.92268371582028	164.67501068115234	159.22400665283203	158.64868927001953	156.27262115478513	155.9842071533203	179.74077148437502	179.1930419921875
125.5204963684082	145.04119873046875	133.4602165222168	208.1356658935547	192.6749038696289	189.3160171508789	164.1327896118164	160.1415023803711	157.83242797851562	156.55863189697263	155.71309661865232	180.64396972656252	178.21564941406248
125.21617889404297	145.18077850341797	133.58247756958008	208.39462280273435	192.28239440917966	188.8329162597656	165.25263977050778	159.5701904296875	157.62448883056638	158.22148132324216	156.14957427978516	181.0201904296875	179.00397949218748
