16_no_PLL	16_RANGE2	26_RANGE2	16	26	30	60	90	120	150	170	150_BOOST	170_BOOST
2150.898938344658	2493.0518957825384	3717.7635722183154	2980.2779869839715	4452.552612997854	5048.211941049119	8693.360629147046	12605.03393704774	16500.379981064216	20350.146938014674	22727.074278624794	21806.0302734375	24491.14268062679
2151.0808922875717	2493.067777680875	3718.856706510826	2981.890695655685	4455.421182463209	5047.191512083531	8701.071634397402	12630.755184618241	16493.685563838448	20263.19982216111	22853.677923029118	21814.719490382984	24479.3837514667
2150.382207619313	2492.1310334782333	3718.975628391978	2982.279346982858	4454.962222162121	5047.390564342901	8710.02197265625	12629.890441894531	16528.631101187308	20320.487744880444	22842.773466509105	21858.86395900739	24563.734558807024
2149.307318568098	2492.4675623575845	3721.2833833466307	2981.51855749759	4455.001498152236	5048.876137569033	8697.4428641255	12619.917509985751	16534.46656107251	20325.65100718353	22790.248856345057	21829.454184381248	24536.810900321932
2149.7774986005365	2491.9780857888536	3716.8731232603154	2980.460390519868	4453.63166302282	5049.125408304149	8710.325256852078	12620.735951762425	16503.199287082836	20291.43760501335	22875.662068374284	21882.91805702568	24514.155117970593
2148.63316341272	2492.239235337704	3717.796307420531	2981.2658850363714	4455.082732716769	5047.6557976143395	8711.885717252917	12622.55298848055	16526.796512447847	20341.132138226483	22840.192948264637	21921.504627574574	24596.416588985558
2150.1924718877926	2493.1012461182813	3717.810892959258	2981.3590848863014	4455.2633004595145	5051.151780057545	8706.411600440864	12640.448978969029	16500.717955208867	20266.622205243064	22782.534473347216	21847.99464062007	24578.014707384
2149.3508008119143	2493.4505739644405	3717.4013560403605	2981.618090716787	4454.349472137268	5046.634016365841	8709.330860905082	12621.68610682253	16570.671184642895	20285.975652110297	22831.209712155418	21907.184575055097	24562.27877667842
2150.1157977556372	2493.7841119206905	3717.6463766337297	2981.333769569101	4455.832614203235	5047.9436101709425	8704.351626632963	12611.928533335202	16547.254613927893	20282.052658699653	22789.53248804266	21820.413099752892	24553.884159434925
2150.275682593026	2493.002529996222	3716.537338530946	2980.322646109744	4453.703055773187	5051.284000791353	8709.584385895532	12634.692747900091	16525.40516208958	20322.552433720342	22837.50106173323	21840.564329616147	24513.93559293927
2148.7520612592143	2492.7644479481723	3717.9013224259475	2980.0391830174267	4455.329557152867	5053.747267950149	8703.112602233887	12616.233747513568	16529.569184097996	20261.48610467079	22801.468390544862	21903.25066849992	24483.67709895957
2150.066846230534	2492.0358302277277	3716.353162357599	2981.1071144703437	4455.392544524654	5050.313645514889	8709.124625550157	12626.175987696111	16519.255251497834	20255.712854782207	22793.686116924724	21821.11194238117	24478.908754744618
2150.626694395374	2491.3102773424885	3716.3049338256546	2980.8892300328425	4456.031808464361	5051.438979681026	8717.699812791892	12623.10489279325	16514.20905089833	20259.85396670974	22860.779906764175	21824.058481682103	24638.78384073272
2149.951334718059	2490.970901759724	3719.07525385792	2980.1918437248214	4455.178104229827	5052.717247035604	8701.168573819674	12615.03348849882	16507.72562468734	20296.164006994873	22849.752702785812	21891.295307814475	24553.33507422245
2148.5476178760323	2492.324089230338	3716.67573499024	2980.2934258385044	4456.438369705264	5050.948570514547	8707.505685311777	12632.97972131948	16543.261382890785	20318.568952931655	22804.227494101488	21797.70501668021	24555.65614520379
2149.404350311764	2492.738623145936	3717.5601114056067	2980.4912137036476	4453.611687797761	5051.142946659075	8714.733701763731	12646.267791058739	16511.02546753922	20321.459383577912	22790.832373932117	21865.863928058803	24607.698425991846
2150.709585997613	2493.816139423742	3719.4445488482875	2981.162378581628	4452.30380632538	5049.381032329004	8699.249048702053	12630.537213611995	16528.16576040211	20303.02854192337	22815.849391226533	21960.465382721464	24515.363096280864
2150.2705564872476	2492.5038383455735	3717.445327850159	2981.862282840968	4451.506315772213	5050.362101265022	8705.48441110413	12630.617667618111	16496.756802434506	20234.711643822666	22830.690136392608	21841.593690820642	24526.986208829014
2150.5292444496777	2493.3129285289124	3717.4921132789123	2980.0203501870724	4454.843321842934	5049.756113863418	8710.813916419163	12628.012858866667	16529.256882874863	20258.229188244753	22768.020629882812	21804.087956746418	24450.8496708743
2149.591759006637	2491.7867077271994	3716.5246748026443	2980.3947609141937	4454.55804093337	5051.095952015607	8695.114460174602	12606.91978892342	16509.146794028904	20259.394693534112	22867.949743234614	21959.88024695445	24560.694424611218
