16_no_PLL	16_RANGE2	26_RANGE2	16	26	30	60	90	120	150	170	150_BOOST	170_BOOST
2647.3544632115677	3000.1779215051492	4470.152585345137	3549.9228447419523	5348.894085676389	6076.947236672426	10683.010890285597	15579.620746407974	20499.313578886144	24724.540315143804	27797.085115279275	26831.26926422119	29724.52030625454
2664.3295375679445	2995.4511091249797	4485.523414259256	3544.2472528933113	5356.01757942362	6086.121545855	10703.579922939869	15585.817609514508	20248.84621302287	24891.062721687278	27812.713800474656	27024.50014881252	29900.70142244038
2641.145242463558	2990.1284564177467	4486.265510126962	3561.174120221819	5346.816306890443	6072.047432476186	10655.283420643907	15353.484723552967	20190.179098600125	24727.786939168713	27710.99223647007	26611.85959974925	30019.182317397175
2643.8999942468586	2971.048890383656	4489.941145803136	3524.769336805431	5330.59361255745	6057.759657263118	10614.149621192446	15578.459489984843	20270.061492919922	24977.51196635138	27907.05547776333	26968.856652577717	29914.036919088925
2660.4593346971983	2964.774288805613	4467.589072261096	3532.7033165397993	5376.663491365084	6105.343159687877	10739.869990591276	15577.770414806548	20504.58529830482	24869.04828976362	28083.249142295437	26815.950256033044	30159.13121840533
2644.9327288106692	2987.86710789502	4506.49791293674	3530.4864884514636	5344.9282500343925	6072.326904949658	10666.682872366398	15572.895793794836	20209.384565593817	24987.82231257512	28020.492819852607	27039.277184869825	30190.55706715723
2664.732206409316	2979.7466623277874	4452.593914874188	3566.5351684360808	5399.058768879605	6132.9507367787255	10773.064726490085	15520.762793625458	20282.55781868013	24962.041795868234	27746.217195377794	26879.98116016388	29935.730828179254
2639.6851531404636	2975.4950365888963	4453.0073358930695	3534.7856794084823	5330.899391032506	6059.141118127389	10639.912482295933	15627.212162259259	20311.351600551207	24791.31934569054	27785.23467307867	26805.28778390786	29737.75918773144
2624.264409059228	2972.9801580446574	4461.603986653495	3565.2515881382633	5338.944211090286	6066.036020588671	10648.729446086478	15538.958054554614	20344.52494689684	24614.339022292304	28018.215246367872	26872.786497458434	29988.17244241404
2643.9222466036017	2996.607204312507	4456.138257299782	3575.576410594164	5385.575405386991	6119.526073496829	10750.898674352846	15459.990199608139	20314.006010691326	24697.09239055201	27775.814366895098	26611.807432817055	29917.351035184638
2661.6738298058303	2979.6753366902085	4510.407558707304	3534.9088396344864	5343.613801179109	6069.183349609375	10663.598649045254	15428.771731981344	20006.207741454058	25122.09117412567	27921.42158330873	27090.349345627226	29955.65880176633
2625.570505275792	2972.324212119537	4437.635563038014	3544.6947221433165	5397.985240543121	6135.265329942346	10789.399419224035	15557.313115341858	20478.76516977946	25121.851065724168	27956.336043601812	26836.566435985074	29968.880770499247
2665.542160191848	2973.2669810692605	4497.543143517023	3542.723357506477	5353.759680775385	6081.497208754904	10689.291040948097	15570.716012882282	20140.009445126587	24605.88797544822	28176.90442180076	26599.30095771434	30262.82927569221
2664.384491946719	2980.7867260154235	4469.807706357821	3562.172936683122	5376.076809195585	6100.758417184477	10741.73704106757	15368.365942497612	20431.243226119164	25108.562371669672	27862.327043400255	26751.399040222168	30065.298080444336
2631.7448451601226	2987.7894928940386	4444.844660705793	3530.3130029813647	5364.03248301226	6088.706163259653	10722.371815110066	15625.70921982391	20372.27103899712	24829.648204685487	27957.691865808825	26960.601409276325	30108.535498903508
2652.766647076087	2970.743561664944	4499.38042219295	3565.153214856342	5371.425231593249	6104.1497115518905	10741.052365454256	15501.679314507379	20275.322596232098	24859.601351881276	27939.002637918285	26804.1276440178	29976.617458254794
2643.256540753114	2980.5690870372528	4485.557421181677	3512.5163276034395	5337.124064936889	6067.971897940351	10668.896312673127	15668.65172567247	20108.434445688414	24701.0010939378	28074.453043383222	26519.573840898338	30217.58899354098
2630.9650427715865	2956.950562048095	4501.2478495753085	3530.7757351376595	5338.84294172257	6062.540129477731	10644.291816873754	15482.398528086987	20303.13014984131	24995.902149947648	28015.25315573049	26864.61714125171	30082.874519880428
2635.8452871894947	3003.011181319019	4467.037062791064	3536.1267063655896	5365.212906238645	6089.658278194978	10705.627279078706	15559.420509943886	20331.13934504936	24973.589120451936	27779.81203655864	26941.13637499241	30052.390209464138
2638.5058765433278	2991.4598590377536	4459.436683054879	3570.7526160569346	5379.112760779364	6106.473441816803	10733.893975583864	15563.140532195755	20491.897808348578	25182.984538914003	27952.987094258155	26973.483488731777	30071.749324687044
2638.271095555857	2973.7007993681723	4470.753537038262	3531.7016453079723	5380.890104505751	6112.324349119525	10743.680913397606	15556.215111765576	20268.328519047056	24815.270839593348	28134.219219229813	26790.94334238583	30330.51934353141
2660.642460852058	2996.655658186336	4480.6484843409335	3559.448787144252	5372.466153876726	6093.162756699782	10722.561247029882	15377.906945566781	20145.57123184204	24764.960293942782	27929.897196808754	26764.033995952803	30186.33154935615
2667.441296933302	2984.1647813740256	4459.830933183902	3560.919712386367	5399.308315543241	6134.81246213862	10794.318990504487	15569.133818336415	20273.515868885246	24973.72108419942	27770.874817247335	26890.243451619885	30114.79851795219
