16_no_PLL	16_RANGE2	26_RANGE2	16	26	30	60	90	120	150	170	150_BOOST	170_BOOST
2888.3647992230417	3224.8182220811746	4487.670731166974	3888.0437796120773	5974.85578442454	6781.593201652406	12067.024524395283	15944.35267087792	21070.63336158866	25553.789432878537	28761.757482396493	27626.54150417278	31018.157996753656
2890.964400186024	3232.465976000016	4521.561980102884	3903.416875144718	5979.561476940597	6821.005173353949	12097.439244246529	15833.269648191308	20893.79179433376	25659.862206734833	28905.570359147216	27694.069160209907	31062.472518996812
2888.729387385057	3234.3279883414853	4523.129079178826	3899.852597982732	5977.981300798311	6820.517390607351	12112.34422830435	15822.338557743526	20892.38741844616	25647.209604406147	28901.5698788771	27625.40041745364	31142.59776784413
2887.844210459404	3229.487981425977	4527.808103395579	3906.4859101978486	5973.631798648156	6814.581433874647	12103.64949612217	15885.62231385306	20882.975899751404	25672.937804906906	28950.760020545466	27558.286897428745	31062.173606151373
2890.0337317352923	3233.7036191666148	4520.4884610195395	3902.4108558152157	5975.715312687331	6818.235378998977	12106.448440625189	15868.847289781892	20835.583840192136	25616.255100603146	28853.96682207857	27607.934443711194	31129.718419924306
2891.167243873206	3229.4712781049825	4527.454530661888	3906.9283314240283	5978.196536231975	6815.520053766184	12099.326632135298	15873.592440821543	20841.363624290185	25684.518793034502	28988.43765258789	27664.476554299243	31117.239994789237
2894.3165718449964	3233.549161168066	4512.611188386616	3904.5226130161113	5972.576936086019	6817.099794623598	12101.207297084196	15799.736843428798	20855.315526326496	25734.256482177192	28932.7527269905	27612.977499490255	31051.03079952411
2890.2862222919866	3233.4322792021826	4516.708643077886	3906.4013146925645	5972.093972853437	6816.067835257938	12089.873916128088	15846.201614444086	20893.543513853157	25669.430528518642	28969.329284970874	27664.825254599953	31125.237099566864
2886.294459879536	3234.32558170619	4515.731320201554	3899.9652984971717	5977.505288822332	6815.330340312077	12106.786742520972	15871.521466911925	20868.329648618346	25677.976355088496	28852.848497868767	27679.535785960732	31054.70398325979
2887.8569572329125	3230.0223048331804	4531.745292879792	3909.5812543592065	5977.008497973714	6811.881065368652	12091.064271126084	15851.337812725993	20870.14646672491	25694.899622039124	28900.45963116546	27612.58764581366	31114.739565113883
2889.846303975585	3235.015731886033	4527.141726841292	3908.4788283792873	5970.9914677736415	6822.6673308047875	12122.223793659467	15856.05061137593	20877.536226695254	25690.13335106131	28843.91023607677	27719.1636845929	31105.527830361134
2886.642968872605	3234.083670883375	4517.2909283753925	3904.2205673538765	5976.224908023093	6821.108898484563	12122.182635363195	15867.38998970289	20872.22028661657	25658.338605569847	28890.11988864643	27673.29815997193	31113.290075045912
2888.0753390925674	3232.633384326159	4522.87319651117	3902.561513544138	5975.095178925732	6813.711704916539	12103.090807438353	15841.68386192961	20904.551612006293	25636.71086797651	28897.21210186298	27697.940009582384	31063.082206308543
2890.3221067674476	3230.954615046072	4520.4572364488595	3906.2727472971083	5976.590170884172	6819.450000070527	12101.293980390175	15849.810688435531	20884.901340463388	25627.364693107185	28955.739528978644	27666.228458219688	31126.947615933477
2888.743278911575	3233.643459569811	4524.3632296922	3902.433590572227	5972.998596420383	6809.950218916283	12088.14715973719	15845.292107352998	20907.544644079477	25699.42222292728	29039.39476675786	27626.43881306249	31059.137031213562
2889.4230512425092	3232.1747182850477	4522.625927017768	3901.8620210996155	5971.3323082498355	6813.732086607741	12110.312168414775	15848.41696064124	20904.2852817301	25687.261922469992	28958.171532112672	27559.078737502583	31164.128982012546
2890.0057268890246	3231.3260343380557	4524.523031831992	3904.7760507036915	5978.17022034278	6817.457197264453	12090.727786889813	15840.385939931133	20870.134289823058	25666.99686955669	28901.582941450084	27637.5134081111	31099.00868354152
2887.5833806566684	3228.919986834742	4525.205506261756	3906.696385131429	5980.335011388819	6815.913548836341	12109.082697910288	15840.254859870814	20904.17449154071	25611.177940200603	28895.68177028675	27641.76582285676	31062.563950607262
2886.293112159082	3237.469109377006	4522.674575990994	3907.0510472906462	5976.633953928748	6805.806620984538	12109.812460230221	15846.466750241398	20838.272151345445	25674.12254568764	28901.495353755527	27634.92382125349	31046.19125821697
2885.7153219162255	3234.018129338466	4529.975755369909	3904.9177436544737	5984.084661987713	6811.5698573101	12120.458916819245	15831.754719224584	20890.264053626255	25692.26608107948	28841.066005508008	27585.033812533413	31048.47654811206
2886.056593494999	3232.3269238061866	4520.644245116792	3899.1615026921318	5977.498745233106	6811.825916020557	12120.326436263145	15863.911444399537	20868.089463975695	25626.57834151986	28930.56916953319	27586.52523225625	31124.818325042725
2887.838878126431	3232.690519790747	4521.283166301525	3906.432748790146	5975.103636475118	6819.256242499294	12108.431412623479	15849.310360597761	20918.342604565976	25707.712236619154	28858.584742392264	27634.114420886606	31158.44963794917
2890.207935594371	3236.499585603413	4518.125745299948	3905.1538620151778	5976.08969715868	6820.282265400381	12103.044280130594	15827.825423382243	20815.126500760154	25671.42840252807	28905.360852901023	27644.685598520133	31126.662866393133
2883.6082154105834	3232.7950246049545	4534.696247300301	3902.4411745105663	5974.631706873576	6814.281700549358	12102.942813858675	15835.81796571529	20889.39055828187	25683.259858727193	28954.320879124884	27634.7975067745	31130.302011670166
2887.568275031513	3231.6819981950407	4528.527315788933	3899.4271652409675	5973.427928751237	6811.549309184197	12105.1821278519	15864.847758628803	20892.75480646183	25722.046736832504	28891.85831731097	27555.49504206731	31074.859959907626
2887.3390662458737	3231.8592929815563	4520.493709679806	3904.813244957979	5974.425044117444	6813.774749243574	12113.49801843484	15821.020142370913	20905.69574441483	25674.887314011194	28929.548263549805	27631.32901968935	31089.46403065822
2891.027236997391	3235.7870536731652	4521.282674812594	3901.594141930548	5982.750947521168	6812.662890143298	12120.871077114698	15846.265798189394	20857.95429066957	25747.177090339577	28895.38524751354	27627.65296230232	31105.33329977918
2892.086780610889	3232.6101889223137	4516.298453720099	3903.680268743934	5980.137778994645	6814.4720334273115	12096.366515526404	15860.827941468307	20879.524725454827	25678.46832949068	28863.458350153254	27577.154976981026	31215.261045536794
2889.6807276231407	3232.3268507930493	4517.746357782649	3898.5535177247975	5968.642692152314	6813.482971779414	12115.638681657027	15865.095178564112	20914.68335085963	25642.01145381718	28843.032779978283	27674.424464076295	31152.791810451898
2891.2653157740465	3231.5605745626667	4516.27712850132	3907.6823487613738	5978.795465973639	6809.33864800647	12112.793386497828	15846.50879118768	20883.173027962057	25635.23098467737	28933.41622932377	27631.34345673678	31104.506399863378
2888.7867222170858	3236.4034554796785	4521.884253577629	3901.381563565375	5978.449358167951	6808.31865036614	12085.93103874243	15828.243026839806	20921.21522075859	25681.914864005623	28921.874086755768	27604.771080521234	31078.699791785515
