16_no_PLL	16_RANGE2	26_RANGE2	16	26	30	60	90	120	150	170	150_BOOST	170_BOOST
2949.7797749623533	3262.4750077223575	4552.584109099015	3937.5581863694993	6048.549895590924	6919.2747177736765	12322.148036863564	16057.227751468321	21119.708619773275	25935.209142604224	29066.81848713373	27955.204581787657	31370.756307837346
2933.705841256589	3284.6061632510027	4593.100688678743	3972.1764858413794	6085.87812637076	6853.136361814013	12351.90653333477	16207.752227783203	21173.294746514523	26039.33048461641	29253.686832476265	27989.556058674585	31610.40901532633
2933.5284865287445	3281.5990738051064	4591.391438506002	3966.9065832561087	6088.991554415956	6854.211658517072	12354.31473509191	16230.43720643749	21185.680571056546	26088.365276208086	29215.093796628382	28061.548868815105	31411.489655699912
2935.238495594313	3281.3387094693267	4591.408886185803	3963.6136473332153	6087.459062403342	6850.282877873836	12357.39079006964	16218.038075983268	21153.968549953213	26005.693499961595	29357.416375639474	27949.00603358521	31542.18649562401
2930.0770254225195	3283.9157472559464	4591.024655867337	3968.4684419619466	6090.188928991112	6849.221523099514	12355.990889951048	16228.020447740595	21142.63990729093	26004.61805882475	29272.709617131874	27994.155883789062	31533.960752849336
2935.763825015716	3280.071848116344	4595.807748075131	3967.8778323827614	6091.093874750031	6853.394660668526	12370.769362220351	16210.245881176268	21204.36973066997	25979.931290085253	29269.688057176994	27919.440728172627	31506.403186653235
2932.63460638266	3287.2205764766504	4587.254819897776	3968.315784113551	6095.462149762093	6846.540224563853	12351.056580902428	16235.027313232422	21138.675257844745	26016.71540335323	29241.33310414324	28011.640620921928	31521.43743973744
2933.4023766852874	3285.9983063545546	4588.103818043702	3969.986067822368	6079.890437341611	6847.784295860841	12373.080049507349	16216.839941354008	21191.467184200177	25972.19565304067	29183.149337768555	28022.63867350623	31552.100422406438
2934.6338407261164	3283.441144901719	4593.437629791781	3968.054038999467	6086.672506024761	6852.545845847836	12350.033873914506	16246.688331973519	21135.9750140797	26002.085288542683	29209.02077921756	27989.329778560073	31498.0908698842
2930.69223719319	3283.1383201901413	4594.038170045063	3966.4287701845483	6083.018326059003	6849.415347923762	12361.647798123891	16240.923530895141	21223.694937569755	26044.636964797974	29271.712484239022	27969.208533453835	31537.640245654915
2930.8668472481972	3283.9375012322253	4587.278719595798	3966.3717181927504	6084.666580290945	6848.768414614658	12353.868167227729	16212.154557123335	21179.483870589687	26066.012864702203	29282.16324239818	27945.99853105993	31548.15393050915
2930.311441171332	3282.8259749306294	4596.687621182805	3967.762993066816	6090.198346038363	6857.181239772487	12373.28940746831	16224.721018836093	21162.3358635848	26017.69140788487	29295.462596265577	28000.47237242284	31511.983486137004
2936.548302563163	3283.81772933984	4594.463648670964	3969.954295029714	6090.815098702123	6845.794472039915	12365.740723907948	16223.224525614914	21179.461614909163	26041.365205571892	29244.810643822257	27954.633746828353	31512.623510990044
2929.490420629742	3286.355433343839	4603.1144123466975	3967.7553619809178	6087.7877093376	6850.502070258645	12363.607913869871	16223.043585979989	21189.339047386533	26004.84483697441	29198.30370552932	27908.589158739363	31534.853149721544
