16_no_PLL	16_RANGE2	26_RANGE2	16	26	30	60	90	120	150	170	150_BOOST	170_BOOST
209.1616249084473	239.44658279418945	229.40336227416995	343.50533294677734	321.6903991699218	316.8443069458007	282.9672088623047	281.64468383789057	278.8293914794922	284.3053894042969	283.47953796386713	328.275	325.58063964843745
208.8769721984863	239.58877563476562	229.44925308227542	342.84141540527344	322.1740036010742	315.90195465087896	282.1784362792969	282.57696533203125	277.9199752807617	285.3017120361328	282.1305770874023	327.9654052734375	326.817822265625
210.123291015625	239.75519180297852	229.47431564331058	343.32618713378906	322.40016174316406	316.90599060058594	283.3099822998047	282.66565704345703	279.4406204223633	286.0042190551758	284.54951477050776	327.600390625	326.07819824218745
207.79474258422854	239.4276237487793	229.372615814209	343.03578186035156	322.3809356689453	317.1301116943359	283.52833557128906	281.88079833984375	278.9949188232422	286.0839385986328	282.4531860351562	326.53115234375	326.26384277343743
207.91204452514648	239.48455810546875	229.55322265625003	343.8023071289062	321.66638946533203	317.1231079101562	282.5386276245117	281.85401916503906	279.3277130126953	285.2033386230469	282.9525833129883	328.655908203125	325.0472900390625
212.3601341247559	239.59850311279294	229.91292953491208	343.661865234375	322.55177307128906	317.4121627807617	283.3593978881836	282.0013961791992	277.7229766845703	284.15164947509766	284.35949707031244	326.41911621093755	324.8921875
210.04545211791992	239.32987213134763	229.83177185058594	343.05196380615234	321.75359344482416	316.65502166748047	282.7183227539062	282.31507873535156	279.76924896240234	285.3438034057617	284.3665695190429	325.661572265625	325.532568359375
207.6040840148926	239.20907974243164	229.47933197021482	343.6490478515625	322.4315872192382	316.2623062133789	283.66058349609375	281.91004943847656	278.2426071166992	285.63411712646484	284.19609832763666	328.09453125000005	326.92033691406255
207.61463165283203	239.55158233642578	229.40496444702146	342.9364700317383	321.75292968749994	317.8691711425781	282.5321960449219	281.6279983520508	278.7387313842773	283.9186477661133	283.39034271240234	326.9448974609375	324.7578857421875
207.37295150756836	239.77407455444336	229.72066879272464	343.06171417236334	321.4942245483398	316.5625305175781	285.32212829589844	281.71192932128906	279.3672866821289	285.00785064697266	283.9673767089843	327.8750244140625	325.2819580078125
207.52403259277344	239.40534591674808	229.33750152587888	343.7630081176758	321.39427185058594	316.5277862548828	283.03910064697266	281.7413864135742	278.44493865966797	283.78255462646484	290.3662261962891	327.19238281250006	326.77998046874995
207.91315078735352	239.17081832885745	229.8532485961914	343.68067932128906	321.6200180053711	316.28535461425776	283.0121154785156	281.30806732177734	278.8147659301758	284.5471572875976	282.8553771972656	326.43056640625	325.63942871093747
208.1564140319824	239.19857025146487	229.59774017333984	343.50256347656244	321.83644866943354	317.8819427490234	282.69108581542963	281.9121551513672	277.5111236572265	286.5303039550781	284.14464569091797	327.44414062500005	326.14746093749994
207.79182434082028	239.74576950073242	229.82271194458008	343.58187103271484	321.9422149658203	317.004524230957	283.2122955322265	282.3064270019531	278.0200424194336	285.0467834472656	284.35583496093744	327.1230712890625	326.4541015625
207.80523300170898	239.22576904296878	229.6759033203125	343.11673736572266	321.8949279785156	317.12441253662104	282.8429946899414	282.41546630859375	278.6472930908203	283.7427978515625	284.3503189086914	328.82304687500005	325.009912109375
207.76952743530273	239.19527053833008	229.7744369506836	342.8443908691406	321.88268280029297	316.1041259765625	284.396713256836	282.47440338134766	278.77466583251953	284.09204864501953	284.8004608154297	327.3135986328125	323.703857421875
208.3686637878418	239.4331169128418	229.47452545166018	343.4966812133789	321.3874969482422	316.6661911010742	282.1731719970703	281.9454574584961	278.4195327758789	285.46204376220703	284.66823577880854	325.51540527343747	326.73063964843755
208.26396942138672	239.5764923095703	229.99835968017575	342.8573913574219	321.83022308349604	316.58757019042963	283.72608947753906	280.90129852294916	278.835205078125	283.9767379760742	282.4502792358398	326.9289794921875	326.16479492187494
