16_no_PLL	16_RANGE2	26_RANGE2	16	26	30	60	90	120	150	170	150_BOOST	170_BOOST
0.0925	0.09262	0.06992	0.09254	0.05716	0.04942	0.02478	0.02028	0.0153	0.01452	0.01284	0.01446	0.0129
0.09258	0.09258	0.07004	0.09266	0.05704	0.04946	0.02478	0.0203	0.01522	0.01448	0.01284	0.01446	0.01282
0.09248	0.09244	0.07	0.09264	0.05706	0.04942	0.0247	0.0203	0.01524	0.01452	0.0128	0.01452	0.0128
0.09246	0.09244	0.06984	0.09274	0.05698	0.0495	0.02472	0.02032	0.01526	0.01458	0.01282	0.01448	0.0128
0.09248	0.09258	0.06986	0.09246	0.05702	0.04942	0.0247	0.0203	0.01536	0.01456	0.01286	0.0145	0.01284
0.09246	0.09244	0.0698	0.09254	0.05694	0.04936	0.02476	0.0203	0.01526	0.01454	0.01282	0.0145	0.01284
0.09248	0.09244	0.06986	0.0926	0.057	0.0494	0.02476	0.02024	0.01524	0.01448	0.01282	0.01448	0.01286
0.09242	0.09256	0.07008	0.09258	0.05702	0.04936	0.0249	0.02026	0.0153	0.01454	0.01284	0.01452	0.01286
0.09246	0.09264	0.06992	0.09264	0.05692	0.04944	0.02474	0.02032	0.01526	0.01454	0.01284	0.01452	0.01286
0.0924	0.0926	0.06982	0.09244	0.05702	0.04944	0.0247	0.0203	0.01524	0.01456	0.0128	0.01452	0.01282
0.09238	0.09248	0.06986	0.09256	0.05696	0.04944	0.0247	0.02026	0.01528	0.0145	0.0128	0.01448	0.01284
0.0925	0.09242	0.06996	0.0926	0.05696	0.0495	0.02478	0.02024	0.01524	0.0145	0.01282	0.0145	0.0128
0.09252	0.09258	0.06986	0.09258	0.05698	0.04938	0.02474	0.02028	0.01524	0.0145	0.0128	0.01452	0.01286
0.09268	0.09252	0.06984	0.09264	0.05704	0.04934	0.02478	0.02032	0.01524	0.01456	0.01282	0.01454	0.01286
0.09252	0.09248	0.06986	0.09258	0.05706	0.04938	0.02482	0.0203	0.01532	0.0145	0.01282	0.0145	0.01286
0.0924	0.09262	0.06988	0.09258	0.05696	0.04944	0.02482	0.02026	0.01522	0.0145	0.01284	0.01452	0.01286
