16_no_PLL	16_RANGE2	26_RANGE2	16	26	30	60	90	120	150	170	150_BOOST	170_BOOST
3153.8954203694307	3490.906257133979	4609.486762594914	4266.637122569519	6423.576728447334	7273.200240549168	12811.54231660685	15769.295496483372	20486.72047431159	21883.328755696613	24284.630006062234	23473.64466943782	26228.458125416826
3150.046542609409	3489.5569678515117	4610.747638602612	4264.019397541405	6422.828460906769	7282.318508375478	12803.714486617077	15779.88582259559	20608.72505153466	21767.242201443376	24383.517144953163	23421.110012830595	26171.65648821488
3152.1295507748923	3487.0726338933023	4609.352404366348	4265.241787351411	6421.490649243335	7280.755158207843	12816.495956129329	15798.095154435667	20534.923484733514	21714.959533429454	24339.979973392212	23426.804049261686	26245.34403236167
3152.010863993591	3489.0195508023876	4610.698069295576	4267.275487954182	6427.585660658912	7280.967174432217	12783.074757409475	15800.077621250937	20519.588867463677	21746.193998245173	24338.902778995845	23489.545131551808	26175.784603985034
3150.9358129460056	3486.31348605803	4614.005295708249	4262.332883317647	6425.0895642106825	7267.369932214611	12777.322436135913	15805.812731181106	20456.758849823957	21708.4185830478	24276.11767667011	23479.342460632324	26115.29308816661
3149.7798440776346	3486.513679002808	4610.07408057914	4265.008913191957	6422.094792627089	7273.738614974483	12804.628561099116	15780.484595266329	20484.18874697835	21711.641344530828	24277.100911954552	23363.88129692573	26307.18510325362
3150.530159473419	3488.0910365226773	4615.689382543477	4264.171623381383	6427.964467680856	7278.321256974886	12806.818799573892	15853.839522742574	20527.68862625053	21755.027770996094	24381.577096334317	23417.353630065918	26245.67272593674
3149.6176893211114	3490.518884815424	4611.47531611407	4263.993365541874	6426.364391833752	7269.882312541606	12781.789127630167	15819.936273843563	20557.817830219527	21753.856113978796	24352.317846915572	23375.41293688598	26167.292711211412
3152.9346621026225	3490.1009825868864	4609.8813248837805	4265.006136194206	6425.596117139697	7276.625350045928	12811.452527589436	15824.037055446677	20433.525154493513	21754.725226040544	24289.817625773703	23458.98669698964	26346.132231921685
3150.0201497995254	3488.36822905755	4612.594512107996	4265.619683142153	6430.859659232346	7279.5331766994395	12813.305243467674	15879.582052361475	20602.05719687722	21747.122685461585	24423.524810046685	23465.608728343042	26249.40639588891
3149.968927556818	3488.2601569680605	4612.857492724855	4263.804445629714	6427.628084145548	7278.08837890625	12848.339141748203	15830.840673869787	20611.60405476888	21745.73520134235	24279.46416343131	23474.76317964751	26176.01956722241
3153.1337234709	3490.059616444335	4609.875140651579	4264.4218833877185	6427.140669389205	7276.341535043025	12828.872607538875	15847.242165267262	20487.336299879134	21706.149495881178	24342.49546216882	23461.527638621144	26290.439864964163
3152.5956259833442	3488.617372347822	4610.673418458015	4267.811981095757	6428.7225739294745	7283.8177781112745	12815.061087806385	15831.888739159489	20488.72618397255	21714.535252801303	24335.93098710223	23427.765944908406	26223.34550066692
3149.648026199077	3487.244905226171	4609.042729890083	4266.307193933379	6425.949576851372	7280.142410941746	12796.041700575086	15801.75961533638	20531.56455001489	21713.869325045882	24208.41142969224	23490.67869640532	26238.825714703904
3150.682928657201	3488.1148725387757	4612.59414842909	4266.181965514979	6428.505157257294	7280.9850015947895	12831.99976360987	15823.31218003413	20472.969020809138	21739.36109006147	24331.63511986826	23504.632008648336	26252.064727930632
3149.8864447781784	3487.8325811446894	4611.01340289092	4269.491842461292	6434.200854783648	7275.245039935273	12848.95429186001	15800.707960781985	20435.487901842273	21796.127418418982	24396.539891807777	23422.426190869563	26173.64278653773
3149.242962107939	3485.901737625981	4611.3964046166475	4268.054616564405	6429.973261316395	7278.781878523842	12814.643276724846	15802.894436051822	20474.193332431554	21711.69478317787	24215.22603451627	23472.100625306495	26364.26600014291
3151.6355529414604	3488.1156066368367	4612.189814583959	4266.844671768374	6427.184685126885	7274.2060449729015	12796.951707001705	15844.640043592944	20425.800824057464	21765.514885708366	24328.17162819279	23428.000094041294	26177.51688197039
3151.005996770157	3488.2708816792315	4611.755256077752	4264.152698006684	6417.893433637274	7268.5478198163555	12816.501569144333	15825.779364784423	20567.663047345766	21710.44083623927	24328.491062793917	23430.151340765355	26301.282123454566
3149.940854027158	3487.3632125524214	4610.318144363388	4266.022400534833	6429.591988112783	7290.695792427002	12795.973735250485	15873.079006989254	20603.110573508522	21711.84474306557	24344.189653118836	23370.475604616364	26399.861415618747
3152.9060668415495	3490.5914201134738	4610.846011545378	4263.7769203383	6429.674901390342	7275.156652812406	12794.88518124535	15827.149561006729	20442.53926640669	21795.318044465163	24213.67924387862	23465.160665840936	26188.799724486715
3154.376970420057	3489.5711130910104	4612.131957699243	4262.714550412935	6421.883012995374	7277.990884826955	12781.542823428199	15828.496402071924	20441.3803169011	21756.928542564656	24266.01502953506	23557.237732462036	26231.862966296743
3152.269305604877	3488.8230360947646	4612.424222364167	4267.774779221108	6425.888136008461	7271.126294747377	12818.687681167845	15826.894812387964	20484.719041217068	21659.920655606642	24445.270669871363	23431.683408802954	26292.04726800686
3152.833241110658	3489.144011211478	4614.614236234414	4264.885803748822	6425.167367301181	7271.840614725585	12844.808542045059	15822.864558598767	20563.830126513232	21745.369423945398	24403.08598638738	23485.755098277124	26278.79965539072
3153.503199607935	3488.407942789221	4614.19519751963	4265.997693946324	6419.8162709297585	7277.8448080405215	12807.263603693322	15824.634734898398	20482.297377152878	21712.17627791376	24340.07672296054	23517.8018438405	26231.25401938834
3153.7167437664875	3488.972937772018	4614.639474693629	4264.631115291572	6430.564388152092	7276.248318589385	12814.110460372778	15803.62123985813	20431.071519851685	21713.5240291727	24335.768616315232	23462.485441397796	26177.98680844514
3152.731793149532	3489.5446473751927	4609.107971191406	4265.110144454442	6429.7968082213665	7279.169137838186	12814.740466464098	15837.536377160728	20515.82595341885	21745.02248349397	24328.065149992413	23422.00588870358	26181.46979290506
3151.8035372993563	3490.125165290371	4612.884097200554	4266.1252871964325	6419.8233864524145	7278.837696198494	12791.214475206509	15799.847886017158	20530.54245063542	21789.21637597022	24336.917225907488	23480.994948025407	26192.58639881912
3151.309851444129	3491.109377377993	4611.872091619542	4266.143567634352	6421.063829968859	7277.729814563205	12817.42866222675	15825.515721031423	20571.85108305642	21754.314159524853	24212.531673098074	23421.994571028084	26175.26285856673
3152.4279380196194	3490.088510761228	4612.905363882742	4263.377107138453	6424.994823140149	7281.2480311239915	12840.097876870708	15888.877110938503	20477.5365769054	21752.80335661653	24323.49600443026	23429.936660832656	26232.122217567223
3152.0300912319426	3487.596034180109	4611.37091095124	4265.068113341812	6427.475859998991	7284.235185192478	12823.141538179838	15780.413352836997	20565.78472927884	21787.57355130952	24376.334213629	23371.659316025773	26296.93349202474
3152.7446375952827	3488.921623296093	4613.341707171816	4267.265965489732	6423.059210077033	7285.693702574301	12831.09073821729	15803.314313139932	20555.73248648429	21783.519100833248	24289.84987562981	23521.415118513436	26295.59647803213
3152.2816909856097	3488.2919364230825	4609.769390475365	4268.172288002799	6425.343307794309	7277.9998779296875	12841.90324636606	15824.337528176504	20475.80615427699	21704.317175823708	24223.139652839072	23507.430635649584	26235.501359148722
3152.4221481495283	3487.537519212622	4610.18277752784	4264.552498848631	6419.329876666303	7276.073529405992	12818.451899631767	15784.11063236588	20518.65564633722	21748.69076959018	24437.997399306878	23425.614162956997	26232.26573166338
3152.9759865731103	3490.6664282057754	4609.68516984615	4269.411819616404	6423.744500852099	7276.040593081454	12848.582023229354	15803.343651630625	20474.68849976138	21703.025390361916	24383.9516359217	23419.475142573898	26355.63175852706
3149.21608662379	3487.659698962339	4612.234171528908	4266.011065826811	6422.285261100897	7278.993942433297	12793.03821892784	15835.403989199485	20493.730768427118	21740.09240191916	24339.99533792144	23527.70032553837	26246.48288615699
3151.4374387532835	3487.6240670114316	4611.148122100368	4267.364508547243	6423.7265104658145	7271.071275075276	12813.726048560658	15820.901687831094	20528.801926621447	21664.762701599382	24273.853946999076	23472.888716335954	26102.48269386662
3150.199850400289	3489.941075225276	4611.243933827851	4266.042544923979	6426.943450414834	7278.197811495873	12792.291520517083	15823.1643467015	20494.86916344445	21828.289115272753	24274.374551819143	23421.65338582006	26250.95497057276
3147.8737916309524	3488.3139766076565	4614.727906506471	4268.183003444557	6424.590424224213	7276.669742590351	12830.575815024087	15801.521196757278	20535.614458434786	21690.306992366397	24292.15421954405	23505.18588936485	26348.324383006377
3150.861568516926	3487.519326919503	4612.285922272037	4265.787679439158	6422.493819235429	7285.075033864668	12799.314468625993	15849.761181723949	20524.991583500512	21718.20530052349	24281.28881361878	23487.529017894565	26180.916938228882
3151.506366151752	3486.7370684529833	4615.5075011652725	4266.159255783279	6426.451416871658	7281.453905090234	12793.553064739894	15823.518287684909	20603.95667995263	21787.76264190674	24444.500992937785	23377.234332039632	26186.47773484677
3151.2710439178336	3488.2801817528834	4611.581982018236	4267.785869119487	6424.140663786307	7285.864993592296	12830.685658060062	15801.504866717612	20530.155113151483	21752.619436370456	24321.29557539777	23428.867389629413	26236.48319429564
3150.517280889612	3490.105632267196	4612.270911135266	4265.957637641669	6425.724162922039	7280.943848940161	12795.484633672804	15799.839202671836	20513.904693464166	21702.988394375505	24269.67343080391	23466.907022319316	26138.622027177076
3150.7736894222103	3491.0532303186724	4612.031609120995	4263.5981022437345	6421.32258915401	7276.559645129788	12815.493629092261	15779.207830559717	20520.61836998742	21707.77731928332	24237.467692448543	23522.779859345534	26239.129973620904
3148.972212699632	3488.1511088685875	4611.192993286993	4266.733971527703	6425.306680319192	7277.391958927763	12801.617006712322	15839.23052435052	20578.53178544478	21655.569772351966	24285.496145054913	23516.4196460278	26170.891840100863
3148.7857108508356	3489.575101676024	4610.251041209566	4268.350839820579	6421.878788021061	7275.795859426356	12835.365951440896	15828.958929401555	20439.100906987896	21709.151534051853	24272.543712727074	23426.23677747003	26296.987766172828
3152.063029271065	3491.339852506989	4611.5234961283095	4264.822507294779	6428.18889644671	7282.444436385052	12815.356635437987	15852.800787311711	20518.509117332665	21745.420538860817	24555.42710027084	23471.125240983634	26117.00693766276
3151.253432963546	3488.6925767510484	4609.6208232407125	4268.784477753923	6428.560735801493	7283.535800946104	12813.342645907174	15799.79255337764	20528.236665337336	21756.04120344563	24344.9118530866	23398.440459678914	26182.70450168186
