16_no_PLL	16_RANGE2	26_RANGE2	16	26	30	60	90	120	150	170	150_BOOST	170_BOOST
2591.4994078111486	2948.7461367280425	4423.7083488411	3476.574875549369	5327.925335761555	6061.593755290367	10624.140123777752	15292.80043326283	19990.02621497637	24381.360934890865	27239.807650574254	26101.78940168774	29210.09063720703
2591.270182555888	2950.9288026221166	4410.480722411429	3473.9676486240346	5337.209634847574	6059.016472688591	10638.816447197636	15371.669013545199	20005.296777795862	24320.291750358814	27194.471440763555	25988.40407742799	29215.32762461695
2578.6584290027204	2925.403390376213	4368.9249610366605	3470.5763546118355	5322.293862284228	6050.332900016539	10642.063884308543	15334.043862684717	19892.827964123386	24165.861534349846	27434.112679245125	26174.588636918503	29198.169708251953
2583.7442077425158	2946.4544251907705	4409.659325659692	3486.1026602916736	5331.068772536058	6064.303870339995	10670.406803203996	15256.643295288086	19795.293393342392	24496.2032024677	27438.796799758384	26277.18265240009	29353.630848419973
2598.9028798553336	2931.8345025413396	4427.959271171848	3498.9965075146442	5300.284426799239	6026.555791521149	10582.559427637963	15219.383956121168	19984.06869393808	24417.580980243103	27154.751313038363	25934.326917605293	29288.95465398239
2593.3264861770404	2935.05016646719	4424.783399888685	3508.7722277167345	5254.98356758963	5969.595140026462	10473.54501391214	15288.213513932138	19816.70663963934	24283.336319086207	27262.679601119737	25985.248161084724	29347.484947269797
2582.768409642983	2949.358885770017	4429.748035042522	3506.4197761186156	5310.237324321187	6024.54833984375	10608.809334891183	15390.65253059819	19928.790904857495	24284.821148066556	27077.30309437897	26021.48420028104	29103.645911583535
2584.6232179951917	2921.6286635337046	4407.341740712398	3499.0806084174615	5245.945003482845	5967.47552194903	10460.198496858153	15308.946092552114	19832.870106638213	24478.97737676447	27432.68624330178	26053.356401848072	29353.117538710772
2590.681029851049	2932.5592291375724	4415.510754871236	3472.875619863535	5279.455651770105	5994.427835577755	10555.767022763579	15182.804053937885	19923.22780467846	24408.209414882513	27170.53688178628	26285.296220045824	29467.566116996433
2606.8753551569102	2932.780564499889	4412.684453969576	3489.1676553062985	5270.180335411658	5994.736763738817	10519.797985370342	15362.470922335773	19903.095221958276	24336.054809111403	27319.980879961433	26068.167252974075	29265.29778374566
2603.8581168950377	2929.3657686300994	4425.555050206118	3494.689208825979	5290.753994147425	6020.789779119893	10576.208685613741	15295.496610837563	19966.248354297473	24279.49403461657	27343.98638081347	26003.973824637276	29001.358227852063
2586.2383057381085	2950.869281880802	4401.070161782267	3492.2397497928505	5285.171157154957	6009.232883636182	10580.992087339744	15326.832825282834	20011.06519640589	24137.191190064408	27505.67732186153	25960.572803293475	29121.584811453093
2587.346469654756	2947.5748693520586	4422.026639544098	3489.717892709488	5311.312795687122	6044.132478775517	10605.772839316838	15390.40059550827	20026.92370681289	24564.546483163616	27356.049110149514	25945.018108626056	29330.714274260958
2588.188482655419	2942.944067984716	4408.848369038188	3489.745116976306	5316.264833340638	6045.608458781319	10597.705841064453	15314.07968053278	20025.965608196493	24415.733222674608	27172.382061298078	26011.168501759304	29146.22678595074
2585.4358211108147	2927.8394471796064	4404.644972757437	3517.680514642524	5305.575657557774	6026.834057223412	10581.915891623195	15238.981291721684	19826.682997338565	24493.61360990084	27214.946909847422	25927.32852562926	28991.149643720208
2599.137877098004	2943.3966713314335	4421.095220314688	3507.9419098163926	5287.239768288352	6007.538391993596	10532.279871991755	15248.71503803092	19909.43221572023	24318.427750558563	27241.4482246011	26152.516139372616	29324.556008363383
2599.2339823669167	2925.441339354202	4434.746064463312	3469.292418958817	5328.649885199044	6051.738162516014	10625.17317514571	15291.435458648826	19902.768342391304	24198.146266791657	27327.537536621094	26100.318850451753	29079.154386358747
2578.0574583904054	2952.2187769567545	4396.665096282959	3481.400846097879	5306.467976603474	6026.647325107249	10596.685348802312	15312.505218217957	19924.868708071503	24483.33856713681	27112.572880114538	25930.556383999912	29204.132210495125
2595.2712062320907	2950.9216031401215	4447.8956636015355	3472.649927370276	5286.776385053533	6017.8912602938135	10553.177754590466	15322.527795467737	19864.34135907962	24351.611281886246	27317.928055585442	26399.31898850661	29163.41765314086
2603.5176498002834	2912.1510832344693	4427.298589976606	3473.926992977367	5288.636169007965	6019.274393717448	10569.545114116305	15274.974661813656	19920.509054053644	24530.77476443225	27329.35522356604	26080.425520588582	29117.74586823027
2589.2497764693367	2948.381993677709	4419.409478460992	3489.532239908995	5331.856481144937	6055.141264392483	10659.661048497908	15338.605304933944	20002.949237823486	24214.73022690393	27313.705183501937	26028.909756027104	29184.25252882101
