16_no_PLL	16_RANGE2	26_RANGE2	16	26	30	60	90	120	150	170	150_BOOST	170_BOOST
2240.3293537803133	2587.7105216053674	3825.9778227184493	3096.758398262344	4664.300374111538	5285.018504463927	9151.161694135822	13065.887134223734	17033.239049235668	20307.900688864967	22645.065111991687	21778.635545210404	24373.284364357973
2240.5801817428232	2588.1553826547643	3823.1377835040325	3099.0179072427486	4667.307809999368	5274.698830241389	9167.16803802303	13032.343850206973	17003.286629915237	20225.347172130238	22783.2253446284	21773.586534473994	24462.435795710637
2240.3622942330303	2587.5501099646126	3826.947926848108	3101.436819311402	4668.432500864893	5284.098223480947	9157.083273421524	13004.924695400361	16956.751954321768	20304.87583108144	22651.45827312859	21822.413173290566	24614.55040371295
2241.164759585732	2587.546965221487	3826.359959933597	3101.541506533591	4663.599506886118	5282.738687582391	9152.877574064294	13036.09876490351	17041.492839104572	20219.52851177895	22753.686171311598	21784.3687153298	24440.568746979705
2240.939477903653	2587.977399346313	3823.157172344534	3099.5042631150345	4653.631572655025	5277.689649933522	9169.460071322874	13054.839176918143	17016.12923088975	20223.19707003507	22684.063055576422	21818.382089788265	24345.520845393545
2242.3771660721313	2587.226061248357	3824.7896930364172	3100.1586322636567	4654.355847419322	5276.45507875358	9151.901447943626	13045.776390029998	16992.9219043161	20272.37198569558	22838.558294834234	21826.551594865432	24317.83920679337
2241.1635587076107	2589.587416683132	3824.8197300227607	3098.4736200588854	4655.659252218067	5282.504393712409	9161.35311126709	13035.365513392857	16987.17109770643	20223.388844485737	22694.454979650753	21756.471287120472	24487.050374348957
2242.1189452854633	2587.7601610868755	3825.596042773352	3099.756609669048	4657.128930838917	5279.7055441485945	9178.230019866443	13029.194442478158	16964.521933728316	20178.859884088688	22625.7568750626	21760.840394181203	24384.921910811445
2240.8303131357125	2587.570662264137	3828.6513346104534	3098.191049891061	4661.8500847722635	5273.626665029015	9165.923775826983	13062.457361164883	17018.2280653105	20227.78337652033	22576.454358223156	21811.472285877575	24525.92605199569
2240.650421750229	2588.238827017851	3821.94852204302	3100.3767410210803	4660.123586654663	5289.526430436366	9162.64397757394	13026.143823351178	17000.194638967514	20225.20988775055	22761.42805050581	21823.299529889948	24397.26805075621
2240.015503572519	2587.7428607740567	3825.302623765437	3100.981754539287	4662.152998959386	5282.2886233245945	9174.458316115082	13002.8470733462	16928.07906332647	20208.17669955167	22720.210406245016	21721.514788540928	24572.074107634715
2240.8982041004815	2588.1997906970396	3827.468498603447	3101.592166590993	4664.643918603472	5274.907895990534	9150.271035410875	13010.319333401914	16965.98576564415	20214.778726751156	22764.98354398287	21736.38125078394	24321.317672729492
2239.8029789205016	2588.0259001960144	3826.3009996606424	3101.5966530331198	4664.098917369774	5279.937886303256	9179.70037167789	13030.066292666825	16996.118134143308	20188.48401770744	22644.203536364497	21829.93021878329	24441.168480312703
2239.0654496951547	2588.723363502043	3828.2249103285594	3100.3245210225605	4660.908893872333	5285.480876027802	9167.694654621062	13007.470539637974	17005.606258616728	20251.26973423389	22593.503095665757	21722.93728345061	24439.295943902463
2238.189224648265	2587.9663285001857	3822.0182165399297	3099.340947539289	4658.840035879483	5275.489870181754	9163.167525310906	13040.735608055478	17001.43851781551	20247.70216508345	22618.02477714343	21878.74120309812	24425.301185021035
2237.1204504995762	2587.622269157018	3825.2779520153476	3100.5580122299616	4655.860171347883	5280.684044097301	9169.738146723534	13039.069516318184	16946.78138284122	20250.09295262328	22827.826824384865	21890.170013849638	24392.137722093234
2239.5370939388813	2588.700275031888	3826.141357421875	3099.6603093271165	4656.837749993012	5282.111020432305	9157.74325935208	13080.045848549484	16949.916449118788	20286.146364255583	22678.005452058755	21879.633990201084	24337.49326725596
2240.0223759484134	2587.4925330404544	3827.7238555213407	3101.2270302899115	4659.177584964882	5275.155878018009	9171.425319108806	13028.992864186179	16972.07439558308	20250.858516868102	22706.494039418747	21857.98888881457	24419.838068436602
2238.630060341667	2587.0848782751823	3827.8551343649183	3100.7854139390142	4661.411956567953	5277.539976133802	9176.109657912957	13001.416636779246	16978.50227355957	20219.68202893011	22832.331879768964	21786.368976939808	24397.17370636609
2240.3631731662085	2587.2451824377913	3823.394842256484	3100.5679277475865	4656.352775239646	5283.336069753315	9163.483582786048	13045.85186403189	16968.958985571768	20376.399711326318	22714.454300549565	21912.469776398546	24339.636778220152
2239.174988131114	2588.649766635051	3823.176964179619	3098.9528557114095	4660.918604147211	5279.736464841236	9149.368441834742	13056.386084783644	16992.084681987762	20221.818577159534	22725.387495391224	21838.519126857253	24373.331848455935
2239.706244315552	2587.733772754933	3827.902820560482	3100.587305906856	4655.766957966172	5273.400812632295	9176.632621780738	13013.12233085063	17055.417977127374	20246.675569717198	22649.818537186602	21882.671199432792	24367.46869768415
2239.5363805036463	2588.006980630882	3828.3248794569013	3099.003638126466	4659.626219007704	5283.29955644844	9157.256846047618	13020.411353547313	17019.444563257413	20224.892009388317	22676.69171703105	21850.93272816051	24454.512962928184
2240.0309707944757	2588.3590799461354	3828.7683498640004	3098.002318323746	4665.032630544072	5282.661146368862	9170.821455658459	13018.15248030937	16980.568567911785	20303.509452126244	22610.498934375995	21821.598573164505	24397.458785619492
2238.8182007983087	2586.6458901261863	3822.7521841294497	3099.5967898674094	4662.2579942369675	5274.1561968301985	9182.445338514985	13059.635898125985	16967.16994047165	20218.430601094104	22717.21668732472	21796.196157282047	24443.61180675273
2239.8502212482144	2586.9906936561206	3820.848924668602	3100.5030962541928	4660.2058240193355	5274.341571441745	9167.303804491386	13042.038786197138	17002.972689541904	20350.447528438483	22732.828081268624	21932.164463428184	24479.948744481924
2239.4362252352307	2586.280923973071	3828.3913285582216	3099.0705964315002	4665.533275450842	5286.807856283897	9158.43870010844	13064.970898984084	17009.492013968673	20223.452828147194	22832.668933671775	21793.525143446426	24436.88677758286
2240.4435598949317	2586.0009897209916	3825.1376652217414	3099.1044719662286	4669.211651452866	5278.2271299568865	9175.92595835201	13055.443058352499	17010.926257951458	20307.092361798568	22737.913865309496	21796.002107508044	24431.717701447316
2239.260525830024	2585.86811768659	3829.2986352198204	3095.700555187375	4665.107761171508	5279.403931105889	9164.528768570697	13037.379819955398	17013.313263420045	20228.47654592937	22715.067126087306	21840.190887451172	24452.4284284942
2240.1524382615025	2588.7057744377757	3824.896166938882	3098.079738269387	4662.46255181983	5288.921936098274	9146.246753755164	13042.811493375408	16955.289989709854	20312.361283735794	22695.551113206515	21844.16050285236	24555.488508574817
2240.7391274622246	2586.9334751173383	3823.557342235602	3097.570575444044	4654.590310104411	5285.770439904583	9169.784169911849	13030.354087874734	16976.87635234758	20304.26805669611	22712.85835577517	21841.771012052483	24383.554653245577
2238.588348945377	2587.3289757429334	3827.5647768302642	3098.9872975543944	4651.322708741322	5273.541019333625	9154.148140811725	13016.664064847506	17037.823444276342	20152.22202647816	22792.33687963241	21845.327724109997	24464.54366048177
2240.593454479116	2584.444759038191	3825.6840934919996	3098.320487319239	4658.161416730076	5283.283793236598	9159.944693571195	13044.459784208839	17023.829963263564	20202.723812294877	22716.59595450175	21746.264323929317	24378.922520851604
2240.8510759423343	2588.141736366766	3827.5285200639205	3100.7942802804555	4656.48774067632	5289.343051851227	9190.381914072485	13058.899405473721	16997.149610143948	20246.256382093517	22739.98260498047	21806.656777321754	24529.158763396434
2239.9811416930474	2588.8045497069775	3825.33953675865	3099.731685442532	4662.112230886462	5279.958740738798	9166.652906601923	13028.142014904135	17040.21105690608	20203.198472114458	22644.429329114082	21789.745850996536	24326.567747155015
2237.773523098085	2587.2504513566664	3823.226101025092	3100.066077044364	4664.309691011852	5277.823810735024	9162.633696948093	13024.375283506495	16952.17057770374	20248.78588589755	22830.581665039062	21796.65132002397	24421.677297475388
2238.3311471691036	2587.256350046485	3826.4570219504226	3099.4831527794263	4664.319390464428	5287.416645737945	9182.802966383637	13081.553453456856	17007.609129894394	20219.781083059093	22733.94266764323	21828.298699365903	24312.909444173176
2239.2537124929668	2586.8779790084973	3827.7703769158943	3097.795135346218	4666.540831700634	5281.246039943519	9161.471345429527	13025.689267826652	16990.00597000122	20166.223699396305	22689.447647485977	21826.900135387074	24690.81976979049
2238.9547412338807	2587.8274335270435	3828.4251564427427	3099.5623796110967	4659.251432495664	5280.991231114411	9169.52222524981	13056.429628094862	16992.542790431602	20259.026558168473	22697.24332369291	21842.91770555315	24433.165634234334
2240.4397180838178	2585.711234317571	3829.0848378010714	3098.4931258353954	4659.695399052988	5286.3819082987675	9143.85469900806	13019.468381072364	17036.805941363957	20310.64900484952	22698.98739057718	21791.995655406605	24422.875428811098
2240.1154536619742	2587.27943041048	3823.7072410383776	3098.5204672458353	4652.591080353958	5277.334783495087	9156.295651038325	13047.912939270931	16946.930978812423	20349.803036206387	22573.737323586713	21828.993883999912	24318.486905945134
2241.186834686431	2587.768047470135	3824.8447608447136	3100.533095942954	4654.446880950106	5271.136084085156	9166.785788194777	13028.316949246198	17041.466452858665	20271.92549272017	22705.498719826723	21835.934032093395	24613.76190185547
2240.286874507672	2587.3821743285457	3826.870392166378	3100.821985065608	4657.992546868431	5281.622925120278	9154.703582826336	13035.555680592855	16937.58626622478	20248.870327048106	22713.147676908055	21805.549865443958	24463.921177143955
2239.7601683758317	2587.1351632803335	3827.752824627862	3097.51941855933	4656.7338885683	5279.992859263091	9173.908116627324	13033.443973177955	17004.42819034352	20180.689263667457	22776.79443359375	21725.005755141447	24470.28526893029
2238.9115122156686	2587.4275473219836	3827.0232767153498	3098.654351840362	4658.0970287323	5277.129357734335	9182.779515375856	13032.675496902239	17031.078712612976	20308.725365765018	22759.64785844852	21773.81733236792	24504.666450696113
2238.63257008487	2584.713043196058	3823.8957967941897	3098.447283328567	4659.853528477385	5276.331857170413	9142.967521167193	13040.099825177875	16987.472654802525	20263.29907503995	22640.404334435098	21816.973252729935	24550.266754932894
