16_no_PLL	16_RANGE2	26_RANGE2	16	26	30	60	90	120	150	170	150_BOOST	170_BOOST
3146.3807900046463	3488.048780611643	4656.703100291961	4252.473582392154	6442.5577125658	7298.354229895897	12900.217117801789	16025.52473083023	20771.016879957548	22711.80603634659	25345.024449865246	24327.316094393755	27421.158351255268
3147.983215224575	3489.4943237304688	4659.775200240109	4257.005239304804	6435.838076147703	7295.726564885739	12947.494752945438	15996.44694088969	20771.075517703324	22584.13616973575	25363.89562818739	24462.332725524902	27256.94456153153
3147.931296047456	3489.662030237553	4660.95951625279	4256.790201322775	6436.957554383712	7309.046658602628	12952.446551770454	16018.180995599769	20840.840461926582	22568.202254795793	25431.98660518346	24423.972214802656	27233.843030876287
3146.6617684439475	3489.708107114882	4658.6552891162555	4254.172977648283	6436.021526935583	7303.431776703381	12974.99607135723	16048.08023733686	20767.07986684946	22567.136963801597	25254.510634438284	24310.36568627569	27238.115918036947
3145.8154085021865	3489.5470267847963	4658.613827630007	4254.263037173175	6434.54702560511	7293.864792468501	12927.631856544225	16031.766216114802	20819.845887803538	22751.30271911621	25282.13924831814	24478.10975631865	27418.8558482591
3144.230012401404	3489.5068501006494	4653.377270479815	4253.15759978098	6431.555171440201	7305.881625316182	12942.431809066178	16006.595404573189	20839.03092604417	22581.945011271768	25373.517467988935	24492.81144850325	27242.755889892578
3146.3875908721843	3490.473028868828	4658.93991779104	4255.370222202294	6433.755750358949	7304.692540627709	12950.807713382066	16033.35003520167	20856.598096016125	22683.719597240484	25277.80532836914	24403.98961157348	27253.726341204936
3146.302416959979	3490.935710438511	4657.814025878906	4253.693989345005	6437.580464249951	7296.307777617059	12963.021186090285	16029.842140138611	20834.93252189792	22603.42489909656	25291.69860498865	24428.98136554378	27305.415507112997
3145.3536558235046	3489.3721864934555	4658.927656199834	4255.587081775565	6437.145407043631	7308.36469363543	12935.866815758369	16007.929809333742	20792.678910858776	22508.82322565088	25210.39653756765	24428.91799395357	27407.319358225617
3147.3741380527276	3486.9459125545477	4655.592750873412	4255.435218108943	6436.685664795614	7298.958048734929	12997.924507438362	16032.137926020678	20899.444971329125	22623.743329729354	25494.31148895436	24434.768145357197	27323.67997758844
3146.01527087841	3487.1745527836315	4661.429763250866	4254.024345558007	6441.509419730297	7292.135647588003	12970.045015409396	16021.77253136268	20725.21618434361	22717.02766418457	25225.618150499133	24395.022226210258	27249.66842137026
3145.8125789645687	3489.8717850185735	4658.1817329476735	4258.339413367082	6436.139641078651	7303.180352315234	12957.591515082817	16028.807144756465	20708.817702073316	22791.285514831543	25244.15873948422	24401.608079966933	27382.717452235727
3147.2721569974656	3489.087634245276	4658.360775875554	4254.215137017785	6435.927262542941	7300.923852359548	12954.968079008331	16043.984612753226	20832.003079927883	22611.864763705886	25273.97837718772	24501.34030622036	27274.02997820565
3144.315295935305	3490.164066989451	4657.769449542776	4257.650149693936	6440.20748953534	7298.402536928264	12944.033230778468	16104.798763990402	20718.438976307207	22581.627119832963	25494.714801231126	24325.76264485274	27359.578862536553
3148.253227998167	3487.607889008104	4657.604440381027	4254.702720040824	6431.498769986428	7306.39968822205	12935.04161219443	16016.217985041874	20770.703829251805	22624.917805488472	25347.132152981227	24370.49091452419	27154.169029952413
3145.104223547224	3488.255547476815	4661.265186879827	4257.029586738639	6443.484309037076	7297.564018821095	12946.10115789598	15962.77443937553	20838.321783603766	22607.010189849552	25393.587819645913	24341.773037886738	27217.566634023657
3144.7075960928933	3489.8147248385244	4655.061994280134	4256.829189190402	6439.188693432097	7291.281262127507	12956.939225088114	16028.441634832643	20723.55427692846	22630.583476550473	25312.16264437031	24489.445261435932	27302.265167236328
3145.2329403261256	3488.8599375639315	4657.528816013161	4257.907218899847	6439.721668865664	7290.602900978001	12943.565071403205	16021.617623262628	20825.664813701922	22589.220859036588	25331.122151921303	24283.813138313482	27247.211668226453
3145.082254384671	3486.967630077098	4658.103671953304	4255.022798206132	6436.073932674836	7302.281129224071	12964.839320028981	16028.801290905429	20772.505779655614	22643.34201812744	25328.37364111054	24339.91549637517	27168.695439291263
3145.6603735737726	3488.889717596425	4656.146842234491	4256.220105856214	6439.034234393726	7294.738993925207	12962.111322826127	16051.033670588056	20922.650995942735	22818.98021697998	25290.37793477376	24508.301574404875	27327.95310420031
3146.415630210188	3485.8718658099565	4659.015098018668	4252.565605851088	6440.310106209829	7299.807184846819	12920.885607360644	15994.10522815793	20797.432685384945	22722.574743894067	25287.43104561747	24304.854929150635	27326.98344651547
3146.3802384575974	3487.618680805463	4656.3377119090455	4255.055544669168	6441.762501543219	7300.3114438524435	12982.079290574597	16027.86569034352	20842.390794020434	22631.49412551729	25424.42215813531	24255.869435329063	27564.58453917771
3146.5662803716946	3489.0839345198156	4657.135886707525	4256.160263407709	6445.363903722019	7296.348199611757	12920.799746007398	16055.080937404258	20868.930620016512	22600.263652234975	25287.965384636136	24579.501152038574	27354.192997210594
3147.6385675193765	3487.4022581617	4661.027800776193	4255.733155367667	6431.67035146193	7301.937873666372	12974.810290646243	15993.025516257676	20713.664323855668	22661.16189484549	25187.799665662977	24436.56826963519	27204.854528331223
3148.1812476273053	3488.6251416122705	4656.411528177688	4256.54827191408	6438.372830831296	7308.369148068312	12938.511795982187	16056.14647269249	20879.681905110676	22561.41491790316	25270.705752902562	24385.621395017126	27155.060238308375
3146.763736989903	3487.265464929691	4656.639667825962	4255.001425847581	6436.343914717225	7309.768714156805	12938.108751850743	16007.841095443844	20763.07121588259	22616.680581771318	25364.55968792519	24428.89427071187	27336.759940206004
3145.482944834096	3486.9756240511565	4655.409186601093	4253.068723176655	6438.390583011275	7306.2539687884855	12924.126655824723	16037.625561428442	20790.877709021934	22491.672251484182	25351.433271772406	24459.05043347047	27257.120143101867
