16_no_PLL	16_RANGE2	26_RANGE2	16	26	30	60	90	120	150	170	150_BOOST	170_BOOST
2367.718283137659	2690.5055302626124	3977.0418143095667	3148.0551683489866	4757.514589594636	5411.95439889342	9485.88518177265	13746.916437325872	18082.540157010175	22420.334717864363	25319.597332976584	24102.06175755696	27170.283236107392
2316.3430892726115	2721.652245938627	4009.492707324996	3167.972012070552	4794.575678182465	5451.852308326117	9581.261718523665	13759.601543506675	18276.981779359994	22404.313517378385	25277.97409813884	24104.566961848974	27184.548149865594
2355.629464854365	2686.3212927489844	4030.5679548889793	3175.2089123929927	4754.556164313138	5402.9241912524	9482.841004147724	13694.92099855177	18316.061224845173	22486.822875757123	25422.714806936838	23986.185045355316	27252.599952799952
2371.6589143345022	2668.681091473091	3975.1169511250087	3131.175335024444	4844.428045409067	5508.571853960075	9687.51181619982	13960.93209289664	18453.24122959761	22237.399088489285	25400.55711484859	24102.8332158655	27017.57338828796
2360.9773734042783	2727.905555074939	4038.4896851949547	3177.4883239856817	4799.755927878846	5456.5070155329595	9582.861744760115	13731.436751541067	18079.32959837257	22846.750383685343	25415.646856102234	24379.827648217673	27216.305341148487
2362.6796429877836	2701.601240673079	3998.3407045022036	3176.636774762363	4864.971218738675	5534.880381069077	9738.220310643064	13522.330725705553	18075.075695278127	22673.283076015665	25364.909734024885	24319.237430747246	27229.874284117373
2340.7077542580746	2687.3008787163435	4054.741201141532	3152.703919007442	4773.588069748729	5426.198231805231	9545.607222724208	13913.459010168495	18298.541821434985	22419.653867459187	25760.657859571053	24057.81689581653	27606.405348158467
2368.491557000486	2703.5870742965676	3996.5940600963013	3147.1024339835	4773.324118455393	5429.490958109941	9528.928654920483	13797.676902176865	18121.51802910699	22659.179240557052	25595.82948128938	24136.859203071752	27458.048810503675
2319.9268545505697	2703.0071448828726	3983.0088178987367	3167.2997049766013	4769.438389719655	5423.876824266019	9526.967215459339	13995.581542874414	18107.242245739075	22871.641616742716	25770.708119674717	23815.238383864376	27662.828036479517
2342.086442759339	2706.2935100202835	4033.994538297302	3177.931110708587	4737.804290733283	5384.438217834027	9447.571172255793	13702.947587722538	18342.070781894803	22446.67756446972	25353.37831814157	23920.289028808093	27212.75411745722
2367.8842354828203	2733.088688109425	3998.2467141331695	3150.105404246594	4785.911960385276	5439.600453953934	9555.134949132926	13811.238135384085	18051.63903348378	22382.824954153028	25358.18173335149	24116.86491083216	27202.388424294277
2362.168983371296	2713.3530549502552	4050.1112505679007	3149.028397571342	4803.197377922279	5461.360682226805	9592.835409820129	13966.257029240674	18018.086751302082	22576.479188580746	25049.603227256	24573.842418837365	26809.8574418288
2361.4589225944887	2738.6603004352296	3984.1891016765862	3206.524173886374	4793.747756180751	5450.232604251015	9572.74933144306	13718.920571632114	17844.751746392212	22531.955362223893	25450.69924024778	24142.582068942655	27284.593914830406
2339.4131257563295	2721.4906884781735	4051.3555297578964	3175.4091572930647	4788.930502816464	5445.766173857353	9556.054774504622	13605.654460685362	18038.261256267117	22244.46618507919	25147.634459487756	23842.21086797026	26926.5522009839
2367.991949989982	2669.624416312294	3989.558747835	3161.417931283871	4805.527220758135	5464.701649084698	9595.296135451492	13793.787055709414	17937.61890713531	22568.94430834282	25518.647996417847	24269.967949482347	27330.603752469877
2319.367829804294	2691.7360288268274	4046.1738144931974	3174.472669698083	4754.481352656129	5404.058099100302	9475.59287531365	13945.849013380206	18345.43988102495	22720.63190030242	25675.290129905523	24525.712546988278	27514.55467707331
2355.979659030367	2727.5796167895865	4065.5929133397162	3150.4649669956802	4801.014313828992	5459.826912714433	9581.955657066217	13650.375267035892	18142.482380808135	22766.18633907681	25629.69694037654	24396.413874834976	27502.70756858688
2369.784233758238	2709.765996252724	4040.837415764065	3167.05916758994	4777.152555969658	5434.9040808100435	9543.690716837029	13736.608666848753	18420.723338186006	22558.249130131106	25362.503007271545	24144.36281674462	27219.072608060615
2360.9855779103036	2729.0613135949616	3948.805332183838	3191.542875869685	4782.010675030293	5438.257042974992	9561.542625725884	13989.162827597396	18382.38156804143	22699.30746233672	25614.85510477856	24014.76960562189	27503.42042296083
2361.530020297026	2673.1748711055434	3992.3298251310316	3171.0652566532185	4799.331587264674	5457.580955540747	9592.988126869179	13928.57002614638	18337.186988319012	22917.887945990362	25923.252660820177	24313.92228842149	27593.195056081167
2340.470998577981	2707.998729128373	4035.3501961268116	3154.6048586970537	4753.426367082793	5403.879390911321	9475.877449328476	13860.643849675032	18455.86452161917	22438.329577875455	25404.706406510057	24015.217423744532	27266.567365749674
2370.48073570327	2724.9201127449787	4067.2278910965806	3167.6921927333105	4795.6099785274855	5452.194795783488	9579.483291515975	13751.305310398202	18095.25450464129	22365.579389250328	25839.30323093401	23799.25145425217	27713.43086620809
2321.06148392974	2730.4655440086917	4021.7864006938617	3174.675526910578	4755.424803050437	5406.17456938918	9483.73076111857	13769.025221139571	18269.00779365609	22575.988063831857	25228.05327924278	24181.98227022998	26926.98543166225
2354.370594260885	2725.3781007798916	4005.5418308370827	3130.1364451794325	4845.334087805377	5513.837650439775	9689.654647333306	13693.749609560069	18328.17217467055	22772.277824182078	25695.125539819677	24445.452400983788	27581.23827370073
2370.5081391204753	2737.8039665973606	4070.450117479177	3174.989751623477	4798.586043154523	5456.234144948282	9578.016812039405	13966.453745454974	18449.481813158756	22569.1724179396	25425.469084307813	24474.02446650822	27070.929120470595
2362.2611009816005	2698.5832548183416	3999.2050662017264	3173.9772152460346	4864.33994862708	5534.054643470102	9734.961792697504	13721.510524107887	18082.147971870974	22339.46783070699	25209.36852568513	24210.01446099929	26840.95836504037
