16_no_PLL	16_RANGE2	26_RANGE2	16	26	30	60	90	120	150	170	150_BOOST	170_BOOST
0.36356	0.3636	0.22406	0.36388	0.22412	0.19376	0.0971	0.0648	0.0486	0.03892	0.03432	0.03886	0.03428
0.36338	0.3638	0.22364	0.36352	0.2241	0.19412	0.09706	0.06476	0.04854	0.03884	0.03432	0.03886	0.0344
0.36328	0.36366	0.22406	0.36378	0.22392	0.19424	0.09712	0.06472	0.04854	0.03888	0.03428	0.03888	0.03434
0.3637	0.3636	0.22388	0.36358	0.22398	0.19406	0.09712	0.0648	0.0486	0.03886	0.03428	0.03892	0.03432
0.36362	0.36352	0.2239	0.36354	0.22396	0.19384	0.09698	0.06468	0.04856	0.03892	0.03428	0.03898	0.03432
0.36372	0.36388	0.22402	0.36388	0.22384	0.19394	0.09692	0.06466	0.04864	0.03902	0.03434	0.0389	0.03432
0.3636	0.36336	0.22376	0.36372	0.22404	0.194	0.09718	0.06466	0.04866	0.03888	0.03428	0.0389	0.0343
0.36338	0.3636	0.22362	0.3639	0.22388	0.19394	0.0971	0.06476	0.0486	0.03886	0.03434	0.03898	0.03446
0.3636	0.36376	0.2238	0.36338	0.2236	0.194	0.097	0.06468	0.04858	0.03888	0.0343	0.0389	0.0344
0.36334	0.36362	0.22378	0.36362	0.22426	0.194	0.09714	0.0646	0.04856	0.03892	0.0343	0.03888	0.03432
0.3634	0.36396	0.22378	0.36374	0.22404	0.19412	0.09704	0.0648	0.0486	0.03884	0.03442	0.03908	0.03434
0.36374	0.36364	0.22354	0.36356	0.2239	0.19402	0.09712	0.06472	0.04846	0.03892	0.0344	0.03892	0.0343
0.36358	0.36368	0.22386	0.36386	0.22408	0.19404	0.09718	0.06464	0.04852	0.03894	0.03442	0.03894	0.03428
0.3635	0.36366	0.22362	0.36352	0.2237	0.19412	0.09714	0.06472	0.0485	0.03886	0.03434	0.03882	0.03434
0.36362	0.36356	0.22382	0.36344	0.22372	0.19404	0.09702	0.06476	0.04854	0.03886	0.03432	0.0389	0.03448
0.36332	0.3635	0.22394	0.36376	0.22406	0.19406	0.09702	0.06466	0.04858	0.03888	0.03432	0.03882	0.03434
0.36344	0.3636	0.2237	0.36368	0.2239	0.1941	0.09712	0.06484	0.0485	0.03894	0.03428	0.03892	0.03434
0.36336	0.36376	0.22372	0.36358	0.22372	0.19408	0.09704	0.0647	0.04866	0.03892	0.0343	0.03884	0.03428
0.36354	0.3636	0.224	0.36376	0.22394	0.1939	0.09704	0.06464	0.04852	0.03892	0.03434	0.03886	0.03436
0.36364	0.36366	0.22372	0.3637	0.2239	0.19386	0.09706	0.06476	0.04854	0.03892	0.03436	0.03898	0.03428
0.36354	0.36366	0.22388	0.36388	0.22368	0.19414	0.0972	0.06466	0.04854	0.0389	0.0343	0.03892	0.0343
0.36374	0.36376	0.22392	0.36362	0.22392	0.19422	0.09704	0.06458	0.04856	0.03894	0.0344	0.03884	0.0343
0.36358	0.36364	0.22376	0.36368	0.22402	0.19408	0.09704	0.0647	0.04872	0.0389	0.03438	0.03898	0.03434
0.3637	0.3635	0.22372	0.36356	0.22382	0.19402	0.09722	0.0647	0.04854	0.03882	0.03432	0.0389	0.03432
0.36348	0.36334	0.22386	0.36348	0.22382	0.19396	0.09696	0.0647	0.04868	0.03886	0.03434	0.03898	0.03436
0.36352	0.3637	0.22372	0.36368	0.22392	0.19394	0.09694	0.06478	0.04868	0.039	0.03434	0.03884	0.03434
0.36348	0.36346	0.22388	0.36362	0.22372	0.19382	0.09712	0.06472	0.04854	0.0389	0.03436	0.03888	0.03434
0.36348	0.36372	0.22414	0.36372	0.22392	0.19426	0.09712	0.06468	0.04854	0.03894	0.03428	0.03904	0.03432
0.36382	0.36354	0.22414	0.36386	0.22424	0.19412	0.09718	0.06472	0.04854	0.03896	0.03426	0.03886	0.03434
0.36348	0.36344	0.22388	0.36362	0.2238	0.19416	0.09698	0.0646	0.04858	0.03886	0.03434	0.03898	0.03428
