16_no_PLL	16_RANGE2	26_RANGE2	16	26	30	60	90	120	150	170	150_BOOST	170_BOOST
0.42382	0.42404	0.26094	0.42446	0.26118	0.22622	0.11306	0.07534	0.05656	0.04524	0.04	0.04534	0.04002
0.424	0.424	0.26104	0.42412	0.26108	0.22636	0.1131	0.07544	0.05672	0.04532	0.04008	0.04536	0.04002
0.42392	0.42388	0.261	0.42424	0.26094	0.2262	0.11312	0.07544	0.05658	0.04536	0.04002	0.0453	0.04004
0.42386	0.4238	0.26094	0.42416	0.26092	0.22636	0.1132	0.07548	0.0566	0.04538	0.0401	0.04534	0.0401
0.4238	0.42374	0.26076	0.42426	0.261	0.22604	0.11316	0.07554	0.05656	0.04534	0.04022	0.04538	0.04006
0.42376	0.42428	0.26072	0.424	0.2611	0.22616	0.11312	0.07546	0.0566	0.04534	0.04008	0.0455	0.04006
0.42384	0.4239	0.26088	0.42422	0.26094	0.22644	0.11302	0.07548	0.0566	0.04538	0.03998	0.04536	0.04004
0.4237	0.42396	0.26078	0.42416	0.26128	0.22614	0.11328	0.07552	0.05662	0.04536	0.04008	0.04536	0.04018
0.42396	0.42396	0.26076	0.42428	0.26132	0.22618	0.11306	0.07538	0.0567	0.0453	0.04006	0.04532	0.04
0.42384	0.42398	0.261	0.42424	0.26092	0.22642	0.11334	0.0754	0.05654	0.0453	0.04004	0.04538	0.03998
0.4237	0.42418	0.26072	0.42412	0.26098	0.22614	0.11332	0.07538	0.05668	0.04538	0.04006	0.04544	0.04004
0.42404	0.42388	0.2608	0.42414	0.26126	0.22622	0.11314	0.07544	0.05662	0.0454	0.04002	0.0454	0.0401
0.42376	0.42388	0.26094	0.42396	0.26098	0.22632	0.11328	0.07564	0.05652	0.04538	0.04014	0.04546	0.0401
0.42382	0.42376	0.26088	0.42416	0.26084	0.22612	0.1132	0.0754	0.05658	0.04536	0.03996	0.04538	0.04008
0.42364	0.42404	0.26084	0.42378	0.26112	0.22632	0.11322	0.07544	0.05658	0.04536	0.04012	0.04532	0.04006
0.4238	0.42394	0.2611	0.42406	0.26094	0.22622	0.11308	0.07532	0.05656	0.04528	0.04004	0.04538	0.04006
0.42362	0.4239	0.26094	0.4239	0.2611	0.22644	0.11334	0.0755	0.05656	0.04524	0.04008	0.04538	0.04004
0.42368	0.42408	0.26062	0.42396	0.26126	0.22614	0.11316	0.07566	0.05676	0.04536	0.04	0.04534	0.04006
0.42392	0.42394	0.2608	0.42414	0.2611	0.22622	0.11338	0.0756	0.05674	0.0454	0.0401	0.04532	0.04012
0.42374	0.42398	0.26094	0.42394	0.26102	0.22646	0.11298	0.07544	0.05664	0.04536	0.04006	0.0454	0.04004
0.42402	0.42386	0.2608	0.42424	0.261	0.22612	0.11312	0.07542	0.05662	0.04536	0.04006	0.04534	0.04002
0.42366	0.42404	0.26084	0.42418	0.26092	0.22614	0.11288	0.07534	0.05664	0.04538	0.04006	0.0453	0.04
0.42396	0.42392	0.26094	0.42392	0.26124	0.22634	0.11322	0.07548	0.05658	0.04548	0.0401	0.04542	0.04004
0.42386	0.42394	0.26094	0.42408	0.26114	0.22634	0.11316	0.07532	0.05666	0.04532	0.04004	0.0454	0.04008
0.42398	0.42398	0.26084	0.42422	0.26086	0.22612	0.11316	0.07544	0.05654	0.04528	0.04006	0.04544	0.04014
0.42384	0.424	0.26082	0.42422	0.2611	0.22638	0.11312	0.07546	0.05666	0.0454	0.04004	0.04536	0.04006
0.42382	0.42398	0.26108	0.42396	0.26106	0.22628	0.1132	0.0755	0.05664	0.0455	0.04012	0.04534	0.04004
0.42414	0.42402	0.26084	0.42402	0.2611	0.22622	0.11318	0.07546	0.0566	0.04538	0.04018	0.0454	0.04002
0.42394	0.42406	0.26088	0.4241	0.26108	0.22644	0.11322	0.0754	0.05664	0.0455	0.04008	0.04544	0.04018
0.42384	0.4238	0.26098	0.4241	0.26104	0.22616	0.11336	0.0755	0.05658	0.0453	0.04004	0.04534	0.04008
