16_no_PLL	16_RANGE2	26_RANGE2	16	26	30	60	90	120	150	170	150_BOOST	170_BOOST
0.30308	0.30286	0.28024	0.30308	0.18674	0.16166	0.08098	0.08096	0.06062	0.06794	0.06002	0.06802	0.06002
0.30302	0.3033	0.27972	0.3035	0.18654	0.16162	0.08088	0.08096	0.06062	0.06804	0.06	0.06806	0.06
0.30296	0.303	0.2802	0.30324	0.18656	0.16174	0.0808	0.08082	0.06078	0.06796	0.06008	0.0681	0.06014
0.30294	0.30288	0.27992	0.30312	0.18654	0.16156	0.08086	0.08078	0.06072	0.06796	0.05998	0.06798	0.06004
0.3032	0.30302	0.27976	0.3032	0.18654	0.16176	0.08082	0.08088	0.06074	0.06798	0.06022	0.068	0.05998
0.30284	0.30316	0.28012	0.30332	0.18678	0.16156	0.08092	0.08084	0.06072	0.06796	0.05998	0.06808	0.06002
0.30288	0.30294	0.27972	0.30358	0.18664	0.16176	0.08088	0.08092	0.06066	0.06806	0.06008	0.06802	0.0601
0.30306	0.30316	0.27984	0.30336	0.1867	0.1618	0.08082	0.08102	0.06068	0.06796	0.06008	0.068	0.06004
0.30292	0.30308	0.28008	0.30346	0.18666	0.16182	0.08082	0.08088	0.06072	0.0679	0.06014	0.068	0.06
0.30284	0.30268	0.27988	0.3035	0.1866	0.16192	0.08082	0.08088	0.06068	0.06798	0.06012	0.06798	0.06012
0.30314	0.30304	0.28026	0.3032	0.18664	0.1619	0.08086	0.08086	0.06074	0.06786	0.06	0.06804	0.06004
0.3029	0.30312	0.2797	0.30342	0.18664	0.16168	0.08098	0.0809	0.0607	0.06806	0.06	0.06796	0.06004
0.30286	0.30284	0.27968	0.30356	0.18672	0.16174	0.08096	0.0808	0.06068	0.068	0.05992	0.0681	0.06008
0.30312	0.30304	0.27978	0.30342	0.18668	0.16168	0.0808	0.08082	0.06068	0.06802	0.06	0.06806	0.06
0.30284	0.30316	0.27984	0.3036	0.18652	0.16162	0.08092	0.08096	0.06074	0.0681	0.06006	0.06802	0.06002
0.30286	0.30288	0.28006	0.30324	0.18656	0.16172	0.08096	0.08086	0.06066	0.06804	0.06	0.06796	0.06
0.3031	0.30304	0.28	0.30358	0.18658	0.16176	0.0809	0.08098	0.06062	0.06804	0.06008	0.06814	0.05994
0.30296	0.30298	0.27974	0.30348	0.18652	0.16176	0.08078	0.08098	0.06062	0.06796	0.0601	0.0679	0.06002
0.30296	0.30308	0.28016	0.3036	0.18652	0.16178	0.0809	0.0808	0.0607	0.06806	0.06004	0.068	0.06004
0.3031	0.30318	0.2799	0.3034	0.187	0.1618	0.08072	0.0809	0.0607	0.06802	0.06014	0.06812	0.05998
0.30282	0.30322	0.27996	0.30346	0.1866	0.1619	0.08094	0.08086	0.06076	0.068	0.06	0.06812	0.06002
0.30284	0.30312	0.27992	0.30364	0.18658	0.16176	0.08086	0.08096	0.06066	0.06808	0.06008	0.06814	0.05998
0.30306	0.30306	0.2798	0.3033	0.18652	0.1618	0.0808	0.0809	0.06074	0.0679	0.06008	0.06806	0.06006
0.3031	0.30288	0.28002	0.30336	0.18676	0.16168	0.081	0.08086	0.06066	0.06794	0.06008	0.06792	0.06014
0.303	0.30306	0.27988	0.30332	0.18664	0.16184	0.08082	0.08084	0.06076	0.0681	0.06004	0.06814	0.06008
0.3031	0.3033	0.28008	0.30348	0.18658	0.16152	0.0809	0.08092	0.06072	0.068	0.06006	0.06802	0.0601
0.30294	0.30302	0.27988	0.30374	0.18672	0.16172	0.081	0.08074	0.06066	0.06806	0.06008	0.06802	0.06
0.30304	0.303	0.27998	0.30334	0.18662	0.16184	0.08088	0.0809	0.06068	0.06802	0.06002	0.06814	0.05998
0.3032	0.303	0.27998	0.30346	0.18652	0.16176	0.08084	0.08094	0.06076	0.06794	0.06	0.06796	0.0601
0.30294	0.303	0.27988	0.30334	0.18652	0.16168	0.08084	0.0809	0.06074	0.06794	0.06008	0.06816	0.05998
