16_no_PLL	16_RANGE2	26_RANGE2	16	26	30	60	90	120	150	170	150_BOOST	170_BOOST
2558.0229577947694	2875.378217605898	4267.933566278617	3358.52464301975	5115.019938020289	5814.966973781821	10265.72766101207	14877.773063340717	19611.01522586616	24263.59141531166	27431.298763307022	26149.284062496998	29411.55334451493
2498.4414420470243	2909.4041949553	4301.7088593324725	3381.1181302010536	5159.339835300689	5868.862083685125	10367.350198297245	14886.983611463047	19841.378112702634	24248.42089855025	27373.242843117885	26138.153756529937	29420.540296318468
2539.985988691998	2871.686327483372	4326.3103992835095	3389.816082942773	5111.028092722673	5809.466476025788	10250.156436563422	14829.04535110818	19866.97205899676	24347.705547626203	27517.77032623716	25985.750051645133	29483.189067774118
2561.1617909079414	2850.710228773748	4259.687889974063	3337.6341825986487	5218.193552745621	5935.017212864437	10510.54940168371	15121.24552529239	20037.416513483335	24074.971675872803	27533.074275364783	26115.60223287322	29275.981828694887
2546.8566767601337	2916.880512898293	4336.61278605985	3392.8696244261255	5166.05234232918	5872.783335772428	10379.964783695632	14855.34316299139	19593.856770202245	24785.740233550707	27538.68806993065	26470.958892935014	29509.48663444758
2548.7533849387655	2888.3894253104304	4286.831149817842	3391.8356840421056	5245.894548020774	5963.6563622751055	10562.29590898213	14633.734108827062	19607.778840464325	24584.87531821716	27472.333987775288	26380.464726803348	29486.36816206622
2524.124928732586	2872.317490689058	4354.235395217866	3360.7196625394117	5131.693516416843	5839.872595704632	10313.186607841091	15065.410464693912	19840.326238908696	24299.5395707264	27926.27378396052	26081.451416015625	29898.848420887232
2557.2636362993712	2888.012995716449	4288.503838361292	3357.9692721091756	5136.513357679245	5841.370463415477	10314.682063419828	14920.715565785309	19649.665108233676	24600.417612517766	27735.678930468544	26120.311875393145	29745.672804137972
2500.3305399288	2889.0282623371536	4271.9882378682905	3384.4311403074016	5131.700460399445	5835.312311042155	10308.385101416341	15169.285810910738	19629.012422608623	24821.171303638956	27935.660981202192	25755.749873505763	29980.654842498738
2526.2320048732163	2892.5669219239344	4332.050476988701	3397.3407550387356	5090.080953548571	5788.678088422643	10217.933052266339	14833.158505729456	19921.98641099069	24325.205876277043	27471.020661995386	25868.80362883247	29460.082901479476
2556.2980370329856	2923.525669329399	4286.106232594816	3363.303959562275	5144.705133518801	5856.064030536177	10331.587871464902	14931.36899540965	19567.021004147628	24248.25638991136	27447.226316109816	26104.87024086992	29459.33388403626
2548.2951426192853	2897.7796369504426	4350.002199724294	3361.2122695730695	5169.735787666007	5877.505891654006	10394.699215271312	15123.885894200439	19516.364019456054	24436.088618386555	27067.056848612396	26710.431757371607	28969.79789229508
2547.8548346144257	2928.9654332021455	4272.733415876116	3430.6730677612095	5156.009444438604	5865.116018042876	10358.855938935021	14851.745258036122	19320.10377887673	24403.233454777645	27578.845027436433	26175.761559878527	29580.41246887037
2522.4634653478643	2906.290266472615	4353.391015371232	3394.687588443624	5152.176952239428	5855.215582690046	10339.290868808666	14713.985635890418	19535.175764004194	24097.211095696224	27194.81962944105	25810.565058077875	29125.958100002787
2557.341196908716	2849.7620530095123	4279.395571970963	3373.8591745829904	5170.86752262556	5877.268274561266	10394.692038217867	14917.084558173161	19412.910926541277	24466.84374194649	27640.436353125613	26320.495652476726	29602.902038659344
2499.5406285241856	2877.1572405080988	4346.033033164357	3390.3350900524983	5106.278671321858	5805.168618441865	10241.659225196301	15110.478800748626	19930.546100323016	24616.771078637605	27808.745039833917	26619.820562628134	29773.51877424452
2541.310935740486	2917.0374554086934	4365.335250283308	3360.7609278761693	5164.298487997239	5873.3293190304	10382.632978519843	14763.638960901051	19688.22366442805	24694.138509364217	27816.833390129937	26448.047593391668	29770.387903052895
2558.697932971976	2898.2714172403544	4336.501807884479	3382.212662317847	5133.652247638596	5840.403103793074	10315.340027036404	14870.132756541705	19994.847112949872	24454.891975290084	27516.09361578212	26199.723347718525	29468.47209174903
2549.4098977991	2921.708569582349	4225.728037321342	3411.0937263855667	5139.507452306245	5845.833036791757	10320.978753360701	15151.229331163857	19947.3687966743	24615.26547945463	27784.071260840115	26016.49922095925	29843.142840652785
2550.082462494768	2858.632659811431	4281.0882705752265	3383.83814091739	5160.831298958919	5870.326336484281	10370.193939661543	15075.089663443481	19897.08332385302	24895.58538191877	28121.789296468098	26355.969803213047	29936.666940248113
2522.462335374676	2899.2617399314627	4332.165439987387	3365.4476487626343	5107.905595945382	5804.574600040655	10239.10297179829	15014.116383904313	20041.991291695413	24292.645750415053	27518.2392631992	25987.111018254207	29584.984330765463
2558.1080696113004	2915.848184369339	4372.696164821003	3379.9342703954544	5158.054808231249	5864.538507302504	10362.167922841929	14875.042777595196	19608.01115651133	24236.42335636003	28045.259307373555	25750.252829787918	30020.480023490058
2500.9788749714953	2922.1034106619286	4317.766493100583	3390.1937794771834	5110.192145729473	5809.886022315479	10253.676077122745	14881.18337333775	19826.62710682645	24461.582979541614	27315.397142865168	26209.956984129203	29124.121908189194
2541.410828643235	2914.9036912286756	4300.500065388274	3338.9102058727653	5219.471582253434	5933.333880345341	10507.771056375386	14824.650504372337	19872.37218320955	24719.600443459727	27862.634320819103	26538.76730111929	29905.79373145617
2558.7944481740574	2931.5407090914496	4375.408797009043	3394.713231248215	5160.687056547569	5870.260906631818	10374.328471996167	15137.136180828327	20046.813732628503	24434.48424412474	27513.492730436425	26577.976470497375	29304.953026290394
2548.402717011203	2885.2882780233444	4284.6708106565275	3393.6224053596334	5239.828910729657	5959.90526848646	10552.28825053787	14850.09540435261	19595.21856256281	24172.80514449558	27267.77571464613	26218.67439963601	29039.10713328717
2549.903707547687	2871.719379480422	4317.746925374445	3359.1023911017796	5128.970587553348	5837.928000259447	10311.99520439564	14632.459488902206	19592.746490328183	24243.98666532169	27243.639450870738	26007.072218816364	29217.004443478552
2524.693135600911	2882.759075116992	4329.807551987884	3358.794693331443	5132.205491921893	5837.752221322563	10310.155125291134	15062.068438574039	19845.68031945879	24354.460204176128	27482.49104357893	26445.72466080659	29521.612301417
2555.3526794977292	2921.6746992199733	4296.820752430422	3384.0588978232936	5131.582691244883	5838.531868259897	10311.459281998641	14943.430659689966	19657.674594839667	24334.87521375467	27511.464132874935	26225.506047444513	29490.524642402794
2497.7669552322427	2914.8181609916096	4240.628266893506	3395.632398932256	5089.618594565721	5788.609936429851	10217.589917901767	15165.161513577106	19628.936519406594	24260.08488581731	27393.094355937337	26151.69877272386	29425.81468563584
