16_no_PLL	16_RANGE2	26_RANGE2	16	26	30	60	90	120	150	170	150_BOOST	170_BOOST
0.36372	0.36382	0.2242	0.36378	0.2244	0.19432	0.09716	0.0649	0.04876	0.03904	0.03446	0.03904	0.03444
0.36372	0.36418	0.22424	0.36412	0.22402	0.1943	0.09708	0.06484	0.04874	0.03902	0.03446	0.03914	0.03448
0.36374	0.36368	0.22438	0.36396	0.22402	0.19416	0.09718	0.06486	0.04868	0.03902	0.0345	0.03906	0.0345
0.36384	0.36376	0.22408	0.36382	0.22414	0.19442	0.0972	0.06494	0.0487	0.039	0.03444	0.03904	0.0345
0.36408	0.364	0.22404	0.36392	0.22422	0.1941	0.09722	0.06504	0.04876	0.03902	0.03446	0.03902	0.03446
0.3638	0.3639	0.22418	0.36394	0.22404	0.19444	0.0973	0.0649	0.04872	0.03904	0.03446	0.03902	0.03446
0.36378	0.36386	0.22434	0.36376	0.22416	0.19436	0.09722	0.06492	0.04868	0.03896	0.0345	0.0391	0.03442
0.36396	0.36402	0.22384	0.36408	0.22422	0.19428	0.09716	0.06482	0.04876	0.03902	0.03448	0.03904	0.03458
0.36374	0.3641	0.22416	0.3639	0.22414	0.19428	0.09726	0.06488	0.04878	0.03916	0.03442	0.03912	0.03462
0.3639	0.36384	0.22428	0.36404	0.22412	0.19414	0.09722	0.06488	0.04864	0.03908	0.03446	0.03912	0.03444
0.36368	0.36394	0.22416	0.364	0.2243	0.1941	0.0971	0.0648	0.0487	0.03906	0.03448	0.03906	0.03448
0.36406	0.36414	0.22432	0.36414	0.22412	0.19412	0.09726	0.06488	0.0487	0.03908	0.03456	0.03916	0.03446
0.36376	0.36398	0.2241	0.36428	0.22406	0.19414	0.09716	0.06488	0.04868	0.03908	0.03444	0.03894	0.03452
0.36376	0.3637	0.22422	0.36384	0.22412	0.19418	0.09726	0.06494	0.04862	0.03904	0.03442	0.03902	0.03448
0.36396	0.36404	0.22432	0.364	0.22408	0.19446	0.0971	0.06498	0.04874	0.03906	0.03444	0.03902	0.03452
0.36372	0.36398	0.2241	0.36408	0.22384	0.19432	0.09738	0.06486	0.04874	0.03898	0.03448	0.03912	0.03454
0.36382	0.36394	0.22408	0.36384	0.22402	0.1942	0.09728	0.06492	0.04868	0.03906	0.0345	0.03904	0.03446
0.3639	0.36396	0.2242	0.36424	0.22444	0.19446	0.09736	0.06514	0.04868	0.039	0.03458	0.03902	0.03452
0.36352	0.36368	0.22388	0.36402	0.22378	0.19436	0.09736	0.06482	0.04874	0.039	0.0344	0.03906	0.03446
0.3638	0.36392	0.22414	0.36392	0.2243	0.19426	0.09714	0.06496	0.04866	0.03906	0.0345	0.03904	0.03446
0.36382	0.36408	0.22426	0.36406	0.2242	0.19414	0.09724	0.06492	0.04874	0.039	0.03456	0.03902	0.0345
0.36366	0.3639	0.22406	0.36378	0.22406	0.19414	0.09734	0.06482	0.04866	0.03904	0.03458	0.03898	0.03448
0.364	0.36412	0.22392	0.36414	0.22414	0.19436	0.09722	0.06488	0.0487	0.03902	0.03444	0.03908	0.03444
0.36358	0.3639	0.22408	0.36412	0.22432	0.19422	0.09712	0.06494	0.0487	0.03906	0.03448	0.0391	0.0345
0.36366	0.36396	0.2241	0.36408	0.2241	0.19426	0.09734	0.06484	0.0487	0.039	0.0345	0.039	0.03454
0.36392	0.36394	0.2242	0.36396	0.22404	0.19426	0.09724	0.06486	0.0487	0.03906	0.03446	0.03896	0.0345
0.3636	0.36386	0.22412	0.36378	0.22424	0.19414	0.09714	0.06494	0.04876	0.03898	0.03452	0.0391	0.03444
0.36392	0.3638	0.22416	0.36392	0.22404	0.19428	0.09724	0.06494	0.04868	0.03906	0.03446	0.03908	0.0345
0.36376	0.36386	0.22382	0.3641	0.22422	0.19434	0.09726	0.06484	0.04862	0.03898	0.03454	0.0392	0.0345
0.36378	0.36368	0.22408	0.36394	0.22428	0.19434	0.09712	0.06488	0.04866	0.03904	0.0345	0.039	0.03446
