16_no_PLL	16_RANGE2	26_RANGE2	16	26	30	60	90	120	150	170	150_BOOST	170_BOOST
580.1670074462891	650.5336570739746	679.1335105895997	943.5352249145508	888.4862594604492	874.0513000488281	779.4837799072266	822.1310348510741	809.9991302490234	876.0724411010741	869.4664764404297	1011.6154541015624	1000.6613037109375
579.6313667297363	650.6394195556641	679.6482086181641	944.3987274169922	889.466812133789	874.1694030761716	777.2191543579102	824.2439117431641	809.8844375610352	873.9525146484375	868.9456100463867	1006.3279296875	999.8550537109377
580.1193237304688	651.1186790466309	679.5693588256836	945.1518402099609	888.7936019897462	873.9456939697264	777.92520904541	824.4721298217773	809.6954956054688	876.8932113647461	870.1167755126952	1007.2637451171875	999.9121826171875
580.5791664123535	650.8699417114258	678.9330863952637	944.6624221801758	890.5118865966796	874.21524810791	780.1083068847655	824.3995513916016	810.285484313965	876.269416809082	870.9589004516602	1005.5597412109374	1005.1189208984375
580.2332496643066	650.937557220459	679.7343254089355	944.1837844848633	890.2523117065429	874.4145812988281	777.6341629028318	822.9725646972657	811.684226989746	876.3494110107422	870.123046875	1005.426025390625	1001.3189208984375
579.764518737793	650.4938697814941	679.4065284729004	944.4099655151367	891.0354080200196	874.0236282348632	777.9938049316405	823.6419525146484	813.1564178466797	874.0668869018555	871.4139862060547	1008.162548828125	1000.1064208984374
579.7988128662109	651.2465476989746	679.2122077941895	944.7522125244141	888.8133087158203	873.7157592773438	777.6646270751953	823.7695083618164	809.7287750244141	874.206916809082	874.0303573608398	1006.4784912109375	999.889208984375
580.2539825439453	651.2807655334473	679.4257926940918	944.9677734374999	889.021842956543	874.3626022338866	779.342399597168	823.9049148559569	810.3492736816406	874.8249206542969	869.5910339355468	1007.9538330078125	999.509814453125
580.5553436279297	650.8644676208496	679.3641662597656	943.471321105957	890.156524658203	874.1522140502929	778.6556625366211	822.6495666503906	808.9822540283202	876.1197967529297	870.1879348754883	1005.48203125	1000.3307373046877
579.9563789367676	651.1808013916016	678.8850593566895	944.1351013183594	890.4595642089843	873.0269622802734	779.2478256225586	822.621711730957	809.6056594848633	875.6393508911132	869.5685577392577	1007.5342773437502	999.7802734374999
579.9765586853027	651.1419677734374	679.9892997741699	945.0644989013671	890.6384124755859	873.7865982055664	779.0362930297853	823.6339874267577	809.1224212646484	874.5642929077146	868.9428176879883	1006.6751708984375	1000.2128662109377
580.3352737426758	650.9236526489258	680.3215789794922	944.7646865844727	889.8524093627929	874.0300827026367	778.6167526245116	824.3408889770508	808.7905197143555	875.0972442626952	869.4516906738281	1010.7753417968751	998.8140625000001
580.4706954956055	650.4813957214355	679.5520401000977	944.2607574462891	890.4334030151367	875.0956420898438	778.771110534668	822.6741714477539	810.4077987670898	875.2528152465819	870.3471450805664	1006.5049072265624	999.4831542968751
580.3248405456543	650.5514907836914	679.399585723877	944.0664825439453	890.2971267700195	875.3863220214843	777.3855514526367	823.9424057006836	812.0639190673828	875.2518310546874	871.7387008666991	1007.1301513671875	998.5233154296876
580.5133056640625	651.1174964904785	680.2846527099609	944.6765213012695	889.3339462280273	874.1077651977539	777.1302337646484	823.0068969726562	810.5973358154298	875.3094406127927	868.9588394165038	1008.5874755859375	998.8573486328127
580.2353096008301	651.3871383666992	679.8052215576172	945.3538513183593	890.0711746215819	874.6039581298827	777.742218017578	824.5096664428711	813.0004577636718	875.404312133789	871.3228454589844	1005.8948486328126	1000.184423828125
580.515308380127	650.4580116271973	679.3407440185546	944.3769378662109	889.0961380004882	874.8464584350586	778.9152145385741	823.275764465332	809.4469299316407	874.8189697265624	870.7732086181641	1006.5662109374999	999.3058105468749
579.9238014221191	650.526065826416	679.7590255737305	943.9462509155275	890.9835662841796	874.1867065429686	778.425178527832	824.4353713989257	808.552505493164	874.5324325561523	869.6078109741211	1009.276806640625	998.9186767578125
580.1374244689941	650.528507232666	680.5417823791504	945.210205078125	889.5317001342772	874.3218841552733	778.4138259887695	822.7844696044923	808.9922561645508	874.7781600952146	871.3987426757812	1007.1865966796875	1001.4134033203125
580.571403503418	651.4742469787599	680.03080368042	944.9111022949219	890.4309539794922	874.7105484008789	777.2143249511719	823.286247253418	809.652214050293	874.2417068481444	868.9632110595702	1008.64296875	1000.0257080078126
580.1061058044434	650.712833404541	678.8511085510254	944.1026000976561	889.832336425781	875.0573501586914	777.6937637329102	824.6255722045898	808.742706298828	875.3772811889647	869.8494186401367	1006.2489990234374	998.7773437500001
