16_no_PLL	16_RANGE2	26_RANGE2	16	26	30	60	90	120	150	170	150_BOOST	170_BOOST
0.20568	0.20568	0.15384	0.2058	0.12676	0.10972	0.05482	0.0445	0.0334	0.02976	0.02634	0.02982	0.02632
0.2058	0.20586	0.1539	0.20588	0.12694	0.10992	0.05486	0.04452	0.03348	0.02974	0.02638	0.02986	0.0264
0.20574	0.20586	0.15382	0.2058	0.12682	0.10988	0.05498	0.04448	0.03344	0.02982	0.02636	0.02976	0.02632
0.20582	0.2058	0.15386	0.20574	0.12674	0.10998	0.05504	0.04452	0.03346	0.02986	0.02634	0.02984	0.02634
0.20584	0.20584	0.154	0.20582	0.1268	0.1098	0.05496	0.0445	0.03336	0.02978	0.02636	0.02992	0.02646
0.2059	0.20578	0.1538	0.20584	0.12678	0.10986	0.05494	0.04446	0.03342	0.02988	0.0264	0.02978	0.02636
0.20586	0.20562	0.15388	0.20582	0.12702	0.10982	0.05488	0.04454	0.03344	0.0298	0.02638	0.02984	0.0263
0.20582	0.2059	0.15388	0.20566	0.12664	0.10988	0.05484	0.04448	0.0334	0.02988	0.02628	0.02982	0.02636
0.20588	0.20588	0.154	0.20574	0.12682	0.10998	0.05494	0.04452	0.03346	0.02974	0.02626	0.0298	0.02632
0.20556	0.2058	0.15386	0.20584	0.12672	0.10974	0.0549	0.04456	0.03336	0.0298	0.02632	0.02982	0.0263
0.20564	0.20566	0.15374	0.20582	0.1269	0.1098	0.05506	0.04458	0.0335	0.02982	0.02632	0.02976	0.02642
0.20566	0.20564	0.15398	0.20574	0.12696	0.1097	0.05496	0.04458	0.0335	0.02982	0.0263	0.02988	0.02632
0.20566	0.2059	0.15376	0.20586	0.1267	0.11006	0.055	0.04452	0.03346	0.02982	0.02634	0.02982	0.02632
0.2056	0.2058	0.15356	0.2059	0.12674	0.1099	0.05492	0.04444	0.03342	0.02982	0.0263	0.0298	0.0264
0.20554	0.2057	0.15386	0.20598	0.127	0.10986	0.05488	0.04454	0.03342	0.0298	0.0263	0.02978	0.0264
0.20578	0.20568	0.15402	0.2058	0.1267	0.10966	0.05494	0.04456	0.03348	0.02992	0.02628	0.02978	0.02636
0.20562	0.20584	0.15384	0.20582	0.12672	0.1099	0.0549	0.04458	0.03344	0.02982	0.0263	0.0298	0.02636
0.2056	0.2059	0.15398	0.20596	0.1268	0.10986	0.05492	0.04442	0.0334	0.02984	0.02632	0.02982	0.02632
0.20578	0.20582	0.15402	0.20588	0.12682	0.11	0.05488	0.04444	0.03336	0.02978	0.02632	0.02986	0.02636
0.20564	0.20574	0.1539	0.20584	0.12686	0.10988	0.05506	0.04442	0.03344	0.02976	0.02636	0.0298	0.02638
0.20576	0.20576	0.15396	0.20576	0.12668	0.10986	0.0549	0.04452	0.03344	0.02978	0.02628	0.02984	0.02638
0.20566	0.20582	0.15398	0.2058	0.12668	0.1097	0.0549	0.04444	0.03336	0.02984	0.02634	0.0298	0.02634
0.20548	0.2059	0.15384	0.20588	0.12662	0.10994	0.05496	0.04454	0.03344	0.02986	0.0264	0.02978	0.0263
0.20576	0.20562	0.15382	0.20582	0.12676	0.10996	0.05492	0.04446	0.03344	0.02986	0.02646	0.0299	0.0263
0.20574	0.20592	0.15388	0.2057	0.12674	0.10972	0.05516	0.04446	0.03338	0.02986	0.02636	0.02978	0.02638
0.20588	0.20584	0.15386	0.20582	0.12666	0.10996	0.0549	0.04448	0.03344	0.02974	0.02638	0.02982	0.02634
0.20564	0.2057	0.15388	0.20592	0.1268	0.11008	0.05498	0.04456	0.03336	0.02984	0.02638	0.02978	0.02638
0.2058	0.20566	0.1538	0.20584	0.12676	0.10994	0.05494	0.04448	0.03338	0.02984	0.0264	0.02976	0.02632
0.20574	0.20584	0.15406	0.20574	0.1267	0.10986	0.05488	0.0445	0.03348	0.02982	0.02634	0.02986	0.0263
0.20578	0.2057	0.15396	0.20578	0.12688	0.10996	0.05508	0.0444	0.03346	0.02986	0.0263	0.02986	0.02634
