16_no_PLL	16_RANGE2	26_RANGE2	16	26	30	60	90	120	150	170	150_BOOST	170_BOOST
0.02476	0.02482	0.01532	0.02486	0.01538	0.0133	0.00672	0.00454	0.00346	0.00282	0.0025	0.00284	0.0025
0.02476	0.0248	0.01534	0.02486	0.01534	0.01334	0.00674	0.00456	0.00344	0.00282	0.00252	0.0028	0.00244
0.02468	0.02478	0.01528	0.02476	0.01526	0.01326	0.00674	0.00452	0.00344	0.00282	0.00244	0.00278	0.0025
0.02472	0.02482	0.01532	0.02482	0.01534	0.01332	0.00674	0.00452	0.00344	0.0028	0.00248	0.00282	0.00246
0.02476	0.02482	0.0153	0.02478	0.01538	0.01332	0.00668	0.00454	0.00344	0.00282	0.00248	0.00284	0.0025
0.02476	0.02476	0.0153	0.02482	0.0153	0.0133	0.0067	0.00456	0.00346	0.0028	0.00252	0.00276	0.0025
0.02474	0.02482	0.01536	0.0248	0.0153	0.0133	0.00674	0.00456	0.00346	0.00278	0.0025	0.0028	0.00252
0.02472	0.0248	0.01532	0.02482	0.0154	0.01326	0.00674	0.00456	0.00346	0.0028	0.0025	0.0028	0.0025
0.02476	0.02484	0.01528	0.02484	0.01532	0.01332	0.0067	0.00454	0.00346	0.00282	0.00252	0.00278	0.00252
0.02474	0.0249	0.0153	0.02484	0.0154	0.01328	0.00668	0.00456	0.00344	0.0028	0.0025	0.0028	0.00252
0.02472	0.02486	0.01534	0.02482	0.0153	0.0133	0.00672	0.00452	0.00344	0.00282	0.00252	0.0028	0.00252
0.02474	0.0249	0.01534	0.02478	0.0153	0.01336	0.00678	0.00456	0.00342	0.00278	0.00248	0.00282	0.0025
0.02474	0.02478	0.01536	0.02484	0.01534	0.01328	0.00672	0.00452	0.00342	0.00284	0.0025	0.0028	0.00252
0.02476	0.02488	0.0153	0.02482	0.01536	0.01326	0.00674	0.00454	0.00344	0.00278	0.00248	0.00282	0.0025
0.02474	0.0248	0.0153	0.0248	0.01534	0.01332	0.00674	0.00454	0.00344	0.0028	0.00248	0.00282	0.0025
0.02472	0.02478	0.01532	0.02478	0.01534	0.01332	0.00674	0.00452	0.00344	0.00282	0.00246	0.00278	0.00252
0.02484	0.02488	0.0153	0.02482	0.01534	0.0133	0.00672	0.00454	0.00346	0.0028	0.0025	0.00282	0.00252
0.02478	0.0248	0.01534	0.02482	0.01536	0.0133	0.00672	0.00456	0.00344	0.00278	0.00248	0.00282	0.00252
0.02476	0.02484	0.01536	0.02476	0.01534	0.01334	0.00676	0.0045	0.00344	0.0028	0.00252	0.00278	0.0025
0.02482	0.02486	0.01528	0.02484	0.01538	0.01334	0.00672	0.00454	0.00348	0.0028	0.00248	0.00282	0.00248
0.02476	0.02488	0.01528	0.0249	0.01532	0.01336	0.00678	0.00456	0.00348	0.0028	0.0025	0.0028	0.0025
0.02482	0.02478	0.01536	0.02488	0.0154	0.01332	0.0067	0.00454	0.00348	0.00282	0.0025	0.00278	0.00246
0.02474	0.02482	0.01538	0.02484	0.01532	0.0133	0.0067	0.00456	0.00348	0.00282	0.0025	0.00278	0.00248
0.02472	0.02474	0.01532	0.02478	0.01534	0.01328	0.00676	0.00452	0.00346	0.0028	0.00254	0.0028	0.00252
0.0248	0.0248	0.01534	0.0248	0.0154	0.0133	0.00672	0.00454	0.00346	0.00274	0.0025	0.0028	0.00248
0.02478	0.02484	0.0153	0.0248	0.01534	0.01336	0.00672	0.00454	0.00346	0.0028	0.0025	0.0028	0.00246
0.02476	0.02478	0.0153	0.02482	0.01542	0.01332	0.00668	0.00452	0.00344	0.00282	0.00248	0.00282	0.00246
0.02478	0.02486	0.01528	0.02482	0.01542	0.0133	0.00678	0.00456	0.00344	0.00278	0.0025	0.0028	0.0025
0.02472	0.02482	0.01534	0.02482	0.0153	0.01334	0.00674	0.00454	0.00344	0.00282	0.00248	0.00278	0.0025
0.02476	0.02486	0.0153	0.02486	0.01544	0.01328	0.00668	0.00452	0.00346	0.0028	0.00248	0.0028	0.00252
0.02474	0.02482	0.01528	0.02482	0.01534	0.0134	0.00676	0.00454	0.00346	0.0028	0.00246	0.0028	0.0025
0.02474	0.02484	0.01534	0.0248	0.0153	0.01332	0.00674	0.00452	0.00346	0.00276	0.00248	0.0028	0.0025
0.02474	0.02478	0.0154	0.0248	0.01538	0.01334	0.00674	0.00452	0.00346	0.00282	0.00246	0.0028	0.0025
