16_no_PLL	16_RANGE2	26_RANGE2	16	26	30	60	90	120	150	170	150_BOOST	170_BOOST
2282.8273707195135	2633.944694242329	3951.011508744797	3160.4024365699	4760.357771026955	5400.984804221342	9524.650211575665	13456.52539583179	17465.147172442135	21448.529752573573	23878.194518008473	22499.395139289623	25606.43826500844
2330.589955559636	2673.867247059349	3965.671656846332	3174.7200328451363	4756.570363947586	5419.281990297379	9418.14240955171	13458.274339846042	17570.24089742151	21642.160046008205	24020.553654075688	22957.677107590895	25796.732695206352
2314.682635996077	2678.8653699322836	3986.4437683190595	3192.0212332242922	4777.542349337195	5438.644655289188	9455.632252298343	13476.067305730543	17670.18156231574	21360.12279626095	24544.87482706706	23091.825820107497	25772.2658988757
2307.5819428706704	2666.0357040893236	3955.521397084497	3174.5175778607786	4753.444911716701	5419.364696146974	9387.578174566766	13515.000073414929	17611.47379875183	21539.4166799692	24223.492063325026	23134.70476456271	25993.955546411973
2320.2269676953633	2642.488479614258	3965.4309371055665	3162.844797198692	4757.419666210255	5419.692809175448	9412.440524739064	13454.061158945862	17590.50488471985	21487.45610163762	24090.60934315557	23019.369258437047	25650.19413576288
2296.85234301018	2652.5456151920994	3974.513423143987	3164.0046184149733	4773.909045803932	5441.958376587111	9445.2576759534	13422.242838059556	17437.469959259033	21407.476818288556	23909.609893272664	22948.25779572698	25684.488230738145
2328.75635879675	2679.0850938035046	3976.851284336977	3185.7189161952956	4759.709818379863	5427.234199782758	9422.95110678371	13390.176701095868	17666.276895774987	21348.857140356256	24257.626740828804	23184.342817826706	25859.82461260934
2310.9331817494613	2662.798233362503	3971.4057238495984	3159.801027766561	4763.037674910539	5421.002194812443	9444.570845099772	13524.394464718787	17614.2106145065	21709.266075721152	23916.85288527916	23006.635767812946	25761.5227984567
2301.616453648854	2662.462516395615	3969.3443468829105	3161.7158011994147	4786.725816779963	5455.818973553526	9480.963880642534	13466.123124243508	17533.52739796135	21620.30971411503	24093.693138187766	22951.999693426467	25828.871233709928
2319.978325913995	2675.721389612112	3966.242241459852	3164.1881703298327	4750.365839548336	5420.991462143288	9410.970173184834	13596.991227136405	17544.073561217887	21668.947660006008	23844.064292261155	23054.448209067647	25645.141927605
