16_no_PLL	16_RANGE2	26_RANGE2	16	26	30	60	90	120	150	170	150_BOOST	170_BOOST
2074.7237217163984	2422.0414277983873	3612.179666551237	2884.503549257527	4327.61541687616	4901.378735865982	8453.740253707403	12220.436912715235	15886.86377601286	19359.666368235714	21727.95498009884	20813.558412634808	23454.54766883613
2073.479865304556	2421.482661062803	3614.2194847716983	2882.658597821496	4323.8435540006285	4895.356147800951	8418.708904835972	12252.45440447772	16019.532945421008	19586.758060349945	21846.80031567085	20934.646898280076	23456.632355113088
2075.267056806372	2421.2126763875053	3611.0459051857106	2884.934630751828	4324.473012792002	4895.908685914476	8430.625846326486	12201.257827707414	15959.537134761304	19522.93126479439	21941.010544939738	21088.891993454898	23454.683798330803
2074.0809458079357	2420.023745759115	3612.3987482189546	2884.202064574674	4327.330193500745	4899.803671399437	8437.574993480335	12196.95686493944	15927.708943684896	19421.864077041708	21905.477792938793	21004.786256883966	23448.803673492617
2074.534448279518	2419.246084208616	3613.815948426017	2883.679268195561	4321.220956381657	4901.88707375608	8434.645191037278	12219.733039804752	15897.652932575771	19481.48696148982	21881.40963330681	20935.226272750686	23463.851835098736
2073.307735163991	2419.723687628699	3614.822945025219	2884.8199762849727	4324.413615570971	4902.997698102678	8418.078904741265	12222.177653200297	15986.88564469329	19421.110982480255	21722.151909345463	20993.42968152917	23380.96993101155
2073.3730197316927	2419.419404937	3613.2870984478354	2883.6434755913	4320.9036230686515	4901.570623571222	8438.35736180211	12201.427613328768	15998.072328820694	19414.430079252823	21843.99906892954	20926.56984434023	23412.553275503764
2072.4889552140908	2420.0935503502033	3612.915988967353	2882.201837128466	4324.509692286314	4903.675343473436	8441.540572020385	12213.519414265951	15931.452948616465	19566.582596820335	21825.737094286807	20810.726561832947	23475.693778757668
2073.4586581706126	2419.009723000814	3613.898255543855	2883.7808748570883	4321.158639055938	4899.626595633371	8446.148771195594	12201.532472336172	15917.748476551697	19521.03730086442	21930.94616287325	21045.831533578727	23538.413954658743
2072.3249569580826	2420.0099644826782	3612.5286459335553	2882.796085383299	4321.643418879758	4901.304451136323	8445.108288269736	12235.544823311471	15945.53293134065	19471.82514628426	21867.430283248057	20880.63214276288	23399.981056771627
2075.0729718729717	2420.672556249107	3613.926205239277	2882.576337887646	4327.410878106937	4902.98445366289	8430.283348839563	12216.164271036783	15917.59999593099	19473.99844294009	21849.905572286465	20877.3250165193	23402.150472005207
2075.2145845468103	2419.679010598505	3616.4622396437044	2884.489505155702	4323.961239049931	4901.916469068832	8439.475839788263	12213.787245830703	15930.331913770828	19469.109210339222	21765.34617605385	21036.580612099235	23469.603134810557
2074.078134533252	2420.212452989151	3610.362422901692	2883.548271365282	4325.411579396465	4897.753035560556	8449.737842266377	12215.438893806177	15940.5517578125	19365.43438885663	21825.490174470124	20821.659461311672	23485.928046994093
2073.426786183582	2421.655229627904	3612.1485377159834	2885.256879709811	4325.266063272188	4898.832048688616	8437.463756050924	12239.161753814493	15885.104120305154	19471.132433092273	21839.995443085092	20949.770192630956	23386.96682091915
2073.3764071228884	2420.5837806645973	3615.6758223429765	2884.0885336275883	4326.308162700529	4898.882995952259	8430.647094864651	12195.861459177075	15911.755032009549	19481.638090206627	21850.44465241609	20865.96385292385	23601.33890725352
2073.7202340826875	2420.6472808057297	3614.983930521868	2884.1051201582245	4324.543040690747	4896.281115431021	8442.872250241931	12220.833925592819	15917.922125922309	19513.08328597272	21769.76350187524	20940.85796459301	23584.09085888073
2074.316836219545	2421.3214848665584	3614.13823757247	2883.5058936956807	4323.360356331815	4902.324219793931	8437.98708753521	12180.353971135697	15958.917405870227	19509.462209848258	21896.08562139817	20936.831184055492	23611.89877545392
2074.013269013141	2420.9406317734138	3614.317179905319	2883.340672748845	4322.537337199296	4897.947463467887	8420.90745091168	12225.791111888502	15931.414706366402	19453.642798251793	21851.533724937908	20936.784536942192	23322.2798603337
2074.5265170722455	2421.422094778634	3613.0416569451395	2884.479613475788	4322.80003729725	4898.598691620604	8430.034190684826	12222.80876056568	15915.490884696488	19578.52202035039	21865.5209482452	20937.893701636272	23457.48006561656
2075.619102981679	2420.895560766736	3615.8296797010635	2884.709936940772	4323.790165548637	4899.137096317936	8436.579282591943	12200.276056925455	15983.827379014758	19565.952280180052	21775.321262638743	20927.201146664826	23540.779396339698
2075.7016056539087	2421.202677073496	3614.1313501918353	2883.473886529459	4321.059690633781	4898.682118004635	8449.302570007187	12219.361810876218	15925.972862581237	19465.472672011827	21720.88045062441	20976.42290723193	23393.917668816503
2075.472204492844	2421.0412327836198	3615.397273904026	2884.286558533645	4324.1656015789695	4898.946579188517	8432.04739946046	12221.410218312683	15925.382090880808	19563.313368912583	21846.88754198028	20936.417323286816	23421.29923814645
2075.476762725086	2421.104617235137	3614.641674430387	2884.675937643261	4325.254836885056	4899.4887958873405	8427.193686870634	12226.249232436672	15917.457272653623	19437.565829584506	21931.40983581543	20930.868680359887	23467.941981990163
2074.7805195169326	2421.23694119835	3614.2848608062022	2881.289983989264	4323.3863921033535	4903.695910796946	8442.371679107528	12208.148137034987	15918.345178276431	19468.050736647387	21725.752859404594	20856.680114412567	23312.469201585267
2075.427460743382	2421.7103718255757	3611.540134716411	2884.3620770438697	4321.552548012714	4899.304114061499	8440.467627807342	12202.725362618232	15944.947230133192	19530.394270613386	21912.8190017328	20815.864853236988	23446.677643575786
2073.110170061256	2421.0443135728474	3617.1864943414544	2883.0926157602394	4325.735450971245	4899.5469287972355	8417.843693521767	12231.614854600695	15889.54334765409	19430.989804475204	21934.201077717105	20946.940437692112	23547.967274983723
2074.092899987457	2420.3352261927885	3614.4510779423163	2883.185384325993	4322.61818729679	4899.828914082498	8437.978437428032	12199.043427537752	15930.943784460556	19361.851666424725	21860.913532536204	20821.55588510874	23320.215611370062
2074.779100114967	2419.9191937728797	3612.9569441345398	2882.94235768475	4326.895614112387	4901.453784611672	8436.05561689897	12183.783849080404	15963.398249803391	19469.701725503674	21877.16519391095	20955.529084076752	23388.67765484434
2074.6873076106253	2420.823748518781	3614.3578758126773	2882.444523775243	4324.817845943888	4902.761276454142	8426.413816564223	12268.361820516362	15894.71260003284	19527.586431451182	21976.50648792338	20948.33228899085	23485.393058962938
2074.0676609898137	2419.1891921316624	3615.737079044203	2883.150519394293	4325.2469524077915	4902.4301672307665	8426.378439138602	12199.639471291694	15925.102233886719	19414.595935655678	21711.145959249356	20856.018904801254	23452.64693837107
2073.569585812972	2419.025178939577	3615.614214707553	2884.1364833817847	4322.4340376585105	4901.342740341953	8429.037558065878	12199.395454969983	15930.461032049996	19499.90246746991	21840.936648919716	20955.23087874703	23473.344198087365
2073.9453283654075	2420.265984433391	3614.9020246888717	2884.2554342914223	4324.967574320836	4903.567980413568	8447.25009003376	12195.55835595867	15986.76187651498	19355.784291806427	21776.04628197941	20874.256673066513	23468.133879870904
