16_no_PLL	16_RANGE2	26_RANGE2	16	26	30	60	90	120	150	170	150_BOOST	170_BOOST
2657.99612688595	3002.1435562617303	4281.101030172761	3631.438251084028	5488.812067862333	6215.715146326756	10886.268093161387	14650.970592833402	19134.99390637433	21896.33822200274	24620.584760393416	23639.49684641469	26352.15247809554
2659.723008577017	3003.2457020889788	4280.018855414107	3629.0652978569597	5491.477408283335	6208.9878066533865	10896.852571670323	14644.676155143685	19197.526672076732	21754.060811664334	24358.345290361824	23534.039359780687	26107.223340252924
2658.104050088916	3001.5431646931215	4279.419227882668	3631.7354819271027	5485.018521654136	6214.317868235355	10897.649441911875	14629.347341043966	19059.06747240539	21774.22046661377	24466.34755969721	23461.813926696777	26278.73688601376
2660.435098440536	3002.3497409046354	4281.359935493626	3629.888555660459	5487.530783423376	6214.574143126771	10879.776458324464	14642.926266318873	19095.91745121688	21680.30050856557	24373.388290405273	23423.39789513314	26195.366289362562
2661.2627435718064	3003.1021500477127	4278.804346458199	3631.6044656113063	5491.679300091224	6217.058422496018	10878.824207880725	14654.139468544408	19068.87544404476	21721.962654944695	24393.52919935514	23504.347350466905	26306.205920958786
2659.436513686321	3003.15980714331	4277.151798515163	3630.1933564878973	5484.340581130526	6210.794790388795	10870.83685888003	14671.46906819377	19076.91345911592	21817.492015326203	24432.171596569962	23418.062984353244	26268.32865052304
2659.347224499467	3004.8263301877537	4279.922900503421	3632.2257015166288	5489.559901927138	6211.99083852244	10885.55914456727	14671.480151968943	19065.274132622613	21752.751288722404	24421.952956215628	23443.625341007366	26284.68120165464
2660.589225188239	3003.39088834371	4279.710436999121	3631.4200651161786	5484.582133048182	6212.322508336427	10903.03014536373	14649.254458767551	19054.254628546227	21938.83452752624	24380.20439787284	23459.306403772156	26229.761959461684
2661.300941749855	3003.99110732177	4276.083132019986	3632.097096678608	5488.276623375492	6219.224184138294	10886.370169149863	14653.553879051879	19055.81478699012	21715.206886405376	24496.30478681144	23501.96361541748	26291.63530137804
2659.2514026808194	3002.5012719780534	4277.962678756558	3632.9438325663773	5485.388384987993	6209.399710003251	10887.553593883777	14665.237614806269	19039.33863486013	21748.495574044708	24379.573972885217	23445.019721984863	26233.96979437934
2659.4609946584774	3002.1141557132496	4280.853075658027	3632.03946860643	5486.758056859128	6215.709728547411	10896.384716033936	14631.594811286126	19086.581689340095	21743.03424892141	24451.1915056893	23405.84845092166	26043.01366428871
2660.728753892516	3002.0801783487805	4277.532839921955	3631.547423550086	5488.7044997442335	6215.475940310807	10889.42234132855	14640.583908348754	19008.58790786178	21837.78487627779	24457.862257291486	23377.976417541504	26256.50770208809
2659.70103134065	3002.175181423291	4278.1289647708345	3631.6691598357706	5484.44054755349	6211.527779739422	10869.302384840335	14658.937991504938	19030.348162784754	21814.01893274108	24478.79514214713	23431.18961770736	26205.20834195412
2659.308478004574	3001.9343163449444	4279.820238893236	3630.5190893536655	5487.6907020094295	6206.439192239476	10881.77571531202	14637.511781699151	19022.94158935547	21708.276012156268	24372.218699937457	23503.768503369385	26130.713356865777
2660.286514847367	3000.657173668363	4281.6654138672875	3633.821266101011	5488.950099671286	6219.613683092725	10895.752580198523	14652.08937482136	19022.43826124403	21701.993942260742	24500.81992284053	23346.121948544343	26178.407935456857
2660.0066156055555	3001.639902855832	4281.564814145448	3634.952195814124	5491.410900732714	6216.506273048359	10874.315448429274	14657.813624331826	19072.445160752042	21768.717030387612	24451.405814524445	23446.339279858035	26208.529311619448
2659.4778946114857	3002.16181767744	4281.657786408732	3632.2369709324803	5490.813569394414	6211.310911243999	10891.258553282856	14669.62174102143	19159.961754167583	21817.254782909185	24498.739025809547	23464.83551629699	26345.242394341363
2658.9399258765948	3002.227321157075	4284.190249467558	3632.1548518219556	5489.000710107947	6211.871130102439	10883.756305860437	14646.277610433226	19018.441301337036	21765.982750618812	24357.988593283662	23394.931015090562	26296.567650480643
2660.851988845206	3001.9895165367466	4281.886582522048	3630.8373032460795	5490.2803059556345	6219.375873434133	10888.244794762653	14682.763082939282	19131.651671800744	21758.3958465274	24469.375610351562	23564.10503387451	26215.772950247432
2660.8563667742833	3001.102492587429	4279.767549954928	3631.7952004745875	5493.398778042628	6219.281966364417	10891.363872745173	14673.48065292626	19011.61561318494	21757.514915656095	24389.484193589953	23494.56710432043	26111.147376928435
2658.829907370811	3003.1274501769612	4276.865536404639	3630.3347767059213	5492.765937695663	6218.525332196028	10869.499123388805	14696.33612834232	19085.257141678423	21770.37815056225	24288.731580339998	23386.759757995605	26274.77753028441
2658.8538621675502	3001.3177110450083	4278.611303723484	3630.5706057928305	5497.889085249467	6215.029839970192	10901.396540919832	14672.75619506836	19023.877765060566	21944.267581207583	24385.03137513912	23444.530352875216	26204.934999263485
2659.4828359291873	3001.724096553377	4277.667510203826	3629.428962060006	5492.627763633819	6216.917484588203	10878.357640404143	14677.76382178591	19061.736010630197	21805.176734924316	24380.555313624693	23509.4525920811	26187.248444289304
2660.106892258961	3003.1457598358943	4283.268918696138	3631.7918290063585	5491.470664668482	6219.854670993531	10868.036129818951	14671.924657988966	19011.998506185646	21780.578651238437	24354.10888501386	23317.28982453299	26214.18706486734
2660.1402299631463	3002.757251922495	4278.614244137614	3631.542529567141	5492.735252105933	6213.640806933326	10884.173538373865	14694.657359089884	19094.664929649247	21817.445755004883	24379.223753503487	23518.376350402832	26194.60974325681
2660.1809667626667	3002.3417406075127	4279.606640950855	3633.8975068827835	5489.284341985529	6218.848562962087	10890.353572824613	14675.461618523848	19055.741804617424	21815.88649749756	24367.568198214754	23379.847778016654	26203.733020358617
2658.89196000861	3002.571954291769	4278.907268293804	3631.249794377143	5487.402137747233	6218.416937466325	10893.085728520933	14704.564722572884	19096.232569494914	21640.459696451824	24268.73105864285	23439.2412859409	26224.589214644617
2659.3391440995865	3003.8901284634408	4277.954888098018	3630.252429919929	5488.031251089914	6215.618206904484	10888.260781602574	14643.339010385367	19031.538027469243	21755.33237741954	24357.188347331637	23326.954438318662	26200.612386067707
