16_no_PLL	16_RANGE2	26_RANGE2	16	26	30	60	90	120	150	170	150_BOOST	170_BOOST
567.2284507751465	652.9365539550781	604.7390365600587	939.3217391967773	872.9147872924804	859.187873840332	753.7711944580078	735.6696395874023	727.6717071533203	723.8595199584961	721.0652618408203	828.3016601562501	825.945166015625
567.6600074768066	653.1157302856445	605.0810623168945	939.2067260742188	872.2182083129882	860.7568359375001	753.3548355102539	736.4941864013672	728.1710586547849	723.2261581420898	721.8851165771483	830.2441650390625	828.1835693359376
567.2049713134766	653.4502601623534	604.5296287536621	939.3301849365234	872.4688796997071	860.4350509643554	754.0079956054686	737.4885864257812	726.8597259521483	721.9501876831054	720.5661163330078	829.841015625	829.0193359375002
566.5849304199219	652.9975509643555	605.130500793457	939.0544967651367	872.5216827392578	859.9476928710938	754.5927886962891	737.2925033569335	728.9105300903319	722.43985748291	720.5783843994141	829.0398681640626	827.2883544921875
567.2745132446288	653.2532119750977	604.0594291687012	938.7018127441405	872.743812561035	860.508201599121	755.6040115356445	736.3741378784181	726.9629745483398	723.1670379638672	721.2330322265624	831.0519287109375	829.3620361328126
567.8122901916504	653.5543632507324	604.657382965088	937.974380493164	873.6943359375	860.999382019043	754.9912948608398	737.1938323974609	730.0507736206055	723.2951889038087	721.8902435302733	830.677294921875	825.803369140625
567.1245193481445	653.1665992736816	604.6591758728027	939.7470016479492	871.9375076293945	860.7832031249999	754.492332458496	737.2150726318359	727.8958053588867	723.2470092773438	722.4062576293945	830.291943359375	827.1845703125001
567.5851440429688	652.8253746032715	604.5769119262695	939.7833938598632	872.646011352539	861.1034545898438	753.7998962402343	737.5066680908202	727.1699295043944	724.2581634521484	723.6078414916992	832.1253662109374	827.906005859375
567.5129699707032	653.0521965026855	604.9213981628418	938.320083618164	873.6359252929686	860.19229888916	754.5004577636719	737.6417083740233	730.0965728759767	722.3702316284177	720.3483123779297	829.4813964843751	827.8280029296876
567.2252655029297	652.7609252929688	605.0916290283203	938.4580307006836	872.3296966552736	861.3446044921875	754.5773849487306	736.7470779418945	726.6375503540039	722.5123901367188	722.9574279785156	830.9954589843751	829.0903076171874
567.4361038208008	652.6540184020996	604.0616607666017	939.4313507080078	871.6645202636719	860.3806915283203	754.2915802001953	735.0004348754883	727.1920623779297	724.4940490722657	721.4366912841797	831.15810546875	827.0852783203125
567.016143798828	653.2705307006836	604.0107154846191	939.3808822631836	873.5048446655273	860.2604370117188	753.8772811889648	736.199935913086	727.5779342651367	722.0481491088866	719.6414337158202	829.6240966796876	827.4700683593751
566.6684341430664	653.5048294067383	604.7868728637695	939.1811370849609	873.9398574829102	860.3319854736327	754.3333053588867	736.7514724731444	727.8767166137694	721.5356369018554	721.237060546875	829.96611328125	827.1058837890625
567.3221206665039	652.8830528259277	605.2810478210449	939.030647277832	872.9855346679685	860.1129226684569	755.2387390136718	736.8343505859375	727.5937957763672	721.0322113037109	719.4892959594727	829.609423828125	830.3566162109377
567.6336288452147	653.1175994873046	604.8523712158203	939.4552688598632	872.8759002685547	860.1939468383787	754.3067092895508	736.5837478637695	726.9939651489258	722.1183700561523	721.5100708007811	828.4095703125	826.4120605468751
566.9974517822266	653.501968383789	604.7698593139648	938.8851242065429	872.2310485839843	861.0173721313475	755.3540954589844	737.5898208618163	727.645751953125	724.9002685546874	720.0328216552734	828.42314453125	826.2312988281251
566.9133758544922	652.9460716247559	604.8808479309082	938.9591903686522	872.7241744995117	861.070083618164	754.9430923461914	736.9370727539062	726.9644393920898	724.2853317260742	721.4263458251952	831.2015380859375	829.2882568359377
567.8984642028809	653.6493873596191	605.1736259460449	938.1757049560547	873.5706253051757	860.2255783081054	754.7960815429688	735.9428787231445	727.36083984375	721.6272811889648	720.0448379516602	831.5383544921876	824.2537353515625
567.2993278503418	653.1669044494629	604.9373626708984	938.95255279541	872.6194839477539	860.2135848999023	753.6918182373047	737.1511688232422	727.4547271728516	724.4261627197266	722.315185546875	831.496142578125	826.1109375000001
567.1891021728517	653.4387397766113	604.7083473205565	938.3197174072267	873.1747055053711	859.5529174804688	754.6227722167969	738.5519027709961	726.6133346557618	722.4271316528319	720.5828018188475	829.38671875	826.5294189453125
