16_no_PLL	16_RANGE2	26_RANGE2	16	26	30	60	90	120	150	170	150_BOOST	170_BOOST
0.4312	0.43134	0.26522	0.43154	0.2657	0.22994	0.1151	0.0769	0.05762	0.04622	0.04078	0.0462	0.04072
0.4314	0.43112	0.26534	0.43136	0.26558	0.23002	0.11516	0.07672	0.05768	0.0462	0.04078	0.04616	0.04076
0.43148	0.43118	0.26502	0.43158	0.26576	0.23028	0.11508	0.07678	0.05766	0.04616	0.04084	0.04618	0.04076
0.43132	0.43138	0.26502	0.43118	0.2656	0.22998	0.11504	0.0767	0.05754	0.04626	0.04072	0.04622	0.04076
0.43132	0.43118	0.26514	0.43114	0.26546	0.23028	0.11514	0.07674	0.0575	0.04614	0.04076	0.04608	0.04076
0.43142	0.43158	0.2653	0.43156	0.26576	0.23	0.11494	0.0766	0.05756	0.04616	0.04082	0.0461	0.0408
0.43102	0.4312	0.26506	0.43128	0.26588	0.22988	0.11514	0.07678	0.0576	0.04632	0.04088	0.04618	0.04074
0.4313	0.4313	0.2653	0.4316	0.2658	0.23006	0.11504	0.0768	0.05766	0.04618	0.04074	0.04614	0.04078
0.43106	0.43106	0.2653	0.4311	0.2656	0.23004	0.11502	0.07684	0.05752	0.04626	0.04078	0.04624	0.04074
0.43122	0.43142	0.26528	0.43146	0.26548	0.23006	0.1153	0.07676	0.05764	0.04622	0.04076	0.04626	0.04078
0.43142	0.43134	0.26544	0.4314	0.26572	0.23036	0.11506	0.07678	0.05758	0.04624	0.04072	0.04616	0.04072
0.4312	0.43126	0.26524	0.43144	0.26562	0.23006	0.11516	0.07668	0.05754	0.04612	0.0408	0.04628	0.0408
0.4314	0.4314	0.26524	0.43136	0.26564	0.23012	0.11516	0.0768	0.05756	0.04618	0.04076	0.04626	0.04074
0.43154	0.43148	0.26526	0.43118	0.26568	0.23026	0.11502	0.0767	0.05758	0.04616	0.04074	0.04614	0.04082
0.43132	0.43134	0.26536	0.43152	0.26546	0.22994	0.11512	0.07682	0.0576	0.04616	0.04088	0.0462	0.04082
0.43122	0.43098	0.26516	0.4313	0.26556	0.23	0.11524	0.07686	0.05756	0.0461	0.04082	0.04618	0.0408
0.43136	0.43174	0.26516	0.43158	0.26552	0.22984	0.11498	0.07674	0.05756	0.0461	0.04072	0.04616	0.04084
0.43126	0.43096	0.26524	0.43122	0.26554	0.23024	0.11502	0.07668	0.0576	0.04614	0.04076	0.0462	0.04076
0.43156	0.4312	0.26532	0.43148	0.26558	0.22998	0.1149	0.07666	0.05758	0.04616	0.04078	0.04616	0.04082
0.4312	0.43108	0.26514	0.43132	0.26552	0.23028	0.1151	0.07678	0.05764	0.04618	0.04076	0.04616	0.04072
