16_no_PLL	16_RANGE2	26_RANGE2	16	26	30	60	90	120	150	170	150_BOOST	170_BOOST
3093.040523366732	3433.315912008859	4622.38385972187	4159.44529283591	6372.091827350027	7233.112488334148	12912.96705819837	16239.01466102987	21280.94070785874	22987.195390246452	25922.59490086645	24808.797224195256	27898.48501032049
3092.885888283684	3433.5996606487297	4624.213380054475	4159.547684989025	6373.477504833037	7231.99290594181	12913.131344464611	16237.229556292743	21275.125108323657	22957.24768191576	25883.935003248887	24781.13697511559	27886.678428036335
3094.12022243772	3434.262689641161	4621.480755184008	4159.670616004218	6372.951205356071	7234.471886678427	12906.299423925655	16232.21637162442	21268.375873565674	22950.626643770775	25886.272087478214	24784.355406548566	27883.522809705002
3093.768256379092	3433.4945777188623	4619.984481143195	4159.587840135185	6372.948587439967	7235.229937071653	12906.131235513225	16233.180020306561	21273.290949979386	22964.28531116702	25877.03956190006	24773.12391433305	27877.437566177807
3092.8854581895375	3433.072691994966	4620.308039444761	4159.48384445517	6371.368769074445	7235.8303407923995	12905.85758449795	16239.3553472756	21270.78344012094	22955.50598817713	25877.57827564786	24767.628387928944	27882.7927808846
3093.41791624664	3434.554433072256	4621.259647866954	4158.904140588088	6371.9063689341865	7233.1889785086305	12911.040260356685	16241.628245303506	21275.178396409312	22961.055613638255	25878.19984414901	24785.251972374088	27887.011339602446
3093.0271539141795	3432.5502088945277	4622.822740803595	4159.4491801923805	6373.523966755423	7234.5756685610895	12910.905920406221	16240.857059794262	21278.423351329846	22963.77044036358	25886.90166928275	24773.740628323754	27901.023378662787
3093.009721712021	3431.9731706681764	4622.523100551948	4159.487324249378	6372.482781963689	7236.24044968035	12907.053367631936	16234.415827881043	21273.35023880005	22957.39043906193	25876.028301050712	24780.402211527067	27877.077311772446
3092.935040157141	3432.586757118702	4622.362311745084	4159.9126332819205	6373.120179594329	7234.464552688722	12908.65639269083	16240.896138929784	21274.74343370579	22961.91278969005	25891.04089710521	24783.503519345635	27892.26250431514
3092.6751265703488	3432.1488343701894	4621.295651326665	4159.098502749176	6373.1693010101235	7233.723523571546	12912.395417133941	16239.182387290704	21283.8563747062	22963.15454969219	25894.438119933642	24768.07014614928	27877.996766996515
3094.7286516025224	3431.4929967407184	4621.255822434413	4159.296994112176	6371.5898278437135	7233.394753708247	12905.95834961331	16238.909032808759	21277.60789149387	22974.71302311595	25891.65456158661	24782.084252840148	27877.798640186735
3093.671593702977	3431.9914859473847	4620.812485847593	4159.009075787255	6373.485606192345	7234.334638636111	12913.547940816099	16231.913240086862	21273.93373139986	22973.41911103057	25897.21151336078	24776.97340678515	27884.333119151728
3093.9803662229124	3432.8486428468977	4620.028174304361	4158.31774641796	6374.317996665661	7233.357598595585	12913.083078319307	16235.922691517306	21275.913435080576	22975.581799776486	25889.11093421375	24770.36867506007	27886.12183667182
3093.557280627313	3432.0517616062084	4622.386673749504	4158.433709755586	6375.239108538966	7232.148315488677	12909.70438154605	16243.52396677741	21274.010977429713	22960.645629138482	25883.935338301624	24767.65555682567	27876.21551530598
3094.193900751746	3434.101302953564	4621.449687570285	4157.261258548068	6375.031528574214	7233.997966424926	12907.161890903366	16241.820258606278	21270.518896283058	22963.590584622438	25889.24767237951	24766.862275782398	27877.26386943527
3093.80213255608	3433.5969043665755	4621.688194681516	4158.0421218544625	6374.642673670529	7233.576257396903	12909.159289995318	16239.380415695483	21277.02943571321	22966.62819094774	25881.086907735684	24768.778047818134	27882.82812169168
3093.8788249240824	3433.0231158785623	4623.548272799367	4160.098126586211	6373.103735099097	7231.951949486272	12903.384216662307	16242.810069484696	21275.113105773926	22965.474138054597	25888.270750600546	24767.359466627277	27885.43119985311
3094.7680651998144	3432.793044617649	4624.219378937581	4159.614040283266	6374.453419564306	7232.681541270706	12903.340124830369	16244.002392417506	21287.01503717368	22962.32359883367	25886.201884967384	24767.548604020867	27903.621354105733
3093.8796990510778	3432.8108804589942	4622.795251891133	4159.765268922272	6375.510034499939	7233.794076980092	12905.885388258386	16246.996559776224	21281.825463414847	22964.665942203737	25871.576988591558	24787.60032243626	27894.13327319187
3093.600723906537	3432.35624764862	4622.225059496845	4158.603398519922	6372.39331790246	7235.6602093120955	12906.220936107606	16248.061714402163	21275.763043420826	22968.742478850305	25885.32955807573	24776.260622688977	27867.560769712494
