16_no_PLL	16_RANGE2	26_RANGE2	16	26	30	60	90	120	150	170	150_BOOST	170_BOOST
0.23266	0.2326	0.16862	0.23286	0.1432	0.12422	0.06206	0.04876	0.03668	0.03726	0.03288	0.03724	0.03292
0.23258	0.23252	0.16864	0.23296	0.14322	0.12432	0.06198	0.04874	0.03672	0.0373	0.03292	0.03724	0.0329
0.23258	0.23266	0.16844	0.23288	0.14326	0.12396	0.0621	0.04876	0.03666	0.03726	0.03292	0.03736	0.0329
0.23256	0.2326	0.16844	0.233	0.14294	0.1241	0.06218	0.0488	0.03672	0.03742	0.03296	0.03728	0.0329
0.23254	0.23242	0.1685	0.23316	0.14326	0.12418	0.06208	0.0488	0.03666	0.0373	0.03292	0.03724	0.03286
0.23256	0.23254	0.16884	0.23274	0.1434	0.12414	0.06202	0.04878	0.03664	0.03722	0.03288	0.0373	0.03286
0.2326	0.2327	0.1687	0.23298	0.14336	0.1243	0.06208	0.04882	0.0367	0.0372	0.03288	0.03724	0.03288
0.23258	0.23256	0.1689	0.2329	0.14336	0.12422	0.06206	0.04876	0.03678	0.03736	0.03304	0.03728	0.03292
0.23276	0.2325	0.16864	0.23282	0.14332	0.12404	0.06204	0.04892	0.03668	0.03724	0.03288	0.03724	0.0331
0.23266	0.23274	0.16866	0.23274	0.14302	0.12436	0.06216	0.0488	0.03658	0.03728	0.03292	0.03726	0.03296
0.23256	0.23268	0.1685	0.23272	0.1433	0.1242	0.06204	0.04882	0.03664	0.03732	0.03304	0.03732	0.03298
0.23244	0.23264	0.16864	0.23258	0.14366	0.12424	0.06206	0.04876	0.03662	0.03726	0.0329	0.03726	0.03286
0.23266	0.23244	0.16866	0.23296	0.14314	0.12406	0.06214	0.04886	0.03662	0.03736	0.03296	0.03726	0.03292
0.2324	0.23252	0.16868	0.23318	0.1432	0.12414	0.06204	0.04878	0.0367	0.03722	0.03288	0.03726	0.0329
0.23248	0.23296	0.16872	0.23262	0.14322	0.12424	0.06208	0.0488	0.03662	0.0373	0.03288	0.0373	0.03292
0.2326	0.23264	0.1687	0.23294	0.14332	0.1241	0.06212	0.04884	0.03666	0.03726	0.03288	0.03732	0.033
0.23262	0.23254	0.16874	0.23294	0.14316	0.12402	0.06202	0.04884	0.03676	0.03738	0.03292	0.03728	0.0329
0.23244	0.23274	0.16868	0.2328	0.1431	0.12426	0.06202	0.0488	0.03668	0.0374	0.03294	0.03734	0.03296
0.23244	0.23274	0.16862	0.23294	0.14312	0.1242	0.06212	0.04876	0.03674	0.0373	0.03302	0.03748	0.03294
0.23268	0.23244	0.16872	0.23282	0.14348	0.12408	0.062	0.04874	0.03664	0.03738	0.03294	0.03726	0.03294
