16_no_PLL	16_RANGE2	26_RANGE2	16	26	30	60	90	120	150	170	150_BOOST	170_BOOST
605.7342720031738	686.8821716308594	658.7195587158204	979.9395217895508	929.8687591552736	915.6231994628906	816.4954605102538	833.6265563964845	799.5133438110353	804.9296493530273	799.5024490356444	921.6366943359375	916.454296875
612.6875877380371	689.0700721740723	654.3008422851561	987.5818405151366	926.718132019043	915.1020126342773	811.8258132934569	810.3321075439453	803.4529266357422	801.4554977416991	798.5178680419921	924.8670166015625	914.31044921875
612.8123092651367	693.0495643615723	651.943359375	983.5961151123047	929.8303985595702	914.7923126220703	813.4756393432616	814.0431518554686	814.2929534912108	797.1251220703126	798.5627517700194	926.8259033203126	914.7255371093751
605.2468299865723	690.2508926391603	659.8575019836426	989.7454147338865	931.3268737792968	919.9228591918945	816.7898712158203	815.189483642578	811.3075790405272	802.6949157714844	800.2042694091797	930.9052246093751	918.2096435546874
608.9866828918457	691.3242912292482	658.9580726623535	993.3685455322266	932.236976623535	920.425552368164	817.8802642822266	812.2131958007812	817.9433212280275	811.4740219116211	808.4269638061523	922.0257324218751	926.6983154296875
608.0601692199708	686.6691589355469	657.1371269226074	979.5597381591797	927.6208877563475	916.1070327758789	812.785400390625	816.9305191040039	817.4667434692382	813.1310577392577	810.4768066406249	926.1848632812502	931.786279296875
616.0504722595216	692.9363250732422	657.1383857727051	986.3679428100585	930.2450866699219	915.850685119629	815.8017654418945	811.7704238891602	809.3631591796874	802.1993179321289	805.8164520263671	920.3812255859375	922.36650390625
607.9190254211427	685.0122451782227	659.5177078247071	981.8156204223633	929.2398834228516	915.6551513671875	812.7799530029297	816.5057830810547	812.338050842285	807.4282150268555	806.9835433959961	926.081201171875	921.2065185546875
604.2510223388672	693.0359649658204	658.6143302917482	990.9739151000977	929.0808105468749	917.1410522460938	815.9978713989257	815.3514633178711	811.7192687988281	798.995475769043	794.2324447631835	921.8331542968751	911.69384765625
616.5530014038085	693.0769157409668	655.4316329956054	989.9120407104491	923.9332809448242	911.0821151733398	810.0361175537108	810.3159255981445	812.2947006225585	801.5999908447266	800.2900772094725	928.8970947265625	916.9533203125
608.795166015625	693.6291313171387	653.979663848877	980.638069152832	934.1594696044922	920.8354339599609	818.0559310913086	814.3283157348632	811.6524124145508	797.9792404174805	798.0988082885742	916.5011230468749	915.1836425781249
612.5408744812012	690.1399040222168	658.800220489502	985.9297485351562	931.0398330688477	917.1012725830077	816.0705413818359	810.9327392578125	808.4748458862304	807.9755172729491	809.5905075073241	920.4801025390625	924.6921386718751
606.9914817810059	687.9516983032227	654.4235229492188	980.2606658935545	923.2163314819335	909.1234130859375	806.5688552856445	818.4282073974608	809.2314376831055	799.3640899658203	797.2789535522461	923.1554443359375	914.499462890625
612.7489280700684	689.5950317382812	650.0149154663086	996.9185943603514	932.4027786254883	918.9228973388672	818.1298599243164	812.569221496582	808.7065887451172	798.6760253906249	802.291877746582	927.856005859375	919.275
607.744083404541	689.2495918273926	658.8224411010741	990.8741912841797	924.6607131958008	913.36669921875	811.4913024902343	810.781997680664	810.3512420654296	805.5268478393555	805.3540878295898	918.6411376953126	924.3319335937499
611.2967872619629	687.2388458251953	658.4140968322754	989.5734558105468	932.3526763916013	919.1674346923827	817.7211456298828	815.6619415283203	806.8637008666992	805.2453231811523	803.2203598022461	926.6892333984374	919.2795898437499
612.5887680053711	695.5247497558594	658.0300331115723	980.6984481811523	926.1280059814453	913.1725616455078	809.7898864746093	818.120750427246	815.7124099731446	802.7566909790039	806.429557800293	928.8883056640626	919.5273681640624
607.4275588989258	688.8818359375	657.1322059631348	991.5545425415039	920.2709884643555	906.5185775756837	805.7127685546875	810.4401397705078	808.4660568237305	810.716194152832	810.4839706420898	925.713818359375	931.0123779296875
604.9626731872559	690.5294227600099	659.258975982666	995.060577392578	935.2551727294922	922.1256637573241	819.4663009643555	818.2049560546874	805.6861953735352	806.8014678955077	802.6486816406249	923.7525634765624	921.8764404296876
601.9863319396973	691.1283493041992	657.8740692138672	994.4318618774412	922.8611755371093	908.7567901611327	809.0559997558593	813.6066513061522	818.8156356811522	799.9352416992189	798.6009063720703	920.7156982421875	914.3722412109375
