16_no_PLL	16_RANGE2	26_RANGE2	16	26	30	60	90	120	150	170	150_BOOST	170_BOOST
0.24874	0.24898	0.1736	0.24914	0.15334	0.13294	0.06646	0.05024	0.03776	0.03554	0.03136	0.03546	0.03136
0.2489	0.24894	0.17366	0.2491	0.15342	0.13292	0.06642	0.0503	0.0377	0.03554	0.03128	0.03548	0.03132
0.24906	0.2491	0.17382	0.24942	0.1532	0.13294	0.06642	0.05024	0.03772	0.03548	0.03132	0.03548	0.03136
0.24884	0.24916	0.17392	0.24924	0.15326	0.13298	0.06638	0.05018	0.03772	0.03552	0.03132	0.03548	0.03134
0.24884	0.2489	0.1735	0.24922	0.15352	0.13294	0.06648	0.05026	0.03766	0.0355	0.03132	0.03542	0.0314
0.24894	0.24894	0.17394	0.24944	0.15332	0.13292	0.06664	0.05022	0.03772	0.03548	0.03128	0.03544	0.03132
0.24888	0.2491	0.1734	0.24898	0.15326	0.13282	0.06666	0.0502	0.0377	0.03548	0.03134	0.0356	0.0313
0.2488	0.24912	0.1735	0.2489	0.15348	0.1328	0.06654	0.05028	0.03776	0.03546	0.03132	0.03546	0.03138
0.24904	0.24912	0.17368	0.24948	0.1533	0.1328	0.06642	0.05022	0.03772	0.03544	0.03134	0.03554	0.03132
0.24898	0.24912	0.1737	0.2491	0.1532	0.13286	0.06636	0.05028	0.03782	0.03552	0.03132	0.03554	0.03136
0.24894	0.2489	0.17374	0.24926	0.15334	0.13302	0.06642	0.05022	0.03768	0.0355	0.03132	0.03542	0.03138
0.24904	0.24902	0.17364	0.24916	0.15332	0.1331	0.06646	0.05022	0.03768	0.03548	0.03136	0.03546	0.0313
0.24904	0.2492	0.1737	0.24908	0.15332	0.13308	0.06644	0.05024	0.0378	0.03544	0.03136	0.03552	0.0313
0.24882	0.249	0.17388	0.24916	0.15326	0.13304	0.06642	0.05026	0.03776	0.03558	0.0314	0.03544	0.03144
0.24896	0.249	0.17366	0.24948	0.15328	0.13294	0.06636	0.05016	0.03772	0.03554	0.03132	0.03542	0.03132
0.24896	0.24906	0.17352	0.24908	0.15328	0.13268	0.0664	0.05016	0.03766	0.03548	0.03136	0.03544	0.03134
0.24882	0.24914	0.17358	0.2493	0.1537	0.13292	0.06642	0.05024	0.03772	0.03542	0.0313	0.03554	0.03128
0.249	0.24892	0.17382	0.24932	0.15342	0.13288	0.0665	0.0503	0.03764	0.03546	0.03138	0.03564	0.03136
0.2492	0.24892	0.17362	0.24912	0.15336	0.13296	0.06638	0.05024	0.03774	0.03554	0.0313	0.03552	0.03146
0.24892	0.24916	0.17386	0.24916	0.15324	0.1331	0.06656	0.05038	0.03778	0.03544	0.03134	0.03562	0.03132
