16_no_PLL	16_RANGE2	26_RANGE2	16	26	30	60	90	120	150	170	150_BOOST	170_BOOST
610.4233360290527	691.9761657714844	640.1114654541016	991.5427780151366	931.8494110107422	919.5635147094727	813.4315109252927	781.8562545776366	769.4158859252931	771.5684738159179	763.1845779418944	890.2750732421875	873.149462890625
612.6294326782227	691.9437789916992	642.9546165466309	984.4745178222656	917.9414749145508	905.619140625	802.6012115478516	785.3005142211913	784.4065933227538	778.5260467529298	775.6505126953124	879.2697509765625	887.44072265625
613.2976913452148	693.6763572692871	636.2844848632812	991.6045074462891	929.6897735595702	914.614860534668	810.7882232666016	788.5009689331055	771.3732376098634	766.457405090332	762.1192016601561	881.6130371093751	873.4044921875
605.4132652282716	700.9056663513184	644.090518951416	985.3364868164062	928.5438766479492	913.412109375	808.2200317382812	783.0302581787109	780.1157684326172	766.7442169189453	772.0838241577147	897.5267822265627	884.731005859375
606.7852783203125	699.3603706359863	637.9005813598634	984.0184478759766	922.2345657348633	908.8023605346679	802.750259399414	794.1010208129883	781.992691040039	779.5201950073241	775.0782623291014	894.8094726562501	885.75908203125
608.1379890441895	694.3215179443358	638.3383178710938	983.6879425048828	928.570587158203	916.0929107666016	808.3728561401368	790.9533233642577	774.7139511108398	771.9352111816405	771.4996719360352	891.831201171875	884.9956787109376
609.1756629943848	689.1084289550781	638.6123657226562	989.1984329223633	920.3690185546875	905.9947128295898	800.2105865478517	786.9971466064452	784.040657043457	773.5512771606445	779.1771469116211	888.9041259765627	889.683984375
614.7371673583984	693.8869094848633	641.9045639038085	990.8738250732422	927.9286422729491	914.7846450805665	808.2347488403319	786.5106353759766	774.6791381835938	774.4214172363281	766.8589096069335	892.1536376953127	878.5107177734375
611.2288475036621	695.9259033203125	640.4880523681641	987.1976852416992	921.6770095825196	909.5889358520508	802.688346862793	789.2694625854492	777.8846282958982	773.4924545288086	772.5869064331055	890.8306884765626	881.886572265625
606.5855979919434	691.2212371826172	643.9147186279297	986.1917953491211	924.2953491210936	910.2015380859375	805.9618835449218	791.694465637207	780.4948654174805	775.1871414184569	773.9102783203125	888.4500732421875	888.9258056640624
612.1176147460938	688.4443473815918	639.4268226623534	986.8439254760742	922.0987014770507	909.1454544067382	803.3627014160155	794.175178527832	775.3509063720702	770.478172302246	768.5630493164062	883.439990234375	880.1921630859375
605.601234436035	696.7283058166504	645.3713989257812	992.2381210327147	929.7201004028319	914.8467864990237	810.0527801513673	794.3147277832031	785.1836929321289	782.0156936645507	780.0555725097655	897.1471191406251	895.65673828125
609.4545745849608	691.7630577087402	646.8598175048828	989.6629028320312	921.7847442626952	907.6488189697266	802.9591827392578	787.99951171875	776.031005859375	770.1341400146483	771.5998306274413	893.6378906250001	879.7735839843749
615.7246208190918	691.0818290710449	638.3720207214357	988.2318649291991	925.5661010742188	913.6740646362304	804.7934646606445	782.5312499999999	779.3262176513671	775.008659362793	770.1187820434569	892.3587890625001	882.274462890625
604.928035736084	696.7538833618164	642.6722717285156	983.1796874999999	928.2952423095702	913.5189514160159	807.5007934570312	789.5877456665038	786.1566696166991	776.8225021362305	778.8111190795897	888.277490234375	891.6226318359375
611.1834526062013	694.1181564331055	642.4702644348145	988.5654144287109	929.2505035400391	916.4686889648438	811.7633743286132	791.0016632080078	782.500602722168	775.7223358154296	774.7489700317383	882.2966796875002	886.920263671875
612.4600219726562	698.3678436279298	643.6538887023925	990.2273254394531	928.5125427246093	914.552215576172	808.476219177246	784.0195312499999	779.7954254150391	773.0172271728514	773.7401733398438	881.7841064453125	885.6875732421876
613.3528327941895	698.7537384033203	642.0661163330078	986.9705886840819	924.9827270507811	912.2271194458007	805.6211471557617	788.7244949340821	776.2219161987304	770.021987915039	768.5597534179686	894.6302978515624	880.8100830078125
611.0050201416016	696.5950965881348	643.487377166748	985.720230102539	924.3429107666016	911.0870590209961	804.4937438964844	784.1358261108398	776.8793563842775	777.591796875	771.1841812133789	892.3038818359377	883.7416259765625
606.9017601013184	692.3519134521484	642.0109367370605	993.1905899047853	921.8353042602538	907.8915710449216	802.234130859375	781.9631881713866	772.6688232421874	766.6822128295898	766.0398788452147	883.436474609375	878.7005615234375
