16_no_PLL	16_RANGE2	26_RANGE2	16	26	30	60	90	120	150	170	150_BOOST	170_BOOST
0.44788	0.44816	0.27556	0.44814	0.2755	0.23886	0.11946	0.07962	0.05972	0.04788	0.04224	0.04788	0.04226
0.44768	0.44802	0.2755	0.44764	0.27578	0.2391	0.11948	0.0797	0.0599	0.0478	0.04228	0.04794	0.04234
0.44804	0.44786	0.27544	0.44788	0.27588	0.23898	0.11948	0.07968	0.05988	0.04788	0.04226	0.04796	0.04236
0.44794	0.44802	0.27556	0.44786	0.27558	0.23908	0.1196	0.07968	0.05978	0.04792	0.04234	0.04782	0.04226
0.44776	0.44776	0.27542	0.44784	0.27592	0.23908	0.11954	0.07968	0.0598	0.0479	0.04224	0.04786	0.04236
0.44782	0.44816	0.27544	0.44804	0.27562	0.23884	0.11946	0.07958	0.05984	0.04792	0.0423	0.04794	0.04232
0.44776	0.44766	0.27562	0.44836	0.27582	0.239	0.1193	0.07968	0.05992	0.04788	0.04224	0.0479	0.04232
0.44802	0.44806	0.2754	0.44784	0.27598	0.23896	0.11948	0.07958	0.06	0.04782	0.04242	0.04784	0.04228
0.4479	0.4481	0.27536	0.44796	0.2754	0.2389	0.11952	0.07964	0.05978	0.04788	0.0423	0.0479	0.04228
0.4478	0.44776	0.2755	0.44812	0.27558	0.23892	0.11946	0.07976	0.05976	0.04788	0.04228	0.0479	0.04226
0.44782	0.44812	0.27544	0.44798	0.276	0.23906	0.11952	0.07952	0.05984	0.0479	0.04232	0.04796	0.0424
0.44774	0.4477	0.27544	0.4482	0.27554	0.2388	0.11948	0.07962	0.05974	0.04802	0.04236	0.04788	0.0423
0.44796	0.44794	0.27532	0.44814	0.27576	0.239	0.11954	0.07966	0.0597	0.0479	0.04232	0.04798	0.04226
0.44782	0.44788	0.27562	0.44826	0.27578	0.23928	0.1195	0.07968	0.0598	0.04794	0.04228	0.04788	0.04224
0.44792	0.44804	0.27544	0.44792	0.2758	0.23892	0.11954	0.07966	0.05974	0.04796	0.04228	0.04796	0.04234
0.44758	0.44824	0.27542	0.44824	0.27584	0.23886	0.11946	0.07964	0.0599	0.04784	0.04232	0.0479	0.04228
0.44814	0.44788	0.27552	0.44792	0.27566	0.23898	0.11962	0.07976	0.05974	0.04788	0.04228	0.04792	0.04234
0.44762	0.44824	0.27548	0.44816	0.2758	0.23892	0.1196	0.07972	0.06006	0.04788	0.04226	0.04794	0.04226
0.44796	0.44796	0.27526	0.44762	0.27588	0.2388	0.1194	0.0796	0.05974	0.04802	0.04234	0.04792	0.04228
0.4479	0.44772	0.27548	0.44826	0.27542	0.23914	0.11962	0.07966	0.05974	0.04786	0.04234	0.0479	0.04234
