16_no_PLL	16_RANGE2	26_RANGE2	16	26	30	60	90	120	150	170	150_BOOST	170_BOOST
2533.192418379145	2856.020113237025	4289.361810377771	3411.215018275514	5205.790645309857	5921.717083078005	10476.162090614596	15135.899473801543	19849.709320557737	24762.684805243967	27782.996784556995	26897.365361882632	29861.676476218483
2544.383233580131	2854.914254233365	4310.225374871792	3384.713375584787	5130.017461952256	5835.273606546092	10304.10232371613	15218.150943474555	20148.62212448757	25066.836496417443	28256.597890706897	26490.701293945312	30385.211774498035
2547.197180362629	2865.291445258559	4271.524024651562	3409.6496167860373	5188.939558395942	5901.631821905412	10436.363638331242	15291.432050823647	19859.429116270523	24609.948277856758	27834.37389643785	26644.3266329425	29846.55000858151
2511.4747916987067	2896.400774906246	4318.90748659681	3388.2072261848007	5175.681981597053	5885.019145927539	10401.793603617776	15140.532987663544	20102.12177332962	24671.619571297284	28155.939239030748	27084.818628184206	30205.13641855894
2517.1197050361225	2884.427180044954	4282.659976700225	3384.621216706933	5147.650507131169	5854.6555032660945	10343.19446932885	15375.261141066385	20194.933776070957	25122.566100878594	28289.01015445387	26992.23650677642	30281.83899894154
2524.7769490654355	2865.6937896529193	4277.488020730968	3383.873458660323	5184.900768957902	5897.338491004012	10431.328053176594	15316.530335415739	20041.56614604749	24835.270695812527	28042.64051342442	26869.425127385803	30116.310119628906
2527.7406102716436	2841.741187305065	4287.811305880131	3402.9110146469698	5137.838221435206	5842.790153892685	10321.864443549472	15265.331111592679	20225.45008030735	24900.457017225108	28312.53238854681	26852.88413225698	30415.1271178537
2552.06782843477	2862.4834450342323	4309.624425199755	3410.188809819593	5185.7107327393705	5896.726885842878	10431.288137638561	15233.89396833417	19978.57845097876	24954.824898849034	27971.011540850795	26926.705169677734	30051.22792266458
2538.3914238142174	2871.799993711784	4300.308787426136	3395.8060046677288	5152.942979577032	5859.507795924612	10354.184736156096	15312.847192736639	20085.099272405987	24923.812154788295	28115.299276636735	26857.846058332005	30187.702178955078
2517.3032681283858	2852.462413272289	4325.605128353429	3391.8486064097106	5163.875122878894	5871.370264201247	10379.976841290689	15293.680181825794	20158.170350494875	24969.50857717702	28258.964948159548	26835.778901814647	30331.827984098512
2538.5418622181496	2838.3734918409777	4293.063979422618	3393.725293245706	5146.195313760212	5850.632652642743	10336.791315386372	15358.452859042178	19976.104178079746	24818.471568025907	27970.07127241655	26664.700236622582	30042.220417961653
2513.9546191412546	2874.815316442938	4338.539758253071	3411.193751903512	5187.300906446171	5902.015803958498	10440.216850988643	15339.315829790485	20257.905000881925	25104.449286686486	28371.990590855694	27116.519667537337	30464.73436537161
2529.046304063368	2854.3609079192065	4334.198766099577	3400.925170227318	5146.290300079205	5854.223409111875	10340.805949410198	15202.445450233941	19986.292480272496	24791.019700138444	28007.98286444905	27006.76209476578	30076.443553512254
2552.899857078719	2851.450948556961	4281.339749248625	3397.6834168544274	5160.597833689866	5870.208194489227	10376.952050887432	15167.372041546776	20061.175640990663	24889.427185058594	28097.304430874912	26897.76130211659	30179.37791520271
2507.098574601053	2877.178662866213	4315.030774590689	3380.0066265429505	5179.860432587969	5891.881191853396	10415.88052973017	15283.069095096072	20268.899014766354	24965.296936035156	28412.712367419	26721.60713789266	30535.661557065043
2535.370423858341	2865.848359326537	4308.471062008993	3400.190578366244	5188.184551602546	5903.8013267824235	10440.800325794546	15322.962975203129	20149.294126455425	24994.11170752615	28236.592289342778	26649.090415875053	30327.194478148856
2542.09446503569	2882.5697467163695	4313.436580340023	3400.8171972370974	5176.144450511789	5889.719476022473	10403.860080476654	15186.345289294846	20135.539969319245	24940.529757479795	28218.821839430282	26587.294766223094	30278.310585368134
2546.250292049941	2882.152621628862	4311.123679587663	3393.9242301538543	5165.142714020061	5876.7577771002	10384.458405061258	15261.163366846291	20039.55902315212	24804.676190400736	28056.29976222344	26993.61856167133	30121.791179031
2537.3943372515864	2875.59486326866	4315.287140863283	3392.191993412296	5155.9854072362305	5865.677049370328	10364.873837517447	15194.829488765297	20045.437258485807	25081.239263695406	28063.572835231174	26796.388320433787	30187.41798227641
2519.143742741056	2858.7178336340453	4306.734639928702	3415.362215107704	5141.933055704894	5848.973989486694	10330.871753753956	15152.414332945835	19943.470820056747	24691.18633744424	27942.66093545995	26668.719209421175	30013.245085011356
