16_no_PLL	16_RANGE2	26_RANGE2	16	26	30	60	90	120	150	170	150_BOOST	170_BOOST
2340.139449539388	2678.1693016394565	4026.2119801661725	3203.066765499271	4835.934481427342	5500.513407372937	9649.92487645088	14142.166651212252	18592.620707507613	23064.996187503522	26040.232982047022	24844.417403771004	27986.914000360135
2341.529041128877	2678.6851099890146	4026.811359416695	3203.8424546342903	4836.437007526471	5501.85502488031	9655.567853060189	14136.378307581637	18583.042762579833	23022.55622857661	25972.29556260605	24810.61248779297	27975.231111860234
2340.8498960671964	2678.6736395480643	4026.7413215977804	3203.5353626901265	4837.271124976973	5500.623962608312	9656.079139844442	14135.065161344291	18582.982490549344	23021.247142400498	26003.919649815212	24792.709289648283	27952.87355537207
2340.790739576056	2678.9711228814413	4027.2302090357084	3203.1016981587377	4834.893156453519	5501.8679331643325	9655.790236985185	14130.527208263109	18591.833604945008	23017.95267277389	25986.929337904803	24799.376726150513	27951.51721750296
2340.552772003725	2677.864553182805	4028.6057099456852	3203.4679851700776	4835.7704679032595	5504.249528539772	9655.076843517425	14138.72246567684	18585.773614736703	23029.738841481274	26008.171524629404	24771.999874465662	27942.10029684979
2339.67524702831	2678.2322593399986	4027.4970051566834	3203.2567140296965	4836.623747489462	5502.054832645298	9655.074287466117	14139.789411920377	18583.039913629585	23026.289084018805	25973.585587513597	24802.70501801832	27978.045352991077
2338.8263798726625	2678.3635010625867	4027.921217636713	3204.46430791536	4835.160568890554	5502.976226191862	9654.567325996815	14130.073495937415	18583.50536956493	23010.865783691406	26002.268302689223	24773.138823558846	27952.636434897755
2338.404507981133	2677.8758202612744	4027.078209853754	3204.026773985427	4836.3654226546705	5503.285993975691	9654.408599372537	14135.934211112357	18576.719273046623	23020.025822904416	25999.69665389255	24791.81679083501	27964.23694361811
2339.2978476068092	2678.7680770044158	4028.4747574548537	3203.7703357352066	4836.427288382942	5503.137727284232	9651.574082049317	14140.387845326619	18582.656021902676	23021.915329405037	25971.397986778848	24771.763493839546	27963.678905929344
2339.569437692515	2678.1448345899007	4027.3225161277064	3203.4574521604277	4835.838989802161	5503.191999374928	9650.765238581476	14130.251912523225	18583.205794307443	23019.6981116496	25973.77393208951	24815.66781134869	28000.18054619769
2338.9750225267776	2678.307884488436	4025.983344893409	3204.6389270404507	4835.09418254387	5500.976163866904	9655.305514854534	14137.504647462583	18587.984077737634	23001.274871826172	26017.37595296815	24782.413110946312	27966.43182716439
2338.8339077019136	2678.9150065908525	4025.555348822049	3204.3896368966884	4835.079823221479	5500.584398831651	9656.37668377719	14142.651385571584	18570.833285700595	23020.85333686176	25980.960662315152	24774.937293468378	27963.945859169897
2339.5648984167265	2678.5485667884195	4024.887138171947	3203.8328604808366	4836.063440865742	5500.453418047315	9651.028455127063	14137.80809885048	18582.25162589351	23056.479196311382	26008.561861482623	24792.635374122576	27966.381633779314
2339.9701084860294	2678.489291554191	4024.6494856438903	3203.287111529367	4835.296695840256	5500.805567667964	9655.201780067762	14133.47593313942	18589.582559464452	23000.194549560547	25973.178466520698	24777.912865050683	27971.301420320735
2340.4004137165466	2678.1005767580978	4025.2784799252236	3203.539220489997	4835.008759869182	5499.8799794122215	9651.641415705044	14132.28919707149	18580.085191971215	23002.263641357422	26012.21938064133	24790.12323628434	27940.376233494593
2340.078620500462	2678.2466218021395	4026.197562260287	3204.7215644495986	4837.704969300978	5500.368491763746	9653.176399395374	14134.10585894534	18582.99920924433	22999.082946777344	25972.024498747396	24763.867795896873	27975.646128788496
2338.6771578473054	2677.087614202184	4024.9567888199254	3204.1453520661726	4836.56939306974	5499.760297067877	9654.398521859444	14137.486836996422	18589.0007509995	23049.61700439453	25984.41024711229	24794.10438751392	27965.261452439903
2339.383422216927	2676.8621421089856	4025.591615020705	3204.7368259564323	4837.219813280977	5499.832121449448	9653.934155438663	14134.595758018439	18585.3471798857	23020.38221717548	25982.072387916454	24794.737751872395	27967.92121735447
2338.84552738928	2677.751250419263	4027.243119723632	3204.2862009289092	4838.249924327993	5500.113357671675	9655.00675213682	14135.208902759248	18577.838050808117	23021.434704335123	26006.248094377475	24788.807678222656	27964.65239373807
2338.058756412444	2677.422409011724	4026.9590634058427	3203.4894277745966	4836.334756810988	5500.81433256755	9656.9045932108	14131.528530341779	18594.02625870674	23022.812017924887	25972.386219235625	24782.2021484375	27950.151610611363
