16_no_PLL	16_RANGE2	26_RANGE2	16	26	30	60	90	120	150	170	150_BOOST	170_BOOST
2686.6722442206274	3029.454834131339	4543.30347796238	3599.2708623734798	5546.550469733977	6312.491162970724	11276.672318277882	16383.961910119819	21367.043197194707	25612.33828242975	28918.379458828247	27591.881843713614	31089.36375465946
2721.720725336553	3044.4320644805657	4504.98401264847	3631.7388212979586	5580.303240861326	6309.107599709876	11307.399250574717	16084.967910109817	21326.611293492235	25651.990697624977	28975.714395533418	27746.473039899553	31164.028733507734
2717.506398802366	3063.6215739289883	4529.259233489906	3619.8658413357207	5558.436927124556	6320.9467578802	11332.671178711786	16170.940399169922	21358.08526635726	25565.78318277995	28948.19128340569	27814.010779062908	31137.19469406211
2679.0543838783547	3047.8917893186963	4546.558058325693	3648.6468020301095	5568.809796096687	6334.276910840959	11351.38088758417	16203.475272792646	21358.674860255604	25734.765298288155	29074.29329929248	27994.065640349338	31257.83592272716
2704.8966083708365	3050.0129417136864	4535.734014790058	3660.4610762624816	5545.735233802709	6342.870196360811	11368.656026267874	16155.98943975714	21310.6263478597	26034.70916748047	29416.809704556643	27764.66354308837	31558.732119473545
2697.265361016879	3031.4605441723697	4507.862241928186	3604.428618856897	5526.576334467301	6304.195759985292	11296.691351655207	16264.782428741455	21499.576720785586	26100.50492497333	29438.554590398617	27877.722727172168	31643.88219119199
2731.55718062483	3059.5949380704674	4555.0097193982865	3628.3441348980496	5587.533326468023	6323.54226819557	11330.232742632423	16152.781053892055	21306.320707848732	25726.43096188465	29181.007468408072	27674.841842528906	31340.11356886848
2695.4031864316644	3022.690161762029	4498.10858557784	3613.7744920860664	5551.220866783936	6316.6926411466075	11315.22309236012	16246.407686588998	21518.21266001614	25884.596175352093	29235.433104250264	27756.60171508789	31406.736373901367
2677.9710467525338	3059.5320723050836	4520.2430402417585	3647.973557294904	5556.235051291166	6318.6711027422025	11318.810935159332	16223.696603245471	21415.19615081909	25587.714120243374	28880.969055342088	27597.37693346464	30996.97023116775
2731.811864546225	3062.413280510009	4518.206799254576	3643.7919802368765	5525.611197719207	6282.402022709944	11258.819907883018	16126.104780622909	21524.855931599934	25693.620188852376	29026.372709136078	27897.072297243853	31206.165597572948
2698.0304400243836	3065.281477211825	4508.695179143875	3611.8917338147508	5573.631210934931	6354.814504648184	11389.735332816592	16174.492835998535	21337.785435673406	25618.906771199087	28955.35218726495	27596.39898554789	31154.43302237469
2714.1480933962844	3046.431498198339	4540.808616301674	3629.7369789048666	5596.095764581531	6330.93889048066	11342.23198040076	16145.693315016282	21328.30874125163	25915.042380428007	29282.228979050305	27694.34595682535	31447.49351169752
2685.8145715042624	3037.0509182965316	4505.421543880962	3604.7875175814656	5512.549134034597	6272.679685181807	11233.075217048727	16251.935456928453	21404.586791992188	25596.006067638504	28930.532282049007	27752.56476853862	31113.37575045499
2716.259424579414	3045.4727572429365	4520.556111730297	3672.663511974865	5574.620484553677	6338.570073339894	11364.259591196615	16128.356841995217	21382.590267216954	25613.19390996501	29069.143463328794	27808.132934570312	31195.444650779482
2694.4954851558614	3044.7322794314177	4536.852564406858	3650.627955153172	5535.108095684404	6294.36122689338	11282.98465818704	16119.594688530084	21240.17168326207	25812.50543296098	29257.50670056252	27662.2229661697	31443.204879760742
2715.047906946253	3032.7553641865607	4539.754877756385	3642.1088400043136	5569.4774910192045	6343.902323669169	11373.554276015151	16234.866845709237	21375.651048439322	25797.757582786755	29143.137676297916	27912.944316098627	31336.576288396664
2722.117724242034	3075.5159172243084	4551.639879883449	3609.4570803750316	5553.5373862362585	6298.622198864422	11286.606767118825	16246.511703147027	21418.333212853115	25708.395859290813	29083.32731158597	27816.156990611897	31268.56733187629
2690.1905740392326	3045.514464676408	4510.015970659457	3647.392404234942	5501.448794367941	6249.652247701609	11200.385711627625	16149.73874751456	21623.99330113746	26002.890799631085	29434.60848029903	27818.692055789463	31657.22848721975
2664.081650861405	3049.105403049808	4537.54390279452	3664.924879870663	5589.431740923234	6355.68008581687	11394.585775551408	16247.854495705817	21397.00385819242	25798.094940185547	29134.107351953924	27798.571906531582	31334.916028109463
2666.1101977030435	3049.4528128223137	4583.681754476158	3661.4082683408783	5523.425162741497	6279.264650237323	11256.818970044455	16184.326885580242	21482.26392921682	25660.26072249558	28929.00354721967	27629.00509508738	31064.077563907787
