16_no_PLL	16_RANGE2	26_RANGE2	16	26	30	60	90	120	150	170	150_BOOST	170_BOOST
2945.514953863365	3285.999979565106	4573.232993441459	3974.773651412197	6085.561063443943	6899.55936002939	12279.293910566583	16082.869755151083	21084.49224358388	23205.05129502774	26181.063815320016	25038.964547159725	28209.53811424366
2946.445664248792	3286.0619331020957	4575.124730023791	3975.2196622801675	6086.356582910487	6901.127828452187	12281.815402479057	16082.900320959074	21082.13599467194	23174.635032110804	26158.111129981884	25019.649107356156	28154.18475472637
2945.962326079224	3284.9972147078506	4574.928486998091	3975.263996870568	6083.2166789920475	6900.879177129661	12279.08061233424	16084.927916975286	21084.686558327838	23187.13831913733	26135.80164629847	25031.571012436427	28163.411262481284
2945.2405696468863	3285.888494817663	4575.04906307982	3974.813724813946	6084.940042922041	6900.254409427282	12282.35231565218	16083.62201459871	21074.628353118896	23204.924389566975	26136.550903320312	25023.32268405803	28162.38933753304
2946.0030777876555	3286.995331886888	4575.583889093964	3975.1290280657545	6084.426482259645	6898.694779436373	12281.685081936119	16084.14698418792	21074.21298692559	23188.766217890636	26136.02182139521	25029.274283862505	28187.230929896643
2946.754303003024	3286.183641434175	4574.679634071855	3974.902690112146	6085.602906498596	6899.2484015449445	12284.631008776132	16082.911989368235	21085.046945060403	23193.9562755573	26149.76192571724	25022.52764699409	28170.3057255933
2945.532894234206	3284.692228338086	4573.447856585565	3974.806088302852	6082.010797258309	6898.9355963816	12280.792688899857	16083.291221139843	21083.940560368075	23193.408669322394	26142.904763985123	25019.821844203707	28190.76721846746
2945.312963038012	3286.436397674774	4573.999533611291	3975.0380151549307	6084.480186173938	6900.6111030291795	12288.268684694955	16080.25009218445	21075.978307781334	23185.635687874965	26135.387177539174	25032.630709351088	28187.1964729813
2943.3709796719195	3285.6096483270885	4573.61814466306	3976.0809854784293	6084.188671241406	6898.696694174865	12287.728293262953	16080.128859324628	21079.37000486692	23194.795990380884	26139.94541124163	25038.664863316324	28175.437388284812
2944.535646319916	3285.721318757556	4574.778185270391	3974.9906243123073	6083.573249239212	6900.057010716573	12289.160486443205	16082.969949158609	21075.27210667088	23187.891967461237	26145.832839735966	25026.887166695516	28169.970269556397
2944.890974726346	3285.433372697929	4575.294741032797	3976.7653514177373	6083.574415699232	6898.851075281985	12287.131559780542	16082.566112223767	21078.31129587319	23209.54151642628	26161.406020852948	25038.59508232992	28175.08989247911
2945.625690077755	3285.634983166341	4573.29952694802	3975.5715179137082	6083.127591112124	6902.0724221155	12287.719278450471	16077.553458710923	21075.197594438145	23199.226449711532	26166.943030628732	25022.7205356368	28208.66542930691
2945.201898896141	3286.3833043124123	4574.3106836232255	3974.6352511539626	6083.830828093389	6899.862939172229	12288.708932975045	16082.170138876123	21088.481725426274	23189.330040036566	26141.656247203144	25021.697018017177	28164.230567821556
2944.114707745052	3286.3051094045986	4575.294382614958	3974.9675666886196	6084.393379009422	6900.710893165046	12289.893738510164	16083.113268707586	21091.085245992137	23182.41649853915	26135.792386704597	25027.226279189425	28185.129441916597
2944.5222296907295	3285.9540155969394	4575.001497858311	3973.78692480081	6084.49853006534	6901.005348501386	12285.422647995756	16082.602214597957	21085.374944799536	23184.237421536054	26144.697052143565	25007.52919280584	28172.58033199587
2945.8048257483056	3285.8694259262484	4574.838408842383	3974.1932504137308	6083.516294351153	6900.439845159211	12285.622670408982	16084.047064481934	21077.21435760926	23196.39401558118	26142.413417498272	25040.82547280191	28173.30087066456
2944.717805388461	3285.699701508461	4574.680110422023	3974.90782130167	6083.916814874037	6899.305501378569	12287.815972898557	16086.590903350567	21085.561874634277	23187.123624349457	26148.04416722645	25014.620729724465	28175.859280107474
2944.3990888342014	3286.3766182177847	4573.989072623195	3974.326873757259	6084.901047748935	6899.053426271879	12285.807561903097	16085.413006394318	21088.200169163305	23197.605915558644	26142.4529870167	25040.63385431884	28173.854978170206
2944.1689262135965	3286.803082617415	4573.220334218504	3974.4150435007978	6083.210444046279	6899.433242157382	12286.320982822366	16080.747567759361	21078.753017016137	23188.798493335635	26149.55217749984	25028.94803584688	28171.07492315167
2943.9245389096327	3287.0397181072562	4573.07912226161	3975.1943411522966	6086.350108995897	6899.072259431565	12287.255697935452	16084.542620581045	21092.898388922873	23197.324088450227	26136.900830558774	25016.23182037682	28179.59796524933
