16_no_PLL	16_RANGE2	26_RANGE2	16	26	30	60	90	120	150	170	150_BOOST	170_BOOST
2314.10176053882	2656.444025893478	4000.9063734135157	3172.452402249901	4798.46901711168	5455.215915445817	9574.755282388036	14035.748240910596	18464.387969419844	22898.314437909146	25847.01533220252	24624.12133662049	27807.972399272152
2314.2678183552844	2656.431018073033	4000.1137902106107	3172.0749973208567	4798.354210801341	5453.804399521589	9577.905734021777	14040.887174021385	18472.09706835321	22899.00175282653	25823.755828837995	24623.551706629474	27787.812348384006
2314.2776195059314	2657.3536085445776	4000.514390020309	3171.4898010930683	4796.836176069719	5455.119630836433	9576.646927836568	14039.182679111418	18465.30814598465	22889.94880307244	25840.153827618702	24633.815773962855	27792.656565652254
2314.5627955347795	2656.4457575288584	4001.4046745524247	3171.9220405775372	4796.871162165263	5454.505538336702	9576.41257120309	14034.682306750068	18473.643680171597	22883.571755557732	25840.866050040753	24619.80914210414	27801.19860793311
2316.4232325198905	2657.4383493774067	4001.0667248795744	3172.2831772078766	4796.57892935574	5453.204570451655	9576.642666694192	14034.656260017615	18472.0550571476	22889.79130822259	25847.042951711504	24618.690773769333	27800.7225832563
2315.4945849194655	2657.5926594080993	4001.3988307607447	3172.1017446862647	4796.672040036243	5455.062502906436	9579.713188498607	14038.55938596774	18467.96402828299	22881.52719389272	25833.841797652516	24618.908528531534	27777.028159489706
2315.7271759349637	2657.602356365109	4002.0361703243125	3171.7241341937274	4798.554234370169	5454.074608635222	9578.605116005943	14038.477031166498	18467.55998667422	22895.433667679907	25847.53407271065	24641.711432654578	27791.414303303674
2314.9896463811765	2658.6097018433907	4000.9461233828374	3172.210500210146	4797.704976439558	5454.619734526246	9575.302792543103	14036.021418176126	18472.52955456064	22891.52011367429	25837.721827677382	24633.03397177575	27808.78057285231
2314.2809751487057	2656.915899715211	4001.156268253226	3172.359188560462	4798.732127197194	5453.838793759419	9579.3939336428	14035.947189718334	18466.57565008911	22897.93429541346	25841.47757413436	24617.962459712	27799.60936235728
2314.7635114249038	2657.6894797264836	4001.405504014757	3171.7274220876416	4797.743891558039	5454.08635540644	9578.83447005579	14040.236133290722	18470.70778319982	22890.96411520937	25847.29485839378	24612.460549422136	27802.18342788347
2315.316384528741	2658.2055094732154	4001.2209078306505	3172.6503745844166	4797.380707285636	5455.595944972158	9576.328817630696	14034.379215563758	18463.0573709555	22898.331418767706	25822.6770545295	24631.7247012714	27801.727749686037
2314.363970587586	2658.1721002974828	4000.7574434495227	3172.8634235550935	4797.75066306727	5454.80773618916	9577.244243928002	14035.536344781478	18467.950025118844	22897.00855978678	25838.909561700795	24625.9311510729	27785.606530247904
2313.7401394228345	2657.4122178459675	4000.3443114040533	3173.366945867417	4797.051624440708	5454.840702578733	9574.273876638923	14036.707582612624	18464.398878560183	22893.04031809015	25852.082412359894	24626.57587524208	27794.68346615227
2313.2290534635154	2658.2301169671596	4002.2879649194147	3172.4163744258126	4797.414824653888	5456.377036523867	9577.606989588548	14042.178331795385	18467.873052843737	22904.787639138125	25843.220607490297	24620.64455545123	27803.58047145836
2314.4480908409087	2657.7943952257488	4001.196731432878	3172.062480549478	4797.794712457978	5454.866725110782	9575.690173069923	14040.081714817312	18458.15341679806	22898.181601687593	25838.132724640476	24614.330890005796	27814.04889359766
2313.9818876821864	2657.651699999482	3999.690311938472	3172.9626165608533	4797.213562029625	5455.856262978407	9574.59496204868	14037.768153821007	18469.317309806967	22892.08205970558	25832.797007955563	24627.73119007145	27794.834922199178
2312.963841909386	2658.2844538303902	4001.8279079914187	3172.7761870609706	4796.9227087388	5457.024468220261	9575.212835996468	14036.8361952017	18470.103824687845	22889.179689390166	25851.159531452933	24619.714481624094	27795.28470157893
2314.2983878222744	2658.0283969777142	4001.4453611057224	3172.315861805376	4796.717570679678	5456.399212492845	9575.51308056938	14032.793771191902	18465.056328915645	22889.683833942905	25853.37679527278	24632.450700208494	27817.96075493914
2314.7142054826772	2659.398881150189	4001.378592899547	3172.2534240398863	4795.934010494202	5455.537873141675	9574.83881985524	14039.348239051977	18468.495577775597	22892.326200417607	25822.095810228093	24615.498039666123	27800.37750806766
2314.12988347069	2659.482019334401	4002.4590461924286	3171.565583980314	4795.654887200336	5455.829224135301	9576.418425088646	14040.0699926172	18462.194007890757	22886.060985670138	25829.203417346736	24632.886529571893	27803.64863645825
