16_no_PLL	16_RANGE2	26_RANGE2	16	26	30	60	90	120	150	170	150_BOOST	170_BOOST
3251.2207673443045	3589.8912468108324	4794.479643483115	4395.043302324984	6710.303132649813	7608.928892053612	13490.159728009918	16958.35940186649	22216.296381246382	24056.623444164303	27139.39597576236	25982.55841003093	29262.115524630164
3251.3384772256063	3590.8805999671135	4791.711479907367	4393.6489666822035	6708.4028914168075	7609.648194016008	13490.123934087283	16966.40054205713	22209.474877292225	24066.741214811023	27125.45900197736	26017.98375447591	29256.482505414053
3251.611579235096	3589.512871190493	4792.644680633465	4395.293836730308	6709.5178025620835	7612.403156687912	13490.666952669248	16963.828459207383	22209.53062131956	24058.039181310276	27144.014835357666	26000.000262458412	29271.612871413265
3251.5927927147336	3589.64080076612	4792.23555196802	4394.962117922968	6708.649640187939	7608.250232875037	13493.87946820895	16963.783899943035	22221.4618223452	24064.10463176346	27141.082046816013	26004.45413646042	29259.581415747445
3251.2704854890385	3589.365521126245	4792.338799163039	4396.802515746991	6707.971264110836	7607.980508007255	13491.266761046241	16963.992692587235	22226.396013422458	24067.02932172915	27141.239304325216	25979.586767556404	29267.947733041983
3250.9343483998564	3590.05736528051	4794.657611113424	4397.584877416301	6707.003997743157	7609.278687497628	13492.560403203071	16959.06100589018	22221.30941059775	24066.39241157694	27132.872921532024	26003.547017222405	29264.34382496264
3250.277793860972	3590.508450751571	4793.728794343721	4396.848361961585	6707.928742458735	7611.63302948448	13492.106400698505	16962.83487437705	22214.226697004076	24072.049987068516	27139.27786837342	25997.299474065363	29280.767575296642
3252.2101495520265	3589.668150415694	4795.860214900113	4395.986487017243	6710.511343000886	7610.113214024558	13492.510512961879	16971.31873037841	22222.289672264687	24068.50243180725	27148.41211995771	26007.27137729261	29272.205086164577
3251.7630393267823	3590.2899493238365	4795.556270986104	4395.94589921468	6710.319002379682	7610.850073623326	13494.082056231438	16962.853852693024	22224.920852129915	24065.13570962819	27134.634649457348	26023.168070269512	29273.39979249682
3251.0904885291875	3591.984060502465	4794.300985050475	4394.377459991486	6711.220923817349	7609.847020474182	13498.40422292123	16966.0601729694	22215.299062184742	24056.661750468033	27158.71859622258	25983.978321231465	29262.681150914832
3250.6357298956978	3589.7858487110043	4794.583255297517	4395.484659627448	6708.456638946579	7611.236836945401	13492.319447535576	16970.022336609683	22202.1670078488	24076.826980853122	27146.55077481446	26011.49070884379	29265.346181704484
3250.8183478956	3590.359334592466	4795.425594086131	4394.926626560156	6709.604738996579	7608.674510512856	13490.885165002612	16967.825417046075	22225.15968913151	24083.34931398514	27140.19401350463	25994.7534143572	29290.151916094273
3250.860581017635	3591.216819362231	4796.28919124852	4395.845757387245	6709.861011207461	7610.714084354183	13490.92422675822	16963.041976805103	22217.77851463149	24063.24667155672	27128.22216297459	26006.19432126733	29264.136448802565
3250.4982070209426	3591.228939086756	4795.920626678725	4395.679504925173	6711.647154065024	7611.689245266973	13495.907048005578	16975.239013314138	22205.61693040587	24075.82864721781	27160.72884806833	25991.602158914116	29296.494680818858
3250.2857112522447	3590.810206166989	4796.669385978855	4395.980686735121	6710.890194546834	7612.946956068401	13494.669605178357	16959.610690185218	22213.8482171136	24080.006751788438	27144.792657958493	25997.51482654721	29262.964160271025
3251.300019171987	3589.4081883109707	4796.018813054544	4395.342626974567	6710.093804645194	7610.132195247983	13488.566495178477	16959.205840610608	22216.94055582438	24066.57491573094	27153.776924854792	26018.48938819429	29269.828233897846
3251.8883496536696	3590.4515450200824	4793.5245244210055	4395.2111485441765	6710.052777226345	7609.890859364431	13488.904684678762	16967.54350700911	22221.985917824964	24085.0392077615	27143.186334798287	26006.01232468764	29282.61398949508
3252.812860497898	3589.1456145252155	4793.724211135714	4394.70361140229	6709.293019209032	7610.988534374154	13490.807588194742	16973.625647055138	22220.155367484458	24069.703956114707	27144.541022598103	26017.036777575577	29263.386457918798
3252.0572395981803	3590.622537670799	4793.129325285942	4394.735029576666	6708.957260477638	7613.243397940671	13493.20555676689	16964.399492418444	22218.4109616208	24063.557209634837	27123.608790923477	26015.32910687462	29263.12258411012
3250.0463342366506	3589.918956048859	4794.497108011621	4395.163566039362	6708.643321125814	7613.053698179935	13494.637125778067	16968.785079413305	22215.424500428162	24067.883245607205	27139.31847771516	26011.40645616561	29279.042315739458
