16_no_PLL	16_RANGE2	26_RANGE2	16	26	30	60	90	120	150	170	150_BOOST	170_BOOST
560.8824729919434	631.5494728088379	585.0884056091309	906.9714431762694	854.5172653198242	844.3310394287109	746.836441040039	721.8952789306641	710.2129211425781	711.8293533325195	705.5365905761719	826.320068359375	808.1619628906251
563.7170219421387	631.3804817199707	589.1459846496581	898.8427276611327	842.5180435180664	830.2917251586914	734.6927947998047	725.1014099121094	723.4838333129883	719.2694778442383	716.6730422973633	812.79677734375	821.1551025390625
564.3672752380371	633.8662719726562	582.3644065856932	906.5212326049804	851.927032470703	838.587890625	746.7655334472655	729.617202758789	710.7401275634764	707.0092391967772	703.7490463256837	817.3750732421876	807.709521484375
556.6557693481445	640.81787109375	589.2374038696289	899.8606109619141	849.2078018188477	837.5117797851564	743.0285797119141	723.0768585205077	719.97013092041	708.6839218139647	712.6417236328124	829.7073974609375	819.5500732421875
557.6555633544923	638.5591888427733	584.6105575561525	898.5003890991211	845.7787857055665	833.4698410034179	739.3404693603516	734.6206283569336	722.5835266113281	722.8645477294922	717.1112823486328	827.1746826171875	821.50810546875
559.8730659484863	634.4772529602051	583.7633323669434	899.4931869506836	850.6740875244141	839.9658050537108	745.3032073974609	730.6373977661133	716.5610961914061	712.644401550293	712.4345397949219	825.7325439453125	813.925
560.2934646606445	628.878002166748	584.6236228942871	904.6424331665037	843.7262878417968	831.1048278808594	737.7356185913087	729.1166839599608	724.6243057250977	715.995620727539	718.1844635009764	822.1104736328125	824.21025390625
565.9928321838379	632.3477172851562	587.4879264831543	906.2247619628906	851.372886657715	840.7529067993164	745.2160491943359	728.7063674926759	715.6413345336914	716.5939178466796	711.4517669677734	826.795947265625	814.0732910156249
563.0069732666016	635.4118919372559	587.7248954772949	903.1090621948242	845.8280410766602	833.3231964111327	739.6110305786132	730.3264846801758	719.8246765136719	716.3808975219725	713.4900283813477	823.2282958984375	817.6810058593751
557.6326942443848	631.1358451843262	591.6119003295898	901.3127517700193	848.9422073364257	834.4092407226562	740.5689697265624	729.0633773803711	722.1497726440429	718.1346817016602	717.776252746582	824.8899658203125	822.4894531250001
562.7890586853027	627.3904418945312	585.8602523803711	902.136474609375	845.3082962036134	833.7014007568358	737.1626358032227	733.9327697753905	714.6435928344727	714.7216873168945	710.3681716918945	817.749560546875	813.4592041015625
556.8033027648926	635.7153511047363	592.2182083129883	907.0540237426757	852.5180511474609	838.738655090332	746.5530166625975	732.0643157958983	730.4078750610352	721.0456466674805	717.9512100219728	834.8737060546874	825.1112060546876
560.3683471679688	631.8341445922852	591.4891052246094	904.1965026855469	843.9389419555664	833.4286422729491	738.8046569824218	724.4426193237305	715.03125	712.0827484130859	710.9869079589844	829.5316162109375	814.3412109375
566.4883613586427	630.9217262268066	584.6950340270996	902.4243392944335	846.4713592529296	834.385871887207	742.9402542114258	724.359878540039	718.7471008300781	714.8372268676758	713.0149841308594	823.7390869140625	816.0810302734376
555.9631729125977	636.614532470703	588.9431953430176	898.1231689453124	849.755126953125	839.1803283691406	746.1990051269531	729.7209320068358	725.8981246948242	717.5397033691405	721.8397521972656	820.503173828125	827.1986816406251
561.7351531982422	633.7446975708008	588.0458259582518	903.735694885254	851.5534973144531	840.4921874999999	747.2064743041991	731.463752746582	721.1508178710936	717.5913848876953	719.1860961914062	815.1062988281251	820.9798828125
563.389835357666	638.375358581543	588.7150382995607	904.06494140625	849.5078430175781	838.4300994873046	743.5115661621094	725.4120712280273	722.5759963989258	715.7372360229492	714.86368560791	817.0443603515624	824.9232666015625
564.7730827331543	638.2941627502441	588.1871032714845	901.8699188232421	848.4258270263672	836.1208419799805	741.7066040039062	727.6276702880859	717.4430465698241	711.9194869995117	712.8328857421875	829.379638671875	822.085791015625
562.2886085510253	636.0587501525879	588.8944435119629	901.2859268188477	846.5606002807617	833.5882873535156	742.3687362670898	724.0497207641602	718.7720489501953	721.8796234130859	713.8043746948242	822.9181640625	818.6279296875
557.889232635498	631.9500350952148	587.6220893859863	908.5860214233396	844.952018737793	833.4661331176758	739.5348815917969	722.7215423583984	714.6882476806641	708.2821884155273	708.200340270996	818.1171142578125	812.33857421875
