16_no_PLL	16_RANGE2	26_RANGE2	16	26	30	60	90	120	150	170	150_BOOST	170_BOOST
2594.7560741670213	2922.757649059783	4399.1609444295555	3496.851744148351	5351.703901246457	6090.799857374704	10808.678375593943	15633.560267902461	20479.03463502244	25568.5830938405	28708.357363939285	27778.078890093017	30828.93230021
2609.0762840976518	2922.2460507265146	4421.026449419617	3466.47355786874	5270.217456826217	5997.830885623926	10625.546609970565	15711.158994455482	20832.867810210442	25880.450411781745	29161.500744521618	27370.58113361227	31355.201557118406
2613.2954030285105	2934.022736403704	4379.338295876773	3495.1159457025556	5332.27575278343	6067.227315397638	10766.515764810634	15784.380468128873	20508.429350284987	25417.35832602737	28719.761929712848	27501.045476763953	30811.673030257225
2575.9174888854445	2967.848606399361	4430.356420072398	3471.684455871582	5317.6523007392025	6052.085355136116	10734.925157650168	15626.661015744032	20760.3843979357	25455.600639869426	29054.212476875917	27988.29465744203	31172.02992796782
2581.2607079915397	2956.018835491035	4390.946053448643	3466.436686339202	5289.820284859192	6016.616431359855	10666.84656856463	15884.37615371332	20850.171012561408	25942.59789439751	29179.33277785778	27878.784331090497	31276.95942482753
2590.805487961529	2934.948898881511	4385.241378958409	3466.4153523503346	5330.038142383547	6064.559904794886	10767.787901604555	15814.662289309812	20690.7223432492	25664.232265568025	28960.753650200077	27758.328311414603	31079.125427663734
2592.271049600465	2909.586389223411	4394.344730113403	3487.5494740258137	5279.360563659438	6005.786997635993	10647.379323855626	15757.189746714232	20909.057759842384	25718.23350314436	29251.566613757597	27732.029685908237	31441.12601876259
2619.6095167260846	2928.891696550052	4417.866795632082	3494.61962811542	5330.408756935355	6062.888736005224	10766.528681147942	15723.855676952266	20607.041422877544	25761.932623190958	28864.482593629236	27841.997146606445	30993.896618224026
2605.5487470686853	2939.5442817230564	4409.038975823668	3480.3500053752937	5295.692718987354	6022.862072933888	10678.144932123661	15807.932568834975	20727.501627322963	25754.27442917647	29031.983576714993	27721.858024597168	31161.62369890911
2581.871905937516	2917.872608341776	4435.536814586819	3474.7129894908844	5308.808640604994	6034.898749657585	10706.81485262784	15788.794555188217	20823.23450530689	25817.323903568456	29177.89645311309	27706.160180443643	31314.321893465218
2604.0582023195575	2903.241285953407	4401.654788733066	3479.498266721339	5288.465316589172	6014.120215524266	10664.968689282736	15861.271822600938	20621.063966830352	25628.28769782324	28904.95490282774	27537.36397315716	31061.33935505111
2577.0772135744355	2942.8541389905395	4449.423052689619	3498.7888961252384	5331.970198810798	6065.158618899196	10767.17746426961	15845.547960950182	20916.60581503537	25944.35976782817	29299.34745437368	28041.49109437767	31475.494615733624
2594.778418077277	2922.992896892511	4444.613053987146	3486.1528896608174	5287.837982177734	6015.276879965279	10666.502901686617	15696.884627399257	20632.249826869807	25621.860550269357	28901.90682760099	27934.119619172194	31064.651906490326
2620.447596256095	2917.6920376748367	4391.580546996392	3480.9307662718074	5304.50292809025	6032.635432118739	10703.95709732921	15654.38879970693	20710.785524149323	25698.778647816933	29012.65397667885	27786.96725611448	31131.02074712515
2571.5225389111824	2945.9256477126473	4425.482381597667	3462.096281437199	5324.280244067199	6055.740736990104	10750.907750215438	15786.624524204653	20931.318474475902	25795.93411594552	29314.479865061145	27630.090713500977	31524.340001548208
2600.6257092511214	2934.003229494448	4420.067843943565	3484.6986816169024	5333.1422999301885	6067.309045824671	10772.873043601488	15824.328330446999	20823.25068927852	25820.069980127206	29121.56204208804	27519.524458058455	31287.343094988566
2608.5278051563387	2951.8882760637334	4424.432874639716	3485.645651762168	5320.330696788279	6052.423333097314	10741.90311722881	15693.407563776986	20821.115617765267	25753.354779179233	29144.80127233815	27442.644304585476	31285.014661770423
2612.2714279979386	2952.0588416901496	4420.465228254054	3476.860962648201	5308.766500390244	6037.845479347057	10712.111554071436	15757.702492378854	20673.20904131582	25615.98614707512	28976.94657488567	27904.9458532473	31116.982763127762
2601.261142445528	2945.8074756974243	4425.781177754117	3474.2881195409987	5298.686847683903	6028.961171046083	10695.722917633268	15680.21744551629	20697.190997183694	25884.954941662578	28988.156867073758	27687.545894652372	31167.30360956917
2582.5813935538285	2925.9655296565184	4418.211198390874	3502.752673264171	5283.063342448186	6012.423051691451	10658.579522538292	15635.20124520592	20593.829174754035	25507.137295286924	28844.914478290815	27526.01186537106	31018.54893002925
