16_no_PLL	16_RANGE2	26_RANGE2	16	26	30	60	90	120	150	170	150_BOOST	170_BOOST
0.21616	0.21608	0.133	0.21614	0.13306	0.11552	0.05758	0.03848	0.0289	0.0232	0.02048	0.02324	0.02048
0.21606	0.21606	0.13326	0.21608	0.13322	0.11536	0.05762	0.03846	0.02894	0.02316	0.02048	0.0232	0.02046
0.21596	0.21604	0.13298	0.21614	0.13314	0.11518	0.0578	0.03852	0.02888	0.02318	0.02042	0.02322	0.02048
0.2161	0.21592	0.133	0.216	0.13308	0.11532	0.05768	0.03856	0.0289	0.0232	0.02044	0.02316	0.02054
0.21604	0.21602	0.13314	0.216	0.13324	0.11544	0.05776	0.03854	0.02888	0.02322	0.02048	0.02318	0.02052
0.2161	0.21618	0.13312	0.21624	0.133	0.11542	0.05768	0.0385	0.02886	0.02314	0.0205	0.02324	0.02046
0.21614	0.21614	0.13304	0.21616	0.13318	0.11532	0.05774	0.03856	0.02888	0.0232	0.02046	0.02316	0.02048
0.21606	0.2159	0.13298	0.2161	0.1331	0.11556	0.05768	0.03862	0.02894	0.02318	0.02054	0.0232	0.02052
0.21608	0.21616	0.1333	0.21624	0.1331	0.1153	0.05772	0.0385	0.02894	0.02318	0.02048	0.0232	0.0205
0.21598	0.2163	0.13338	0.21616	0.13326	0.11522	0.05764	0.03848	0.0289	0.02318	0.0205	0.02326	0.02052
0.21612	0.2161	0.1331	0.21606	0.1332	0.11552	0.0576	0.03856	0.02888	0.02324	0.02048	0.0232	0.02046
0.21606	0.21602	0.1331	0.21604	0.13324	0.11524	0.05778	0.0385	0.0291	0.02316	0.02042	0.02326	0.02048
0.21596	0.21616	0.13308	0.21614	0.133	0.11546	0.05772	0.03846	0.02888	0.02316	0.0205	0.0232	0.02048
0.21618	0.21624	0.13314	0.21604	0.13298	0.11526	0.05784	0.03856	0.02892	0.02318	0.02048	0.02316	0.02048
0.2162	0.2161	0.13308	0.21618	0.133	0.11548	0.05784	0.03852	0.0289	0.02318	0.02052	0.0232	0.0205
0.216	0.216	0.13304	0.21612	0.13306	0.11544	0.0578	0.03852	0.02886	0.02316	0.02058	0.02314	0.0205
0.21598	0.21626	0.13306	0.21614	0.13306	0.11544	0.05768	0.03852	0.02892	0.02316	0.02044	0.02326	0.0206
0.2162	0.21622	0.13306	0.21616	0.13318	0.1154	0.0577	0.03848	0.02892	0.02316	0.0205	0.02322	0.02064
0.21616	0.21592	0.13306	0.21618	0.13314	0.11522	0.05784	0.03848	0.02894	0.02324	0.02052	0.02322	0.02052
0.21602	0.21598	0.133	0.21616	0.13328	0.11552	0.05782	0.03852	0.02892	0.02314	0.02046	0.02322	0.02046
