16_no_PLL	16_RANGE2	26_RANGE2	16	26	30	60	90	120	150	170	150_BOOST	170_BOOST
510.93202590942377	584.7934150695801	542.8204917907715	841.6270523071289	784.0304946899412	773.4362182617188	681.0336227416992	665.1821823120117	656.3440704345702	653.2279357910155	652.189567565918	751.5812988281251	749.6775390625
511.0856056213379	584.8523902893065	542.2130393981934	842.0120544433593	783.849723815918	772.8299560546876	681.9415740966797	666.2853927612305	656.8574981689453	653.7468795776367	651.9477767944336	751.0279296875	750.136181640625
511.5078926086426	585.4168319702148	542.1150207519531	841.3408126831055	784.841423034668	772.9264297485352	680.2642135620117	665.2687225341796	656.5531997680664	653.9856719970703	650.7644348144531	750.5147216796875	751.2502685546875
511.43608093261724	585.0523948669434	541.981372833252	841.2881240844725	783.0479965209961	773.3247528076171	680.1840591430664	664.5349731445312	656.4679412841797	655.1475677490234	651.3531875610352	750.7367431640624	749.276953125
511.5160751342774	585.295524597168	542.6478385925293	841.9633255004883	784.3694915771484	772.888069152832	680.0600967407227	664.3851470947266	656.4175186157227	653.0953674316406	651.9505462646483	750.0500244140625	748.923876953125
511.62073135375977	585.2953147888184	542.8565406799316	842.4245910644531	783.4709243774414	774.2479248046874	680.9448394775392	665.3458786010742	657.3111877441406	651.5746536254884	651.3249664306641	749.5982177734376	746.5272705078125
511.3404273986816	585.2875328063965	541.9439697265625	842.1604843139648	783.9983367919922	773.2128524780272	680.0945663452148	665.3044281005858	656.3729324340821	652.4770431518555	649.0248413085938	749.7470214843751	746.4670166015626
511.4313888549804	585.2764701843262	542.1561431884766	841.6291122436522	784.7102279663086	772.3366241455077	681.1331176757812	665.1787719726561	657.9304733276366	653.658576965332	651.0384063720703	749.3780029296876	746.3978759765625
510.82349777221685	584.8346328735352	542.4447631835939	842.4957962036133	784.3780288696287	771.9662704467773	680.2042007446288	665.7558746337891	657.1831512451173	653.3520584106445	651.6063766479492	751.9846191406251	747.9091552734376
510.99788665771484	584.6063804626464	542.3712158203125	842.3616943359375	784.1025009155273	773.4922943115233	680.1113662719727	664.6041870117188	656.5233764648438	652.642936706543	654.2887344360352	751.4223144531251	747.0498046875
511.23647689819336	585.4775619506835	542.8857040405273	841.2160034179686	783.7685165405272	772.6002960205078	680.6989288330079	665.7706146240233	658.24861907959	653.7585525512695	651.9776458740233	752.364404296875	746.8824218750001
511.396484375	584.8135375976562	542.1975517272949	841.265510559082	784.5216064453124	773.2052536010742	680.52921295166	665.4623107910155	658.5792388916014	655.2791061401367	651.0605392456055	750.9790527343749	749.0006347656251
510.33868789672846	585.8141899108887	541.8731689453125	841.7355194091796	785.058265686035	772.817756652832	679.7217178344728	666.0251998901366	657.2128829956055	652.3455276489257	653.944221496582	751.0175048828125	747.589111328125
510.9372520446778	584.9617385864258	542.166633605957	842.7244720458984	784.3780059814453	772.0944442749023	680.5726318359375	665.1704635620116	658.0993194580078	652.1108551025391	651.6326522827148	749.9278076171875	750.0584228515626
511.34998321533203	585.1053810119629	542.8713607788086	841.5581817626952	783.6016387939453	772.3322067260742	680.3112258911133	665.4053421020508	656.4282989501953	655.3109893798828	653.6895446777344	751.009228515625	748.4783447265625
511.15451812744135	584.8762321472168	541.6879653930664	841.8227233886718	784.0022048950196	773.9506530761719	680.7196655273438	664.9627990722655	656.1691131591796	652.8699188232422	649.4273300170898	752.5384521484375	744.5330078125
510.88365554809565	584.9960899353027	542.5559997558594	841.9484939575195	784.5232543945311	773.4002380371093	680.2919998168945	664.3347244262695	656.4198989868164	652.9415130615234	651.0388641357422	751.0330810546874	747.974169921875
511.24065399169916	585.3931999206543	542.4749374389648	842.1151199340819	784.8331832885741	771.5327911376954	680.7910308837891	665.3711471557617	656.6533584594727	651.998794555664	652.6311950683594	750.3714111328126	748.193505859375
510.85851669311523	585.1342391967773	542.4435424804686	842.0504837036133	784.111930847168	772.5832901000977	681.3088760375977	665.188751220703	656.825798034668	653.9564895629883	650.4127807617188	750.5370849609375	747.1240966796875
511.2424087524414	585.4648780822754	542.6287651062012	841.7881851196289	784.1399002075195	773.4558792114257	679.8548812866211	666.7725448608398	659.6697921752931	654.4037017822267	649.5301666259766	754.2755615234374	746.7135498046875
