16_no_PLL	16_RANGE2	26_RANGE2	16	26	30	60	90	120	150	170	150_BOOST	170_BOOST
0.2988	0.2986	0.18388	0.2989	0.1841	0.1594	0.07982	0.0532	0.03988	0.03202	0.02822	0.032	0.02824
0.2988	0.29904	0.18384	0.29872	0.18396	0.1595	0.07974	0.05322	0.03988	0.03208	0.02836	0.03206	0.0283
0.29862	0.29874	0.18388	0.29862	0.18392	0.15936	0.07994	0.0532	0.03994	0.032	0.02838	0.03206	0.02822
0.29862	0.2987	0.1839	0.299	0.18392	0.15934	0.07968	0.0532	0.03996	0.032	0.02834	0.032	0.02834
0.29872	0.2988	0.18398	0.29874	0.18412	0.15936	0.07966	0.0531	0.03992	0.03198	0.02838	0.03204	0.02832
0.29872	0.29858	0.18388	0.29878	0.18388	0.15962	0.07982	0.0532	0.04	0.03194	0.02834	0.03206	0.02842
0.29852	0.2985	0.1842	0.29898	0.18394	0.15934	0.0798	0.05312	0.03994	0.03204	0.02826	0.03208	0.0283
0.29858	0.29876	0.18376	0.29884	0.18408	0.15946	0.0797	0.05328	0.03998	0.03214	0.0283	0.03204	0.02832
0.29882	0.2987	0.18394	0.29882	0.18402	0.15942	0.07974	0.05326	0.03992	0.03204	0.02834	0.032	0.0283
0.29834	0.29864	0.18394	0.299	0.18398	0.15946	0.07976	0.05324	0.03996	0.03202	0.02838	0.03202	0.02826
0.29862	0.29874	0.18388	0.29886	0.18406	0.15932	0.07972	0.0532	0.0399	0.03202	0.02832	0.03204	0.02828
0.29866	0.29878	0.18384	0.2989	0.18402	0.15948	0.07972	0.05314	0.03996	0.03198	0.0283	0.03198	0.0283
0.2986	0.29856	0.18408	0.29878	0.18384	0.1594	0.07976	0.0532	0.03996	0.03198	0.02834	0.03206	0.02826
0.29886	0.29872	0.1839	0.29866	0.18384	0.15946	0.07986	0.05312	0.03994	0.032	0.02824	0.03206	0.02828
0.2987	0.29884	0.18398	0.2988	0.18414	0.1594	0.07982	0.05312	0.03992	0.03206	0.02826	0.03206	0.02826
0.2986	0.29856	0.18386	0.29904	0.1841	0.15934	0.07982	0.05312	0.03996	0.03204	0.0282	0.03202	0.02828
0.29858	0.29902	0.1838	0.29866	0.1839	0.15944	0.07982	0.0532	0.03996	0.032	0.02834	0.03212	0.0283
0.2987	0.29896	0.18408	0.29866	0.18422	0.15938	0.07974	0.05316	0.03994	0.03208	0.02828	0.03196	0.02834
0.2987	0.29872	0.18398	0.29894	0.18402	0.1594	0.07974	0.0533	0.0399	0.03202	0.02828	0.0321	0.02828
0.29856	0.29878	0.18404	0.29882	0.18394	0.15928	0.07976	0.0532	0.03992	0.03206	0.02826	0.03198	0.02826
