group	16_no_PLL	16_RANGE2	26_RANGE2	16	26	30	60	90	120	150	170	150_BOOST	170_BOOST
FFT	0.0179	0.01798	0.01258	0.018	0.01116	0.00966	0.00494	0.00376	0.00288	0.00272	0.00244	0.00272	0.00242
bubble_sort	0.397	0.397	0.301	0.397	0.245	0.212	0.106	0.087	0.066	0.061	0.054	0.061	0.054
dijkstra	0.03494	0.03502	0.0277	0.0351	0.02166	0.0188	0.0095	0.00814	0.00614	0.0057	0.00506	0.0057	0.00508
kalman	0.07618	0.07624	0.05482	0.07644	0.04712	0.0408	0.02048	0.01598	0.01204	0.01148	0.01016	0.0115	0.01018
mat_mul	0.02286	0.0229	0.01758	0.023	0.01418	0.01234	0.00624	0.0052	0.00394	0.00406	0.00364	0.00408	0.00364
pointer_chase	0.3032	0.3033	0.28026	0.30374	0.187	0.16192	0.081	0.08102	0.06078	0.0681	0.06022	0.06816	0.06014
recursion	0.2059	0.20592	0.15406	0.20598	0.12702	0.11008	0.05516	0.04458	0.0335	0.02992	0.02646	0.02992	0.02646
rsa_dec	0.0232	0.02322	0.01658	0.02326	0.0144	0.01252	0.00632	0.00492	0.00372	0.00342	0.00304	0.00342	0.00304
rsa_enc	0.02546	0.02554	0.01882	0.0255	0.0158	0.01372	0.00696	0.00556	0.00422	0.00378	0.00336	0.00378	0.00338
sine	0.2162	0.21644	0.15862	0.2166	0.13344	0.11558	0.05782	0.04592	0.03452	0.0356	0.03148	0.03568	0.03148
