group	16_no_PLL	16_RANGE2	26_RANGE2	16	26	30	60	90	120	150	170	150_BOOST	170_BOOST
FFT	0.0179	0.018	0.01116	0.01796	0.01116	0.00968	0.00492	0.00336	0.00256	0.00212	0.0019	0.00212	0.0019
bubble_sort	0.397	0.397	0.245	0.397	0.245	0.212	0.106	0.071	0.054	0.043	0.038	0.043	0.038
dijkstra	0.03516	0.03524	0.02182	0.03524	0.0218	0.01896	0.00952	0.00642	0.00486	0.00394	0.00352	0.004	0.00352
kalman	0.08798	0.08806	0.06726	0.08812	0.05432	0.04714	0.02366	0.0196	0.01472	0.01412	0.01248	0.01412	0.01248
mat_mul	0.0229	0.02298	0.01476	0.023	0.01424	0.01234	0.00626	0.0044	0.00336	0.003	0.00266	0.003	0.00268
pointer_chase	0.30336	0.30338	0.20564	0.30332	0.18702	0.16196	0.0811	0.0595	0.0447	0.03908	0.03456	0.0391	0.03458
recursion	0.20602	0.20598	0.12678	0.20606	0.12704	0.11004	0.05512	0.03678	0.02764	0.02218	0.01966	0.02222	0.01958
rsa_dec	0.02318	0.02322	0.01438	0.02322	0.0144	0.01252	0.00632	0.0043	0.00326	0.00268	0.00238	0.00268	0.00238
rsa_enc	0.02546	0.0255	0.01578	0.0255	0.01582	0.01372	0.00696	0.0047	0.0036	0.00292	0.0026	0.00292	0.00262
sine	0.21626	0.21626	0.13836	0.21642	0.13328	0.11562	0.05786	0.04012	0.03014	0.02506	0.0222	0.02506	0.02216
