group	16_no_PLL	16_RANGE2	26_RANGE2	16	26	30	60	90	120	150	170	150_BOOST	170_BOOST
FFT	0.025108400000000003	0.025164399999999996	0.0155602	0.025160199999999997	0.0155492	0.013499400000000002	0.006824600000000001	0.0046104	0.0035066000000000003	0.0028672	0.0025555999999999995	0.0028703999999999995	0.0025582000000000005
bubble_sort	0.5789	0.579	0.3571	0.5791999999999999	0.35609999999999997	0.30890000000000006	0.15439999999999998	0.10289999999999999	0.0773	0.06200000000000001	0.054700000000000006	0.0619	0.054700000000000006
dijkstra	0.046374799999999994	0.0464302	0.02865580000000001	0.0464494	0.028640999999999996	0.0248404	0.012488599999999999	0.008376399999999999	0.0063258	0.005122000000000001	0.004539600000000001	0.0051208	0.0045454
kalman	0.0924398	0.09252259999999995	0.0699262	0.09258140000000001	0.057000600000000005	0.0494092	0.024763599999999997	0.020298600000000003	0.0152662	0.014513000000000003	0.012833600000000002	0.0145158	0.0128364
mat_mul	0.03143580000000001	0.031487400000000006	0.019988200000000005	0.0315116	0.019449799999999996	0.0168754	0.008509599999999999	0.0058814	0.0044554	0.0038778000000000003	0.003449	0.0038798000000000005	0.0034474000000000006
pointer_chase	0.36372199999999993	0.36383	0.242692	0.3638993333333334	0.22406066666666663	0.19416400000000003	0.09715266666666668	0.07014333333333335	0.052656666666666664	0.045457333333333336	0.040126666666666665	0.045447333333333347	0.040111333333333325
recursion	0.27180533333333323	0.27189866666666673	0.16729199999999997	0.27195933333333333	0.167386	0.14509733333333333	0.07257400000000001	0.04843933333333333	0.03635066666666666	0.029142000000000005	0.025738666666666674	0.029150666666666665	0.025749333333333336
rsa_dec	0.026393800000000005	0.0264486	0.016357200000000002	0.026452	0.0163402	0.014176199999999998	0.007176600000000001	0.0048293999999999985	0.0036680000000000003	0.002990000000000001	0.0026645999999999996	0.0029925999999999998	0.0026656
rsa_enc	0.0338182	0.0338862	0.020917799999999997	0.033885399999999996	0.020917399999999996	0.0181514	0.0091542	0.006161600000000001	0.004665	0.0037898	0.0033682000000000004	0.0037942	0.0033727999999999996
sine	0.29867699999999997	0.29879	0.189106	0.29880700000000004	0.183973	0.159411	0.07986700000000001	0.054654	0.041061999999999994	0.033806	0.029858000000000003	0.033802	0.029865999999999997
