group	16_no_PLL	16_RANGE2	26_RANGE2	16	26	30	60	90	120	150	170	150_BOOST	170_BOOST
FFT	0.03872	0.0387782	0.023920600000000004	0.038775	0.023926200000000005	0.020759799999999995	0.010449599999999998	0.007036800000000001	0.005317199999999999	0.0043206	0.0038381999999999995	0.0043230000000000005	0.0038390000000000004
bubble_sort	0.8972	0.8971	0.5519000000000001	0.8972	0.5523	0.4781999999999999	0.23929999999999998	0.1593	0.11939999999999999	0.09559999999999999	0.08449999999999999	0.0957	0.0844
dijkstra	0.0740006	0.07407	0.0456274	0.07409500000000001	0.04565280000000001	0.0395934	0.0198538	0.01329	0.0100052	0.008062600000000001	0.0071362000000000005	0.008056	0.0071405999999999996
kalman	0.10805400000000001	0.10813319999999997	0.07951439999999999	0.10812659999999999	0.06661259999999998	0.05773040000000001	0.0289214	0.0230554	0.017339000000000004	0.016175800000000004	0.014296999999999999	0.0161742	0.0143004
mat_mul	0.0486448	0.04869340000000001	0.030555799999999994	0.04872	0.0300284	0.026045	0.0130876	0.0089398	0.0067442000000000005	0.0057106000000000014	0.0050646000000000016	0.0057096000000000004	0.005058800000000001
pointer_chase	0.5455946666666666	0.5457420000000001	0.33577466666666667	0.545824	0.33601533333333333	0.291192	0.14563399999999999	0.09708	0.072838	0.05835066666666667	0.051536666666666675	0.05835866666666666	0.05152333333333333
recursion	0.3967393333333334	0.39679999999999993	0.244156	0.3969473333333333	0.2442886666666667	0.2117106666666667	0.10592	0.07061133333333332	0.05297066666666666	0.042458666666666665	0.037471333333333336	0.04246333333333334	0.03747666666666667
rsa_dec	0.032732	0.032783999999999994	0.020234400000000003	0.0327852	0.020241000000000002	0.0175588	0.008845800000000001	0.0059602000000000014	0.0045087999999999994	0.0036664	0.0032572	0.0036704000000000003	0.0032620000000000006
rsa_enc	0.04674500000000001	0.04679939999999999	0.0288594	0.0468124	0.028871400000000002	0.025034999999999998	0.012592199999999998	0.0084578	0.006384800000000001	0.005169199999999998	0.0045878	0.005169999999999999	0.0045882
sine	0.46419599999999994	0.4642029999999999	0.285564	0.46424199999999993	0.28580300000000003	0.24766	0.12382699999999998	0.082564	0.061931000000000014	0.049636	0.043835	0.049643	0.043834
