group	16_no_PLL	16_RANGE2	26_RANGE2	16	26	30	60	90	120	150	170	150_BOOST	170_BOOST
FFT	2000.9863353515116	2345.6951783454633	3490.9565992672538	2794.564701354485	4172.582325719803	4727.645306792364	8086.977365233245	11697.215134990147	15247.484370753109	18651.232808739685	20932.061809505823	20069.39201202876	22501.99618050471
bubble_sort	2110.3471259241	2454.9476114495897	3673.6756962181416	2925.113890941698	4392.279921785935	4986.440519268125	8640.066900678923	12640.609141415769	16632.60740392348	20606.427893303986	23230.99398145489	22142.937873539173	25028.35249700466
dijkstra	2053.4148411365127	2396.472061196013	3550.9767934069714	2858.8338351568277	4248.547123796431	4808.143903727447	8229.205439085285	11932.052259007527	15608.516756230838	19209.54816234521	21614.78837422894	20680.030772858354	23250.169873530882
kalman	2655.9793961515848	2995.277462764498	4153.070835978644	3586.674300688629	5474.858684286608	6213.917491102349	11024.612453231239	14447.14410356967	18881.81232615787	21834.407960999295	24555.718895302973	23545.32998799013	26472.222708408837
mat_mul	2070.9652814988913	2415.3216177803138	3565.5874760513766	2886.5037071905926	4312.620323429372	4889.338833764077	8416.284555360522	12009.348235947538	15681.389264160476	18861.757041613673	21213.386898319834	20320.803753601384	22827.033311355473
pointer_chase	2006.7596923089463	2354.8187208544887	3519.394481258248	2802.215166143225	4187.4186469231345	4749.626023464588	8162.442110698719	11887.174052584396	15625.618208897535	19380.68297511489	21863.4105227636	20885.45161754193	23561.083536920174
recursion	1886.6089194031154	2232.7537563207225	3316.642559880604	2655.829428026223	3961.6529893823326	4488.29529567704	7656.431270236172	11158.158113787063	14650.850751246	18117.520526350094	20458.792107290188	19527.302393300048	22022.61142909066
rsa_dec	2074.226011681034	2421.5766071430203	3614.7469070497214	2883.66495968521	4324.007105686551	4899.891404705119	8435.515956430098	12215.087634858046	15926.029490930014	19472.001836249987	21839.104899165664	20922.49654555091	23448.31517739961
rsa_enc	1995.3525745653797	2340.9216659914455	3485.744969861675	2790.4179035076286	4168.501302993717	4725.185380739306	8099.29377563028	11745.433113028717	15339.966928563603	18836.53262003456	21139.966613710258	20250.318941698817	22741.986257685865
sine	2113.540207541165	2456.3752047790977	3670.253186202886	2927.9260125489154	4392.160829892494	4985.230614909442	8632.67551732421	12578.702027081057	16551.56046510011	20436.42467484184	23074.906930171273	22023.260733361913	24848.027470229597
