group	16_no_PLL	16	26	30	60	90	120	150	170
FFT	0.212	0.187	0.197	0.199	0.218	0.216	0.211	0.206	0.2
bubble_sort	0.225	0.197	0.211	0.212	0.235	0.233	0.239	0.242	0.243
dijkstra	0.224	0.194	0.208	0.21	0.231	0.232	0.231	0.229	0.227
kalman	0.045	0.036	0.032	0.033	0.038	0.099	0.101	0.136	0.137
mat_mul	0.204	0.175	0.189	0.19	0.208	0.219	0.219	0.231	0.229
pointer_chase	0.265	0.233	0.248	0.251	0.278	0.232	0.235	0.196	0.205
recursion	0.198	0.172	0.184	0.187	0.211	0.216	0.216	0.218	0.219
rsa_dec	0.089	0.075	0.077	0.079	0.087	0.084	0.083	0.084	0.082
rsa_enc	0.137	0.115	0.126	0.128	0.14	0.136	0.133	0.131	0.129
sine	0.214	0.186	0.2	0.202	0.225	0.214	0.215	0.203	0.203
