group	16_no_PLL	16	26	30	60	90	120	150	170
FFT	-0.099	-0.082	-0.109	-0.106	-0.116	-0.078	-0.087	-0.074	-0.075
bubble_sort	-0.013	-0.007	-0.011	-0.012	-0.012	-0.019	-0.013	-0.012	-0.008
dijkstra	-0.023	-0.026	-0.024	-0.018	-0.026	-0.041	-0.042	-0.014	-0.015
kalman	-0.053	-0.059	-0.067	-0.057	-0.069	0.034	0.039	0.022	0.023
mat_mul	-0.039	-0.058	-0.058	-0.074	-0.098	-0.094	-0.086	-0.09	-0.087
pointer_chase	-0.006	-0.004	-0.006	-0.006	-0.006	-0.008	-0.009	-0.01	-0.004
recursion	-0.033	-0.034	-0.037	-0.036	-0.04	-0.039	-0.045	-0.008	-0.004
rsa_dec	-0.015	-0.017	-0.018	-0.022	-0.024	-0.011	-0.011	-0.011	-0.011
rsa_enc	-0.011	-0.013	-0.008	-0.008	-0.013	-0.019	-0.02	-0.013	-0.012
sine	-0.004	-0.011	-0.012	-0.011	-0.016	-0.011	-0.015	-0.004	-0.005
