group	16	26	30	60	90	120	150	170
FFT	-0.005	0.0	0.002	0.01	0.053	0.054	0.091	0.091
bubble_sort	-0.016	-0.004	-0.003	0.004	0.073	0.07	0.133	0.137
dijkstra	-0.02	-0.005	-0.003	0.004	0.003	0.003	0.038	0.038
kalman	-0.009	0.003	0.004	0.02	0.122	0.121	0.149	0.149
mat_mul	-0.014	-0.003	-0.003	0.001	0.068	0.068	0.036	0.036
pointer_chase	-0.049	-0.049	-0.048	-0.031	-0.042	-0.042	-0.079	-0.079
recursion	-0.009	0.001	0.0	0.012	0.005	0.006	0.056	0.055
rsa_dec	0.005	0.015	0.015	0.019	0.023	0.023	0.015	0.015
rsa_enc	-0.003	0.008	0.008	0.011	0.012	0.01	0.07	0.071
sine	-0.035	-0.029	-0.029	-0.016	0.072	0.072	0.085	0.085
